Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
45,1,1,43,NaN,NaN,1,NaN,4.814511e-01,NaN,0,1,1,1
45,2,1,18,NaN,NaN,1,NaN,5.493672e-02,NaN,2,1,1,1
45,3,1,134,NaN,NaN,2,NaN,1.710773e+00,NaN,0,0,3,1
45,4,1,3,NaN,NaN,2,NaN,3.524420e+00,NaN,0,0,1,1
45,5,1,56,NaN,NaN,1,NaN,8.651675e-01,NaN,0,1,2,1
45,6,1,100,NaN,NaN,2,NaN,1.720363e+00,NaN,2,1,3,1
45,7,1,19,NaN,NaN,1,NaN,8.760792e-01,NaN,1,0,1,1
45,8,1,50,NaN,NaN,1,NaN,7.150500e-01,NaN,0,0,2,1
45,9,1,73,NaN,NaN,1,NaN,2.655161e+00,NaN,0,0,2,1
45,10,1,11,NaN,NaN,1,NaN,1.249646e-04,NaN,2,1,1,1
45,11,1,134,NaN,NaN,1,NaN,4.455693e+00,NaN,2,0,3,1
45,12,1,46,NaN,NaN,2,NaN,1.390087e+00,NaN,1,0,1,1
45,13,1,14,NaN,NaN,1,NaN,1.063284e+00,NaN,0,0,1,1
45,14,1,100,NaN,NaN,2,NaN,1.829608e+00,NaN,0,1,3,1
45,15,1,6,NaN,NaN,1,NaN,1.115962e+00,NaN,1,0,1,1
45,16,1,43,NaN,NaN,1,NaN,2.352932e+00,NaN,2,1,1,1
45,17,1,131,NaN,NaN,2,NaN,5.035361e+00,NaN,2,0,3,1
45,18,1,101,NaN,NaN,2,NaN,1.963236e+00,NaN,0,0,3,1
45,19,1,40,NaN,NaN,1,NaN,1.495841e-01,NaN,0,0,1,1
45,20,1,69,NaN,NaN,1,NaN,6.172543e-01,NaN,0,0,2,1
45,21,1,23,NaN,NaN,1,NaN,4.256891e-01,NaN,0,0,1,1
45,22,1,68,NaN,NaN,1,NaN,5.779793e-01,NaN,0,1,2,1
45,23,1,44,NaN,NaN,1,NaN,6.526000e-01,NaN,0,0,1,1
45,24,1,7,NaN,NaN,1,NaN,9.947820e-01,NaN,0,1,1,1
45,25,1,41,NaN,NaN,1,NaN,2.916186e+00,NaN,0,0,1,1
