7,Trial,Cond,Block,ImageFiles,Labels,Cues
7,1,1,1,O_Lure_90.bmp,Telephone,NaN
7,2,1,1,O_Lure_79.bmp,Remote Control,NaN
7,3,1,1,S_Image_110.bmp,Forbidden City,NaN
7,4,1,1,F_Lure_10.bmp,Dalai Lama,NaN
7,5,1,1,S_Image_142.bmp,Tower Bridge,NaN
7,6,1,1,O_Lure_96.bmp,Wineglass,NaN
7,7,1,1,F_Lure_39.bmp,Robbie Williams,NaN
7,8,1,1,F_Image_24.bmp,Keanu Reeves,NaN
7,9,1,1,S_Lure_98.bmp,Alcatraz,NaN
7,10,1,1,S_Image_97.bmp,Akropolis,NaN
7,11,1,1,O_Lure_54.bmp,Bicycle,NaN
7,12,1,1,F_Image_10.bmp,Dalai Lama,NaN
7,13,1,1,F_Image_25.bmp,Leonardo DiCaprio,NaN
7,14,1,1,O_Image_56.bmp,Broom,NaN
7,15,1,1,S_Image_140.bmp,Taj Mahal,NaN
7,16,1,1,O_Image_83.bmp,Shoe,NaN
7,17,1,1,O_Image_70.bmp,Key,NaN
7,18,1,1,O_Image_95.bmp,Wheelchair,NaN
7,19,1,1,F_Lure_46.bmp,Wayne Rooney,NaN
7,20,1,1,S_Lure_110.bmp,Forbidden City,NaN
7,21,1,1,F_Lure_16.bmp,George Bush,NaN
7,22,1,1,S_Lure_97.bmp,Akropolis,NaN
7,23,1,1,F_Image_41.bmp,Rod Steward,NaN
7,24,1,1,F_Image_47.bmp,Whoopi Goldberg,NaN
7,25,1,1,S_Lure_123.bmp,Mount Everest,NaN
7,26,1,1,S_Lure_140.bmp,Taj Mahal,NaN
7,27,1,1,F_Lure_12.bmp,David Beckham,NaN
7,28,1,1,F_Image_31.bmp,Michael Jackson,NaN
7,29,1,1,F_Image_9.bmp,Charlie Chaplin,NaN
7,30,1,1,S_Lure_126.bmp,Neu schwanstein Castle,NaN
7,31,1,1,S_Lure_102.bmp,Ayers Rock,NaN
7,32,1,1,S_Image_108.bmp,Dover Cliffs,NaN
7,33,1,1,F_Image_16.bmp,George Bush,NaN
7,34,1,1,O_Image_51.bmp,Basket,NaN
7,35,1,1,F_Image_14.bmp,Elvis Presley,NaN
7,36,1,1,S_Lure_138.bmp,Stonehenge,NaN
7,37,1,1,S_Lure_142.bmp,Tower Bridge,NaN
7,38,1,1,O_Lure_64.bmp,Goggles,NaN
7,39,1,1,F_Lure_35.bmp,Nikola Sarkozy,NaN
7,40,1,1,S_Image_132.bmp,Red Square,NaN
7,41,1,1,O_Lure_56.bmp,Broom,NaN
7,42,1,1,F_Lure_25.bmp,Leonardo DiCaprio,NaN
7,43,1,1,O_Lure_84.bmp,Skirt,NaN
7,44,1,1,F_Image_5.bmp,Bill Clinton,NaN
7,45,1,1,F_Lure_40.bmp,Robert De Niro,NaN
7,46,1,1,O_Image_86.bmp,Soother,NaN
7,47,1,1,F_Lure_45.bmp,Tony Blair,NaN
7,48,1,1,S_Lure_118.bmp,Leaning Tower,NaN
7,49,1,1,F_Image_48.bmp,Will Smith,NaN
7,50,1,1,O_Image_64.bmp,Goggles,NaN
7,51,1,1,F_Image_39.bmp,Robbie Williams,NaN
7,52,1,1,O_Lure_51.bmp,Basket,NaN
7,53,1,1,O_Lure_77.bmp,Radio,NaN
7,54,1,1,F_Image_2.bmp,Amy Winehouse,NaN
7,55,1,1,S_Image_141.bmp,Time Square,NaN
7,56,1,1,O_Lure_60.bmp,Flask,NaN
7,57,1,1,O_Image_84.bmp,Skirt,NaN
7,58,1,1,O_Lure_53.bmp,Belt,NaN
7,59,1,1,O_Image_94.bmp,Watch,NaN
7,60,1,1,O_Image_58.bmp,Canoe,NaN
7,61,1,1,F_Lure_8.bmp,Cameron Diaz,NaN
7,62,1,1,F_Image_20.bmp,Jennifer Lopez,NaN
7,63,1,1,S_Lure_121.bmp,Mecca,NaN
7,64,1,1,F_Image_15.bmp,Fidel Castro,NaN
7,65,1,1,S_Image_129.bmp,Petra,NaN
7,66,1,1,S_Lure_122.bmp,Mont Saint Michel,NaN
7,67,1,1,O_Lure_92.bmp,Trophy,NaN
7,68,1,1,O_Image_49.bmp,Anchor,NaN
7,69,1,1,F_Image_42.bmp,Scarlett Johansson,NaN
7,70,1,1,F_Image_27.bmp,Mahadma Gandhi,NaN
7,71,1,1,O_Lure_66.bmp,Guitar,NaN
7,72,1,1,S_Image_143.bmp,Versailles,NaN
7,73,1,1,S_Image_103.bmp,Big Ben,NaN
7,74,1,1,O_Image_92.bmp,Trophy,NaN
7,75,1,1,F_Lure_22.bmp,Judi Dench,NaN
7,76,1,1,F_Lure_26.bmp,Madonna,NaN
7,77,1,1,O_Lure_86.bmp,Soother,NaN
7,78,1,1,O_Image_54.bmp,Bicycle,NaN
7,79,1,1,O_Lure_58.bmp,Canoe,NaN
