Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
1,1,1,104,NaN,NaN,0,NaN,9.995637e+00,NaN,2,0,3,1
1,2,1,4,NaN,NaN,0,NaN,9.995077e+00,NaN,2,0,1,1
1,3,1,26,NaN,NaN,0,NaN,9.995366e+00,NaN,0,1,1,1
1,4,1,30,NaN,NaN,0,NaN,9.995152e+00,NaN,0,0,1,1
1,5,1,95,NaN,NaN,0,NaN,9.995489e+00,NaN,2,1,2,1
1,6,1,11,NaN,NaN,1,NaN,1.576763e+00,NaN,1,0,1,1
1,7,1,58,NaN,NaN,1,NaN,6.418296e+00,NaN,0,1,2,1
1,8,1,141,NaN,NaN,1,NaN,7.595115e+00,NaN,0,1,3,1
1,9,1,113,NaN,NaN,1,NaN,1.916066e+00,NaN,0,0,3,1
1,10,1,14,NaN,NaN,0,NaN,9.995341e+00,NaN,0,1,1,1
1,11,1,134,NaN,NaN,0,NaN,9.995319e+00,NaN,2,0,3,1
1,12,1,69,NaN,NaN,0,NaN,9.995318e+00,NaN,0,0,2,1
1,13,1,57,NaN,NaN,0,NaN,9.995428e+00,NaN,1,0,2,1
1,14,1,40,NaN,NaN,0,NaN,9.995264e+00,NaN,1,0,1,1
1,15,1,100,NaN,NaN,2,NaN,1.407836e-01,NaN,0,0,3,1
1,16,1,108,NaN,NaN,0,NaN,9.995569e+00,NaN,0,0,3,1
1,17,1,60,NaN,NaN,0,NaN,9.995543e+00,NaN,0,1,2,1
1,18,1,35,NaN,NaN,2,NaN,1.871694e-01,NaN,1,0,1,1
1,19,1,109,NaN,NaN,0,NaN,9.995225e+00,NaN,0,0,3,1
1,20,1,22,NaN,NaN,0,NaN,9.995135e+00,NaN,1,1,1,1
1,21,1,5,NaN,NaN,0,NaN,9.995216e+00,NaN,0,1,1,1
1,22,1,4,NaN,NaN,0,NaN,9.995044e+00,NaN,0,0,1,1
1,23,1,3,NaN,NaN,0,NaN,9.995235e+00,NaN,1,0,1,1
1,24,1,2,NaN,NaN,0,NaN,9.995374e+00,NaN,1,0,1,1
1,25,1,2,NaN,NaN,0,NaN,9.995496e+00,NaN,0,0,1,1
1,26,1,123,NaN,NaN,0,NaN,9.995588e+00,NaN,1,0,3,1
1,27,1,1,NaN,NaN,1,NaN,5.020571e+00,NaN,1,0,1,1
1,28,1,69,NaN,NaN,0,NaN,9.995115e+00,NaN,1,0,2,1
1,29,1,82,NaN,NaN,0,NaN,9.995349e+00,NaN,0,0,2,1
1,30,1,31,NaN,NaN,0,NaN,9.995613e+00,NaN,2,0,1,1
1,31,1,28,NaN,NaN,0,NaN,9.995456e+00,NaN,0,0,1,1
1,32,1,36,NaN,NaN,0,NaN,9.995398e+00,NaN,0,0,1,1
1,33,1,29,NaN,NaN,0,NaN,9.995315e+00,NaN,2,0,1,1
1,34,1,143,NaN,NaN,0,NaN,9.995164e+00,NaN,2,0,3,1
1,35,1,129,NaN,NaN,0,NaN,9.995460e+00,NaN,0,0,3,1
1,36,1,13,NaN,NaN,0,NaN,9.995126e+00,NaN,2,1,1,1
1,37,1,43,NaN,NaN,0,NaN,9.995380e+00,NaN,1,0,1,1
1,38,1,87,NaN,NaN,0,NaN,9.995212e+00,NaN,1,0,2,1
1,39,1,41,NaN,NaN,0,NaN,9.995361e+00,NaN,0,1,1,1
1,40,1,99,NaN,NaN,0,NaN,9.995318e+00,NaN,0,0,3,1
1,41,1,55,NaN,NaN,0,NaN,9.995274e+00,NaN,0,1,2,1
1,42,1,77,NaN,NaN,0,NaN,9.995304e+00,NaN,1,0,2,1
1,43,1,135,NaN,NaN,1,NaN,7.546872e+00,NaN,0,0,3,1
1,44,1,127,NaN,NaN,1,NaN,1.382673e+00,NaN,1,0,3,1
1,45,1,7,NaN,NaN,1,NaN,3.607599e-01,NaN,0,0,1,1
1,46,1,112,NaN,NaN,1,NaN,5.378982e+00,NaN,1,1,3,1
1,47,1,107,NaN,NaN,1,NaN,3.398910e-01,NaN,0,1,3,1
1,48,1,49,NaN,NaN,1,NaN,1.112483e+00,NaN,1,1,2,1
1,49,1,77,NaN,NaN,1,NaN,2.605728e-01,NaN,0,0,2,1
1,50,1,46,NaN,NaN,1,NaN,4.186462e-01,NaN,0,1,1,1
1,51,1,128,NaN,NaN,1,NaN,3.717818e-01,NaN,1,0,3,1
1,52,1,64,NaN,NaN,1,NaN,2.223968e-01,NaN,1,0,2,1
1,53,1,87,NaN,NaN,1,NaN,2.144119e-01,NaN,0,0,2,1
1,54,1,110,NaN,NaN,2,NaN,2.621195e-01,NaN,0,0,3,1
1,55,1,94,NaN,NaN,1,NaN,1.642506e-01,NaN,0,1,2,1
1,56,1,24,NaN,NaN,1,NaN,2.144856e-01,NaN,2,1,1,1
1,57,1,106,NaN,NaN,1,NaN,2.869786e-01,NaN,0,0,3,1
1,58,1,120,NaN,NaN,2,NaN,2.691013e-01,NaN,0,0,3,1
1,59,1,48,NaN,NaN,1,NaN,2.751336e-01,NaN,2,1,1,1
1,60,1,62,NaN,NaN,1,NaN,2.736702e-01,NaN,1,0,2,1
1,61,1,136,NaN,NaN,1,NaN,2.395303e-01,NaN,1,0,3,1
1,62,1,61,NaN,NaN,1,NaN,3.187402e-01,NaN,0,0,2,1
1,63,1,115,NaN,NaN,1,NaN,3.154566e-01,NaN,2,1,3,1
1,64,1,97,NaN,NaN,1,NaN,3.191881e-01,NaN,0,1,3,1
1,65,1,36,NaN,NaN,1,NaN,6.735427e-02,NaN,1,0,1,1
1,66,1,116,NaN,NaN,1,NaN,2.736521e-01,NaN,0,1,3,1
1,67,1,83,NaN,NaN,1,NaN,1.994608e-01,NaN,0,0,2,1
1,68,1,120,NaN,NaN,2,NaN,8.106232e-02,NaN,2,0,3,1
1,69,1,16,NaN,NaN,1,NaN,1.246653e-04,NaN,1,0,1,1
1,70,1,140,NaN,NaN,1,NaN,3.605537e-01,NaN,1,0,3,1
1,71,1,81,NaN,NaN,1,NaN,4.416393e-01,NaN,2,1,2,1
1,72,1,124,NaN,NaN,2,NaN,1.207967e-01,NaN,1,0,3,1
1,73,1,93,NaN,NaN,1,NaN,1.659328e-01,NaN,0,0,2,1
1,74,1,45,NaN,NaN,1,NaN,2.803149e-01,NaN,2,0,1,1
1,75,1,49,NaN,NaN,1,NaN,1.260031e-01,NaN,0,1,2,1
1,76,1,73,NaN,NaN,1,NaN,5.306256e-01,NaN,0,1,2,1
1,77,1,57,NaN,NaN,1,NaN,2.380551e-01,NaN,0,0,2,1
1,78,1,93,NaN,NaN,1,NaN,2.451913e-01,NaN,2,0,2,1
1,79,1,104,NaN,NaN,1,NaN,2.116841e-01,NaN,0,0,3,1
1,80,1,75,NaN,NaN,1,NaN,2.438148e-01,NaN,2,0,2,1
1,81,1,132,NaN,NaN,1,NaN,2.747750e-01,NaN,2,1,3,1
1,82,1,136,NaN,NaN,1,NaN,2.644522e-01,NaN,0,0,3,1
1,83,1,76,NaN,NaN,1,NaN,2.232191e-01,NaN,0,0,2,1
1,84,1,6,NaN,NaN,1,NaN,4.720434e-01,NaN,0,0,1,1
1,85,1,53,NaN,NaN,1,NaN,1.099264e-01,NaN,0,1,2,1
1,86,1,20,NaN,NaN,1,NaN,2.422394e-01,NaN,2,0,1,1
1,87,1,19,NaN,NaN,2,NaN,2.900774e-01,NaN,0,1,1,1
1,88,1,144,NaN,NaN,1,NaN,2.797154e-01,NaN,0,0,3,1
1,89,1,82,NaN,NaN,1,NaN,3.814109e-01,NaN,2,0,2,1
1,90,1,71,NaN,NaN,1,NaN,3.430943e-01,NaN,0,0,2,1
1,91,1,72,NaN,NaN,1,NaN,4.335110e-01,NaN,2,0,2,1
1,92,1,90,NaN,NaN,1,NaN,2.249300e-01,NaN,2,0,2,1
1,93,1,98,NaN,NaN,2,NaN,2.251355e-01,NaN,2,0,3,1
1,94,1,115,NaN,NaN,1,NaN,2.585944e-01,NaN,0,1,3,1
1,95,1,71,NaN,NaN,1,NaN,2.083423e-01,NaN,1,0,2,1
1,96,1,103,NaN,NaN,1,NaN,2.330275e-01,NaN,2,0,3,1
1,97,1,70,NaN,NaN,1,NaN,2.404063e-01,NaN,1,0,2,1
1,98,1,56,NaN,NaN,1,NaN,3.122198e-01,NaN,2,0,2,1
1,99,1,63,NaN,NaN,1,NaN,2.677991e-01,NaN,1,0,2,1
1,100,1,47,NaN,NaN,1,NaN,2.748474e-01,NaN,1,0,1,1
1,101,1,112,NaN,NaN,1,NaN,2.886774e-01,NaN,0,1,3,1
1,102,1,68,NaN,NaN,1,NaN,2.303002e-01,NaN,1,1,2,1
1,103,1,122,NaN,NaN,2,NaN,2.774787e-01,NaN,0,0,3,1
1,104,1,137,NaN,NaN,1,NaN,2.190786e-01,NaN,0,0,3,1
1,105,1,84,NaN,NaN,1,NaN,1.876351e-01,NaN,1,0,2,1
1,106,1,92,NaN,NaN,1,NaN,2.376464e-01,NaN,0,0,2,1
1,107,1,25,NaN,NaN,1,NaN,2.615272e-01,NaN,2,0,1,1
1,108,1,65,NaN,NaN,1,NaN,5.403322e-01,NaN,0,0,2,1
