Trial,Cond,imageIDT,imageIDC,cue,Block,Correct,Response,RT,Accuracy,cueRep
1,1,F_Image_6.bmp,NA,NA,NA,NA,1,5.6384,NA,NA
2,1,S_Lure_54.bmp,NA,NA,NA,NA,1,3.6151,NA,NA
3,1,F_Lure_4.bmp,NA,NA,NA,NA,1,2.2499,NA,NA
4,1,O_Lure_41.bmp,NA,NA,NA,NA,1,2.0575,NA,NA
5,1,F_Lure_21.bmp,NA,NA,NA,NA,1,5.6893,NA,NA
6,1,S_Lure_63.bmp,NA,NA,NA,NA,1,14.2543,NA,NA
7,1,F_Image_7.bmp,NA,NA,NA,NA,2,1.9444,NA,NA
8,1,S_Lure_61.bmp,NA,NA,NA,NA,2,11.2266,NA,NA
9,1,F_Image_2.bmp,NA,NA,NA,NA,1,3.0266,NA,NA
10,1,S_Lure_64.bmp,NA,NA,NA,NA,1,5.2759,NA,NA
11,1,F_Image_22.bmp,NA,NA,NA,NA,1,2.0367,NA,NA
12,1,F_Lure_1.bmp,NA,NA,NA,NA,1,0.36442,NA,NA
13,1,S_Lure_66.bmp,NA,NA,NA,NA,1,1.3608,NA,NA
14,1,O_Lure_25.bmp,NA,NA,NA,NA,1,3.5169,NA,NA
15,1,O_Lure_31.bmp,NA,NA,NA,NA,1,5.3117,NA,NA
16,1,S_Image_60.bmp,NA,NA,NA,NA,1,1.8704,NA,NA
17,1,S_Image_68.bmp,NA,NA,NA,NA,1,4.6257,NA,NA
18,1,O_Lure_29.bmp,NA,NA,NA,NA,1,2.2192,NA,NA
19,1,S_Lure_70.bmp,NA,NA,NA,NA,2,4.884,NA,NA
20,1,S_Lure_56.bmp,NA,NA,NA,NA,1,2.9553,NA,NA
21,1,F_Image_8.bmp,NA,NA,NA,NA,1,13.7103,NA,NA
22,1,S_Image_50.bmp,NA,NA,NA,NA,1,3.2115,NA,NA
23,1,S_Lure_51.bmp,NA,NA,NA,NA,1,0.00013432,NA,NA
24,1,F_Image_18.bmp,NA,NA,NA,NA,1,2.256,NA,NA
25,1,S_Image_56.bmp,NA,NA,NA,NA,1,3.2873,NA,NA
26,1,F_Image_16.bmp,NA,NA,NA,NA,1,0.13331,NA,NA
27,1,O_Image_48.bmp,NA,NA,NA,NA,2,2.546,NA,NA
28,1,O_Lure_40.bmp,NA,NA,NA,NA,1,1.0454,NA,NA
29,1,O_Image_43.bmp,NA,NA,NA,NA,1,0.81486,NA,NA
30,1,S_Image_67.bmp,NA,NA,NA,NA,1,0.48155,NA,NA
31,1,S_Image_49.bmp,NA,NA,NA,NA,1,2.0155,NA,NA
32,1,S_Image_51.bmp,NA,NA,NA,NA,1,0.24902,NA,NA
33,1,O_Image_46.bmp,NA,NA,NA,NA,1,3.6803,NA,NA
34,1,F_Lure_14.bmp,NA,NA,NA,NA,1,1.3191,NA,NA
35,1,F_Image_3.bmp,NA,NA,NA,NA,1,0.051775,NA,NA
