Cue,numImage,numComp,Base,CatT,CatC
20,22,50,1,1,3
14,6,61,1,1,3
33,3,57,1,1,3
28,16,37,1,1,2
16,11,48,1,1,2
34,7,31,1,1,2
4,17,59,1,1,3
8,14,25,1,1,2
3,8,43,1,1,2
1,5,64,1,1,3
17,21,26,1,1,2
15,19,71,1,1,3
18,32,24,1,2,1
31,40,65,1,2,3
2,34,23,1,2,1
25,35,67,1,2,3
11,30,2,1,2,1
27,45,53,1,2,3
30,33,9,2,2,1
13,38,49,2,2,3
32,42,52,2,2,3
19,28,4,2,2,1
24,41,66,2,2,3
23,47,10,2,2,1
12,55,27,2,3,2
7,68,1,2,3,1
6,69,39,2,3,2
10,54,15,2,3,1
29,60,13,2,3,1
9,72,12,2,3,1
5,62,46,2,3,2
26,70,20,2,3,1
21,51,44,2,3,2
35,58,29,2,3,2
22,56,18,2,3,1
36,63,36,2,3,2
