picID	 fileAB	 fileAC	 ;
"F21_P9_RP"	"KateWinslet2.bmp"	"Atomium2.bmp"	;
"F20_P13_RP"	"GeorgeClooney2.bmp"	"BigBen1.bmp"	;
"F30_P12_RP"	"NikolaSarkozy2.bmp"	"SistineChapel2.bmp"	;
"F47_P39_C"	"ElvisPresley1.bmp"	"NotreDame2.bmp"	;
"F26_P3_RP"	"BradPitt1.bmp"	"Akropolis1.bmp"	;
"F34_P7_RP"	"DanielRadcliffe2.bmp"	"AyersRock1.bmp"	;
"F28_P11_RP"	"BarackObama1.bmp"	"WhiteHouse2.bmp"	;
"F43_P37_C"	"GeorgeBush2.bmp"	"AngkorWat2.bmp"	;
"F25_P17_RP"	"BritneySpears2.bmp"	"EiffelTower2.bmp"	;
"F36_P2_RP"	"MickJagger2.bmp"	"ForbiddenCity1.bmp"	;
"F22_P16_RP"	"WayneRooney2.bmp"	"LeaningTower1.bmp"	;
"F48_P41_C"	"DavidBeckham1.bmp"	"HollywoodSign2.bmp"	;
"F19_O2_RP"	"JackNicholson1.bmp"	"Bed2.bmp"	;
"F35_O18_RP"	"JudiDench2.bmp"	"Stapler2.bmp"	;
"F27_O12_RP"	"KateMoss2.bmp"	"Goggles1.bmp"	;
"F46_O37_C"	"ScarlettJohansson2.bmp"	"Hat2.bmp"	;
"F31_O8_RP"	"AlbertEinstein2.bmp"	"Ladder1.bmp"	;
"F33_O17_RP"	"MichaelJackson1.bmp"	"Belt2.bmp"	;
"F32_O14_RP"	"DanielCraig2.bmp"	"Hammock1.bmp"	;
"F44_O38_C"	"WillSmith1.bmp"	"Barbecue2.bmp"	;
"F29_O9_RP"	"PierceBrosnan1.bmp"	"Shoe1.bmp"	;
"F24_O1_RP"	"AmyWinehouse1.bmp"	"Telephone1.bmp"	;
"F23_O7_RP"	"CharlieChaplin1.bmp"	"Headphones2.bmp"	;
"F45_O40_C"	"MahadmaGandhi2.bmp"	"Teddybear2.bmp"	;
"P29_F5_RP"	"StatueOfLiberty2.bmp"	"TomCruise1.bmp"	;
"P27_F11_RP"	"Alhambra2.bmp"	"MotherTeresa1.bmp"	;
