picID	 fileAB	 fileAC	 ;
"F16_P33_RP"	"EltonJohn2.bmp"	"Mecca1.bmp"	;
"F3_P32_RP"	"BillGates2.bmp"	"TowerBridge2.bmp"	;
"F4_P29_RP"	"TonyBlair1.bmp"	"StatueOfLiberty2.bmp"	;
"F37_P43_C"	"BillClinton2.bmp"	"MachuPicchu1.bmp"	;
"F7_P34_RP"	"RobbieWilliams2.bmp"	"NeuschwansteinCastle1.bmp"	;
"F8_P28_RP"	"TomHanks1.bmp"	"MontSaintMichel2.bmp"	;
"F5_P21_RP"	"TomCruise2.bmp"	"HagiaSophia1.bmp"	;
"F39_P46_C"	"MargaretThatcher1.bmp"	"Versailles1.bmp"	;
"F14_P36_RP"	"JohnLennon2.bmp"	"SydneyOpera1.bmp"	;
"F12_P26_RP"	"QueenElisabeth2.bmp"	"RialtoBridge2.bmp"	;
"F13_P20_RP"	"NelsonMandela2.bmp"	"GoldenGateBridge2.bmp"	;
"F42_P47_C"	"Madonna1.bmp"	"SagradaFamilia1.bmp"	;
"F6_O21_RP"	"JenniferLopez1.bmp"	"RemoteControl2.bmp"	;
"F2_O30_RP"	"MarilynMonroe1.bmp"	"Umbrella2.bmp"	;
"F17_O26_RP"	"MerylStreep2.bmp"	"Lightbulb1.bmp"	;
"F40_O48_C"	"JuliaRoberts1.bmp"	"Trophy2.bmp"	;
"F11_O31_RP"	"MotherTeresa1.bmp"	"Flask2.bmp"	;
"F9_O22_RP"	"WhoopiGoldberg1.bmp"	"Globe1.bmp"	;
"F18_O20_RP"	"AngelaMerkel1.bmp"	"Wheelchair2.bmp"	;
"F41_O44_C"	"PrinceWilliam2.bmp"	"Radio1.bmp"	;
"F10_O36_RP"	"HughGrant2.bmp"	"GrandPiano2.bmp"	;
"F1_O32_RP"	"LeonardoDiCaprio1.bmp"	"Bicycle2.bmp"	;
"F15_O33_RP"	"FidelCastro2.bmp"	"Skirt1.bmp"	;
"F38_O45_C"	"RodSteward1.bmp"	"Basket1.bmp"	;
"P10_F32_RP"	"RedSquare2.bmp"	"DanielCraig1.bmp"	;
"P1_F29_RP"	"Alcatraz1.bmp"	"PierceBrosnan1.bmp"	;
"P13_F21_RP"	"BigBen2.bmp"	"KateWinslet1.bmp"	;
"P39_F45_C"	"NotreDame1.bmp"	"MahadmaGandhi1.bmp"	;
"P18_F31_RP"	"Petra2.bmp"	"AlbertEinstein2.bmp"	;
"P14_F35_RP"	"MountEverest2.bmp"	"JudiDench1.bmp"	;
"P8_F36_RP"	"BrandenburgGate1.bmp"	"MickJagger1.bmp"	;
"P42_F46_C"	"ChristTheRedeemer2.bmp"	"ScarlettJohansson1.bmp"	;
"P11_F33_RP"	"WhiteHouse1.bmp"	"MichaelJackson2.bmp"	;
"P6_F28_RP"	"KingsCollege2.bmp"	"BarackObama2.bmp"	;
"P7_F34_RP"	"AyersRock2.bmp"	"DanielRadcliffe1.bmp"	;
"P37_F44_C"	"AngkorWat1.bmp"	"WillSmith1.bmp"	;
"P9_O28_RP"	"Atomium1.bmp"	"Suitcase2.bmp"	;
"P12_O29_RP"	"SistineChapel1.bmp"	"Canoe2.bmp"	;
"P2_O35_RP"	"ForbiddenCity2.bmp"	"Brush2.bmp"	;
"P38_O46_C"	"GreatWall1.bmp"	"Rope2.bmp"	;
"P3_O23_RP"	"Akropolis2.bmp"	"Pillows2.bmp"	;
"P15_O27_RP"	"Stonehenge2.bmp"	"Fan1.bmp"	;
"P5_O25_RP"	"MountRushmore1.bmp"	"Sock2.bmp"	;
"P40_O47_C"	"RapaNui1.bmp"	"Scissors2.bmp"	;
"P17_O24_RP"	"EiffelTower1.bmp"	"Necklace1.bmp"	;
"P4_O19_RP"	"DoverCliffs1.bmp"	"Microscope2.bmp"	;
"P16_O34_RP"	"LeaningTower1.bmp"	"Soother1.bmp"	;
"P41_O43_C"	"HollywoodSign1.bmp"	"Guitar2.bmp"	;
"O6_F19_RP"	"Wineglass2.bmp"	"JackNicholson2.bmp"	;
"O14_F20_RP"	"Hammock1.bmp"	"GeorgeClooney1.bmp"	;
"O3_F25_RP"	"Scale2.bmp"	"BritneySpears2.bmp"	;
"O41_F43_C"	"Key2.bmp"	"GeorgeBush1.bmp"	;
"O9_F30_RP"	"Shoe2.bmp"	"NikolaSarkozy1.bmp"	;
"O4_F22_RP"	"Football2.bmp"	"WayneRooney2.bmp"	;
"O12_F23_RP"	"Goggles1.bmp"	"CharlieChaplin2.bmp"	;
"O37_F48_C"	"Hat2.bmp"	"DavidBeckham1.bmp"	;
"O18_F26_RP"	"Stapler2.bmp"	"BradPitt2.bmp"	;
"O1_F24_RP"	"Telephone2.bmp"	"AmyWinehouse1.bmp"	;
"O8_F27_RP"	"Ladder1.bmp"	"KateMoss1.bmp"	;
"O39_F47_C"	"Mirror1.bmp"	"ElvisPresley2.bmp"	;
"O10_P22_RP"	"Broom2.bmp"	"TimeSquare2.bmp"	;
"O17_P30_RP"	"Belt2.bmp"	"Colosseum2.bmp"	;
"O15_P24_RP"	"FryingPan1.bmp"	"ChichenItza2.bmp"	;
"O42_P44_C"	"Anchor2.bmp"	"Louvre2.bmp"	;
"O13_P27_RP"	"Binoculars2.bmp"	"Alhambra2.bmp"	;
"O11_P31_RP"	"Watch2.bmp"	"NiagaraFalls2.bmp"	;
"O7_P35_RP"	"Headphones1.bmp"	"PotalaPalace2.bmp"	;
"O38_P45_C"	"Barbecue1.bmp"	"MountFuji2.bmp"	;
"O5_P23_RP"	"Torch1.bmp"	"GizehPyramids2.bmp"	;
"O16_P19_RP"	"Razor2.bmp"	"TajMahal1.bmp"	;
"O2_P25_RP"	"Bed2.bmp"	"SaharaDesert1.bmp"	;
"O40_P48_C"	"Teddybear1.bmp"	"GrandCanyon2.bmp"	;
