Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,96,NA,NA,NA,1,1.6634,NA,NA,O_Image_96.bmp,1,0,2
2,1,143,NA,NA,NA,2,0.78359,NA,NA,S_Lure_143.bmp,0,0,3
3,1,123,NA,NA,NA,2,0.4592,NA,NA,S_Image_123.bmp,1,1,3
4,1,114,NA,NA,NA,1,0.35567,NA,NA,S_Lure_114.bmp,0,0,3
5,1,127,NA,NA,NA,1,0.24917,NA,NA,S_Lure_127.bmp,0,1,3
6,1,142,NA,NA,NA,2,0.082359,NA,NA,S_Image_142.bmp,1,0,3
7,1,6,NA,NA,NA,1,0.22465,NA,NA,F_Image_6.bmp,2,0,1
8,1,132,NA,NA,NA,2,0.00012134,NA,NA,S_Image_132.bmp,2,1,3
9,1,1,NA,NA,NA,1,1.5953,NA,NA,F_Lure_1.bmp,0,0,1
10,1,93,NA,NA,NA,1,0.44807,NA,NA,O_Lure_93.bmp,0,1,2
11,1,73,NA,NA,NA,1,0.29739,NA,NA,O_Lure_73.bmp,0,0,2
12,1,93,NA,NA,NA,1,0.29608,NA,NA,O_Image_93.bmp,1,1,2
13,1,134,NA,NA,NA,2,0.27157,NA,NA,S_Lure_134.bmp,0,1,3
14,1,3,NA,NA,NA,2,0.23958,NA,NA,F_Image_3.bmp,1,0,1
15,1,5,NA,NA,NA,1,0.24088,NA,NA,F_Lure_5.bmp,0,1,1
16,1,122,NA,NA,NA,2,0.39425,NA,NA,S_Image_122.bmp,1,1,3
17,1,110,NA,NA,NA,1,0.26754,NA,NA,S_Image_110.bmp,2,1,3
18,1,33,NA,NA,NA,1,0.25182,NA,NA,F_Lure_33.bmp,0,0,1
19,1,82,NA,NA,NA,1,0.22911,NA,NA,O_Lure_82.bmp,0,1,2
20,1,49,NA,NA,NA,1,0.063566,NA,NA,O_Image_49.bmp,2,1,2
21,1,30,NA,NA,NA,2,0.21853,NA,NA,F_Image_30.bmp,2,1,1
22,1,86,NA,NA,NA,1,0.47038,NA,NA,O_Lure_86.bmp,0,0,2
23,1,20,NA,NA,NA,1,0.27984,NA,NA,F_Image_20.bmp,1,0,1
24,1,76,NA,NA,NA,1,0.17658,NA,NA,O_Lure_76.bmp,0,0,2
25,1,100,NA,NA,NA,2,0.15847,NA,NA,S_Lure_100.bmp,0,0,3
26,1,34,NA,NA,NA,1,0.24996,NA,NA,F_Image_34.bmp,2,0,1
27,1,97,NA,NA,NA,2,0.22199,NA,NA,S_Image_97.bmp,1,1,3
28,1,79,NA,NA,NA,1,0.026751,NA,NA,O_Image_79.bmp,1,1,2
29,1,99,NA,NA,NA,2,0.00012315,NA,NA,S_Image_99.bmp,2,0,3
30,1,53,NA,NA,NA,1,0.00012617,NA,NA,O_Image_53.bmp,1,0,2
31,1,112,NA,NA,NA,1,0.19359,NA,NA,S_Lure_112.bmp,0,0,3
32,1,39,NA,NA,NA,2,0.24613,NA,NA,F_Image_39.bmp,1,0,1
33,1,65,NA,NA,NA,1,0.51888,NA,NA,O_Lure_65.bmp,0,1,2
34,1,111,NA,NA,NA,1,0.30217,NA,NA,S_Lure_111.bmp,0,0,3
35,1,40,NA,NA,NA,1,0.23023,NA,NA,F_Lure_40.bmp,0,0,1
36,1,38,NA,NA,NA,1,0.96155,NA,NA,F_Lure_38.bmp,0,1,1
37,1,77,NA,NA,NA,1,0.24984,NA,NA,O_Lure_77.bmp,0,0,2
38,1,31,NA,NA,NA,1,0.25242,NA,NA,F_Lure_31.bmp,0,0,1
39,1,47,NA,NA,NA,1,0.25653,NA,NA,F_Image_47.bmp,2,1,1
40,1,19,NA,NA,NA,1,0.26773,NA,NA,F_Lure_19.bmp,0,0,1
41,1,48,NA,NA,NA,1,0.24649,NA,NA,F_Image_48.bmp,1,1,1
42,1,28,NA,NA,NA,2,0.26588,NA,NA,F_Image_28.bmp,1,0,1
43,1,29,NA,NA,NA,1,0.22786,NA,NA,F_Image_29.bmp,1,0,1
44,1,62,NA,NA,NA,1,0.25606,NA,NA,O_Image_62.bmp,2,0,2
45,1,18,NA,NA,NA,1,0.19473,NA,NA,F_Lure_18.bmp,0,1,1
