Trial,Cond,ImageNum,Cue,Block,Correct,Response,RT,Accuracy,CueRep,fName,ImageType,Baseline,Category
1,1,143,NA,NA,NA,2,0.91707,NA,NA,S_Image_143.bmp,2,1,3
2,1,74,NA,NA,NA,1,1.6741,NA,NA,O_Image_74.bmp,1,1,2
3,1,72,NA,NA,NA,1,0.83292,NA,NA,O_Image_72.bmp,2,0,2
4,1,36,NA,NA,NA,2,0.40762,NA,NA,F_Image_36.bmp,2,1,1
5,1,91,NA,NA,NA,1,0.06702,NA,NA,O_Lure_91.bmp,0,1,2
6,1,76,NA,NA,NA,1,0.79804,NA,NA,O_Lure_76.bmp,0,0,2
7,1,20,NA,NA,NA,1,0.60042,NA,NA,F_Image_20.bmp,2,0,1
8,1,25,NA,NA,NA,1,0.45104,NA,NA,F_Lure_25.bmp,0,0,1
9,1,135,NA,NA,NA,2,2.4258,NA,NA,S_Image_135.bmp,2,1,3
10,1,82,NA,NA,NA,1,0.00020452,NA,NA,O_Image_82.bmp,2,0,2
11,1,40,NA,NA,NA,1,0.00041554,NA,NA,F_Lure_40.bmp,0,0,1
12,1,44,NA,NA,NA,1,0.12743,NA,NA,F_Image_44.bmp,2,0,1
13,1,12,NA,NA,NA,2,0.059571,NA,NA,F_Lure_12.bmp,0,1,1
14,1,31,NA,NA,NA,1,0.47482,NA,NA,F_Image_31.bmp,2,0,1
15,1,52,NA,NA,NA,1,0.52087,NA,NA,O_Lure_52.bmp,0,0,2
16,1,104,NA,NA,NA,2,0.27959,NA,NA,S_Image_104.bmp,1,1,3
17,1,56,NA,NA,NA,1,0.28955,NA,NA,O_Lure_56.bmp,0,0,2
18,1,132,NA,NA,NA,2,0.00021612,NA,NA,S_Lure_132.bmp,0,1,3
19,1,123,NA,NA,NA,1,0.20741,NA,NA,S_Image_123.bmp,1,0,3
20,1,94,NA,NA,NA,1,0.63144,NA,NA,O_Image_94.bmp,2,1,2
21,1,103,NA,NA,NA,1,0.00019664,NA,NA,S_Lure_103.bmp,0,0,3
22,1,75,NA,NA,NA,1,0.2827,NA,NA,O_Image_75.bmp,2,1,2
23,1,97,NA,NA,NA,1,2.0932,NA,NA,S_Image_97.bmp,2,1,3
24,1,81,NA,NA,NA,1,0.37785,NA,NA,O_Lure_81.bmp,0,0,2
25,1,71,NA,NA,NA,1,0.5531,NA,NA,O_Image_71.bmp,2,0,2
26,1,89,NA,NA,NA,1,0.53863,NA,NA,O_Image_89.bmp,2,0,2
27,1,75,NA,NA,NA,1,0.084571,NA,NA,O_Lure_75.bmp,0,1,2
28,1,82,NA,NA,NA,1,0.00019988,NA,NA,O_Lure_82.bmp,0,0,2
29,1,14,NA,NA,NA,1,0.30475,NA,NA,F_Image_14.bmp,1,1,1
30,1,135,NA,NA,NA,1,0.44932,NA,NA,S_Lure_135.bmp,0,1,3
31,1,13,NA,NA,NA,1,0.94206,NA,NA,F_Lure_13.bmp,0,0,1
32,1,12,NA,NA,NA,1,0.00018365,NA,NA,F_Image_12.bmp,1,1,1
33,1,54,NA,NA,NA,1,0.00024394,NA,NA,O_Image_54.bmp,2,0,2
34,1,90,NA,NA,NA,1,0.29692,NA,NA,O_Lure_90.bmp,0,1,2
35,1,140,NA,NA,NA,1,0.31764,NA,NA,S_Image_140.bmp,2,1,3
36,1,104,NA,NA,NA,2,0.42316,NA,NA,S_Lure_104.bmp,0,1,3
37,1,107,NA,NA,NA,1,0.63426,NA,NA,S_Image_107.bmp,2,1,3
38,1,60,NA,NA,NA,1,0.37207,NA,NA,O_Lure_60.bmp,0,0,2
39,1,138,NA,NA,NA,1,0.38014,NA,NA,S_Image_138.bmp,2,0,3
40,1,47,NA,NA,NA,1,0.40156,NA,NA,F_Lure_47.bmp,0,1,1
41,1,49,NA,NA,NA,1,0.6022,NA,NA,O_Lure_49.bmp,0,1,2
42,1,105,NA,NA,NA,2,0.66021,NA,NA,S_Lure_105.bmp,0,1,3
43,1,78,NA,NA,NA,1,0.47709,NA,NA,O_Lure_78.bmp,0,0,2
44,1,119,NA,NA,NA,1,0.47661,NA,NA,S_Lure_119.bmp,0,0,3
45,1,102,NA,NA,NA,2,0.49526,NA,NA,S_Lure_102.bmp,0,0,3
46,1,43,NA,NA,NA,1,0.48142,NA,NA,F_Lure_43.bmp,0,0,1
47,1,121,NA,NA,NA,2,0.27324,NA,NA,S_Lure_121.bmp,0,0,3
48,1,41,NA,NA,NA,2,0.40469,NA,NA,F_Lure_41.bmp,0,1,1
49,1,26,NA,NA,NA,1,0.41876,NA,NA,F_Lure_26.bmp,0,1,1
50,1,137,NA,NA,NA,1,0.49282,NA,NA,S_Lure_137.bmp,0,0,3
51,1,125,NA,NA,NA,1,0.31612,NA,NA,S_Lure_125.bmp,0,0,3
52,1,108,NA,NA,NA,2,0.45339,NA,NA,S_Lure_108.bmp,0,1,3
53,1,11,NA,NA,NA,1,0.38355,NA,NA,F_Lure_11.bmp,0,0,1
54,1,119,NA,NA,NA,1,0.15751,NA,NA,S_Image_119.bmp,1,0,3
55,1,53,NA,NA,NA,1,0.31279,NA,NA,O_Lure_53.bmp,0,0,2
56,1,60,NA,NA,NA,1,0.31515,NA,NA,O_Image_60.bmp,1,0,2
57,1,140,NA,NA,NA,1,0.38891,NA,NA,S_Lure_140.bmp,0,1,3
58,1,19,NA,NA,NA,2,0.47258,NA,NA,F_Image_19.bmp,2,0,1
59,1,133,NA,NA,NA,2,0.49342,NA,NA,S_Lure_133.bmp,0,0,3
60,1,4,NA,NA,NA,1,0.36334,NA,NA,F_Lure_4.bmp,0,1,1
61,1,21,NA,NA,NA,1,0.46116,NA,NA,F_Lure_21.bmp,0,0,1
62,1,110,NA,NA,NA,2,0.00017716,NA,NA,S_Image_110.bmp,1,0,3
63,1,143,NA,NA,NA,2,0.016397,NA,NA,S_Lure_143.bmp,0,1,3
64,1,36,NA,NA,NA,1,0.27156,NA,NA,F_Lure_36.bmp,0,1,1
65,1,3,NA,NA,NA,2,0.00020684,NA,NA,F_Lure_3.bmp,0,1,1
66,1,136,NA,NA,NA,1,0.056743,NA,NA,S_Image_136.bmp,1,0,3
67,1,47,NA,NA,NA,1,0.11181,NA,NA,F_Image_47.bmp,2,1,1
68,1,79,NA,NA,NA,1,0.49944,NA,NA,O_Lure_79.bmp,0,0,2
69,1,24,NA,NA,NA,1,0.091897,NA,NA,F_Image_24.bmp,1,0,1
70,1,99,NA,NA,NA,2,0.33715,NA,NA,S_Lure_99.bmp,0,0,3
