Output,RNG-number,Start-time,End-time,Initials,Notes,Visualization
Subject_16.csv-Subject_16.mat,2801,2016\7\7\10:50 AM,2016\7\7\12:26 AM,LH,(Room 201H),5
Subject_17.csv-Subject_17.mat,2720,2016\7\8\10:20 AM,2016\7\8\12:01 AM,LH,(Room 201H),3
Subject_19.csv-Subject_19.mat,9948,2016\7\11\2:14 PM,2016\7\11\3:48 PM,LH,(Room 201H),3
Subject_20.csv-Subject_20.mat,5692,2016\7\20\4:02 PM,2016\7\20\5:34 PM,LH,(Room 201H),2
Subject_24.csv-Subject_24.mat,5771,2016\8\2\2:23 PM,2016\8\2\3:58 PM,LH,(Room 201H),4
Subject_27.csv-Subject_27.mat,7969,2016\9\20\3:32 PM,2016\9\20\5:17 PM,LH,(Room 201H),4
Subject_28.csv-Subject_28.mat,4541,2016\9\20\5:21 PM,2016\9\20\6:50 PM,LH,(Room 201H),3
Subject_29.csv-Subject_29.mat,1585,2016\10\1\11:40 AM,2016\10\1\1:13 PM,LH,(Room 201H) Had to give 5 extra dollars because we were locked out for half an hour,4
Subject_30.csv-Subject_30.mat,8127,2016\10\1\2:24 PM,2016\10\1\4:06 PM,LH,(Room 201H),4
Subject_36.csv-Subject_36.mat,4482,2017\1\11\2:21 PM,2017\1\11\3:55 PM,LH,(Room 201H),3
Subject_38.csv-Subject_38.mat,18,2017\1\13\12:22 AM,2017\1\13\1:51 PM,LH,(Room 201H),3
Subject_40.csv-Subject_40.mat,3792,2017\1\19\10:48 AM,2017\1\19\12:32 AM,LH,(Room 201H),3
Subject_48.csv-Subject_48.mat,8260,2017\1\31\5:20 PM,2017\1\31\7:34 PM,LH,(Room 201H),5
Subject_51.csv-Subject_51.mat,605,2017\2\3\12:35 AM,2017\2\3\2:11 PM,LH,(Room 201H) Pressed wrong keys for most of SR phase,3
