19,Trial,Cond,Block,ImageFiles,Labels,Cues
19,1,1,1,O_Lure_85.bmp,Sock,NaN
19,2,1,1,S_Image_107.bmp,Colosseum,NaN
19,3,1,1,S_Lure_124.bmp,Mount Fuji,NaN
19,4,1,1,F_Lure_26.bmp,Madonna,NaN
19,5,1,1,O_Image_62.bmp,FryingPan,NaN
19,6,1,1,O_Lure_79.bmp,Remote Control,NaN
19,7,1,1,O_Image_69.bmp,Headphones,NaN
19,8,1,1,O_Image_68.bmp,Hat,NaN
19,9,1,1,F_Lure_20.bmp,Jennifer Lopez,NaN
19,10,1,1,S_Image_127.bmp,Niagara Falls,NaN
19,11,1,1,O_Image_66.bmp,Guitar,NaN
19,12,1,1,F_Image_18.bmp,Jack Nicholson,NaN
19,13,1,1,S_Image_102.bmp,Ayers Rock,NaN
19,14,1,1,F_Image_26.bmp,Madonna,NaN
19,15,1,1,F_Lure_48.bmp,Will Smith,NaN
19,16,1,1,F_Lure_36.bmp,Penelope Cruz,NaN
19,17,1,1,F_Lure_24.bmp,Keanu Reeves,NaN
19,18,1,1,S_Lure_135.bmp,Sahara Desert,NaN
19,19,1,1,S_Image_125.bmp,Mount Rushmore,NaN
19,20,1,1,F_Lure_30.bmp,Meryl Streep,NaN
19,21,1,1,F_Lure_31.bmp,Michael Jackson,NaN
19,22,1,1,F_Image_28.bmp,Margaret Thatcher,NaN
19,23,1,1,F_Lure_44.bmp,Tom Hanks,NaN
19,24,1,1,F_Lure_8.bmp,Cameron Diaz,NaN
19,25,1,1,O_Lure_55.bmp,Binoculars,NaN
19,26,1,1,O_Image_76.bmp,Pillows,NaN
19,27,1,1,O_Image_91.bmp,Torch,NaN
19,28,1,1,O_Image_95.bmp,Wheelchair,NaN
19,29,1,1,O_Lure_56.bmp,Broom,NaN
19,30,1,1,O_Lure_88.bmp,Suitcase,NaN
19,31,1,1,F_Image_27.bmp,Mahadma Gandhi,NaN
19,32,1,1,O_Image_70.bmp,Key,NaN
19,33,1,1,F_Image_12.bmp,David Beckham,NaN
19,34,1,1,O_Image_49.bmp,Anchor,NaN
19,35,1,1,S_Lure_117.bmp,Kings College,NaN
19,36,1,1,F_Lure_41.bmp,Rod Steward,NaN
19,37,1,1,O_Image_78.bmp,Razor,NaN
19,38,1,1,O_Image_65.bmp,GrandPiano,NaN
19,39,1,1,F_Image_33.bmp,Mother Teresa,NaN
19,40,1,1,F_Image_15.bmp,Fidel Castro,NaN
19,41,1,1,S_Lure_126.bmp,Neu schwanstein Castle,NaN
19,42,1,1,F_Lure_1.bmp,Albert Einstein,NaN
19,43,1,1,O_Lure_52.bmp,Bed,NaN
19,44,1,1,F_Image_5.bmp,Bill Clinton,NaN
19,45,1,1,S_Image_129.bmp,Petra,NaN
19,46,1,1,S_Lure_112.bmp,Golden Gate Bridge,NaN
19,47,1,1,O_Lure_51.bmp,Basket,NaN
19,48,1,1,F_Lure_45.bmp,Tony Blair,NaN
19,49,1,1,S_Image_137.bmp,Statue Of Liberty,NaN
19,50,1,1,S_Lure_118.bmp,Leaning Tower,NaN
