Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
46,1,1,125,NaN,NaN,1,NaN,1.482903e+00,NaN,1,0,3,1
46,2,1,20,NaN,NaN,1,NaN,5.251500e-01,NaN,0,0,1,1
46,3,1,4,NaN,NaN,1,NaN,6.343177e-01,NaN,1,0,1,1
46,4,1,1,NaN,NaN,1,NaN,4.100652e-01,NaN,2,1,1,1
46,5,1,85,NaN,NaN,1,NaN,3.554358e-01,NaN,2,0,2,1
46,6,1,106,NaN,NaN,1,NaN,5.750818e-01,NaN,2,1,3,1
46,7,1,62,NaN,NaN,1,NaN,5.375879e-01,NaN,0,0,2,1
46,8,1,64,NaN,NaN,1,NaN,8.378470e-01,NaN,1,0,2,1
46,9,1,87,NaN,NaN,1,NaN,6.855436e-01,NaN,2,1,2,1
46,10,1,13,NaN,NaN,1,NaN,4.040941e-01,NaN,0,0,1,1
46,11,1,113,NaN,NaN,1,NaN,6.130228e-01,NaN,0,1,3,1
46,12,1,116,NaN,NaN,1,NaN,4.700705e-01,NaN,0,0,3,1
46,13,1,21,NaN,NaN,1,NaN,6.927284e-01,NaN,0,0,1,1
46,14,1,66,NaN,NaN,1,NaN,6.264827e-01,NaN,2,1,2,1
46,15,1,121,NaN,NaN,2,NaN,2.451512e+00,NaN,1,0,3,1
46,16,1,123,NaN,NaN,1,NaN,6.906221e-01,NaN,0,0,3,1
46,17,1,140,NaN,NaN,1,NaN,1.544593e+00,NaN,1,0,3,1
46,18,1,47,NaN,NaN,1,NaN,5.959575e-01,NaN,1,1,1,1
46,19,1,6,NaN,NaN,1,NaN,7.334240e-01,NaN,0,0,1,1
46,20,1,118,NaN,NaN,1,NaN,7.455604e-01,NaN,1,0,3,1
46,21,1,110,NaN,NaN,2,NaN,7.247541e-01,NaN,0,0,3,1
46,22,1,27,NaN,NaN,1,NaN,5.212538e-01,NaN,0,0,1,1
46,23,1,139,NaN,NaN,1,NaN,5.184714e-01,NaN,2,0,3,1
46,24,1,71,NaN,NaN,1,NaN,5.073374e-01,NaN,0,0,2,1
46,25,1,129,NaN,NaN,1,NaN,8.484382e-01,NaN,1,0,3,1
46,26,1,56,NaN,NaN,1,NaN,6.155562e-01,NaN,0,0,2,1
46,27,1,79,NaN,NaN,1,NaN,7.124348e-01,NaN,1,0,2,1
46,28,1,99,NaN,NaN,2,NaN,3.891904e-01,NaN,0,0,3,1
46,29,1,4,NaN,NaN,1,NaN,3.270806e-01,NaN,0,0,1,1
46,30,1,133,NaN,NaN,2,NaN,4.919508e-01,NaN,0,0,3,1
46,31,1,88,NaN,NaN,1,NaN,2.822355e-01,NaN,1,1,2,1
46,32,1,106,NaN,NaN,1,NaN,4.560633e-01,NaN,0,1,3,1
46,33,1,61,NaN,NaN,1,NaN,5.912524e-01,NaN,0,0,2,1
46,34,1,46,NaN,NaN,2,NaN,3.615479e-01,NaN,2,0,1,1
46,35,1,82,NaN,NaN,1,NaN,2.120380e-01,NaN,0,0,2,1
46,36,1,94,NaN,NaN,1,NaN,2.685833e-01,NaN,0,1,2,1
46,37,1,72,NaN,NaN,1,NaN,4.435569e-01,NaN,2,0,2,1
46,38,1,80,NaN,NaN,1,NaN,3.713932e-01,NaN,0,0,2,1
46,39,1,25,NaN,NaN,1,NaN,4.061309e-01,NaN,2,0,1,1
46,40,1,25,NaN,NaN,1,NaN,4.876878e-01,NaN,0,0,1,1
46,41,1,103,NaN,NaN,1,NaN,2.774343e-01,NaN,0,0,3,1
46,42,1,98,NaN,NaN,1,NaN,1.052085e+00,NaN,0,0,3,1
46,43,1,81,NaN,NaN,1,NaN,4.675836e-01,NaN,2,0,2,1
46,44,1,90,NaN,NaN,1,NaN,5.145009e-01,NaN,0,1,2,1
46,45,1,68,NaN,NaN,1,NaN,5.349640e-01,NaN,1,0,2,1
46,46,1,131,NaN,NaN,2,NaN,9.476211e-01,NaN,0,0,3,1
46,47,1,62,NaN,NaN,1,NaN,4.387419e-01,NaN,1,0,2,1
46,48,1,78,NaN,NaN,1,NaN,5.185492e-01,NaN,0,0,2,1
46,49,1,81,NaN,NaN,1,NaN,1.043603e+00,NaN,0,0,2,1
46,50,1,112,NaN,NaN,1,NaN,5.555188e-01,NaN,1,0,3,1
46,51,1,85,NaN,NaN,1,NaN,5.585412e-01,NaN,0,0,2,1
46,52,1,92,NaN,NaN,1,NaN,2.501561e-01,NaN,0,0,2,1
46,53,1,117,NaN,NaN,2,NaN,1.481271e+00,NaN,0,0,3,1
46,54,1,118,NaN,NaN,1,NaN,1.423666e+00,NaN,0,0,3,1
46,55,1,8,NaN,NaN,1,NaN,4.002654e-01,NaN,1,1,1,1
46,56,1,60,NaN,NaN,1,NaN,4.495594e-01,NaN,0,0,2,1
46,57,1,113,NaN,NaN,1,NaN,1.377410e+00,NaN,1,1,3,1
46,58,1,54,NaN,NaN,1,NaN,8.837307e-01,NaN,0,0,2,1
46,59,1,45,NaN,NaN,2,NaN,3.695788e-01,NaN,2,0,1,1
46,60,1,44,NaN,NaN,1,NaN,7.005743e-01,NaN,1,0,1,1
46,61,1,88,NaN,NaN,1,NaN,2.018839e-01,NaN,0,1,2,1
46,62,1,124,NaN,NaN,1,NaN,7.474653e-01,NaN,1,0,3,1
46,63,1,12,NaN,NaN,1,NaN,1.374815e+00,NaN,2,0,1,1
46,64,1,135,NaN,NaN,1,NaN,5.696262e-01,NaN,2,1,3,1
46,65,1,32,NaN,NaN,1,NaN,1.387772e+00,NaN,2,0,1,1
46,66,1,78,NaN,NaN,1,NaN,5.102322e-01,NaN,1,0,2,1
46,67,1,100,NaN,NaN,2,NaN,7.951973e-01,NaN,0,0,3,1
46,68,1,57,NaN,NaN,1,NaN,3.089172e-01,NaN,1,0,2,1
46,69,1,15,NaN,NaN,1,NaN,5.943605e-01,NaN,0,0,1,1
46,70,1,101,NaN,NaN,2,NaN,4.922563e-01,NaN,2,0,3,1
46,71,1,49,NaN,NaN,1,NaN,3.624353e-01,NaN,1,0,2,1
46,72,1,21,NaN,NaN,1,NaN,4.849863e-01,NaN,2,0,1,1
46,73,1,63,NaN,NaN,1,NaN,3.711206e-01,NaN,2,0,2,1
46,74,1,83,NaN,NaN,1,NaN,5.178556e-01,NaN,1,1,2,1
46,75,1,9,NaN,NaN,1,NaN,3.302563e-01,NaN,0,0,1,1
46,76,1,34,NaN,NaN,1,NaN,4.943263e-01,NaN,2,0,1,1
46,77,1,86,NaN,NaN,1,NaN,5.327209e-01,NaN,2,1,2,1
46,78,1,119,NaN,NaN,1,NaN,7.844313e-01,NaN,0,1,3,1
46,79,1,17,NaN,NaN,1,NaN,4.907338e-01,NaN,0,1,1,1
46,80,1,108,NaN,NaN,2,NaN,7.203236e-01,NaN,1,0,3,1
46,81,1,31,NaN,NaN,1,NaN,4.532468e-01,NaN,0,0,1,1
46,82,1,59,NaN,NaN,1,NaN,6.527681e-01,NaN,0,0,2,1
46,83,1,58,NaN,NaN,1,NaN,5.081168e-01,NaN,0,0,2,1
46,84,1,131,NaN,NaN,2,NaN,1.641418e+00,NaN,1,0,3,1
46,85,1,67,NaN,NaN,1,NaN,4.331520e-01,NaN,0,1,2,1
46,86,1,12,NaN,NaN,1,NaN,2.545135e+00,NaN,0,0,1,1
46,87,1,19,NaN,NaN,1,NaN,2.092761e+00,NaN,2,1,1,1
46,88,1,135,NaN,NaN,1,NaN,5.867696e-01,NaN,0,1,3,1
46,89,1,69,NaN,NaN,1,NaN,5.970158e-01,NaN,0,0,2,1
46,90,1,93,NaN,NaN,1,NaN,3.741629e-01,NaN,0,0,2,1
46,91,1,142,NaN,NaN,2,NaN,5.451945e-01,NaN,0,0,3,1
46,92,1,56,NaN,NaN,1,NaN,4.762125e-01,NaN,2,0,2,1
46,93,1,11,NaN,NaN,1,NaN,7.954520e-01,NaN,0,0,1,1
46,94,1,76,NaN,NaN,1,NaN,6.445694e-01,NaN,0,1,2,1
46,95,1,2,NaN,NaN,1,NaN,5.804432e-01,NaN,0,1,1,1
46,96,1,104,NaN,NaN,1,NaN,5.264184e-01,NaN,2,1,3,1
46,97,1,68,NaN,NaN,1,NaN,2.354918e-01,NaN,0,0,2,1
46,98,1,82,NaN,NaN,1,NaN,6.031367e-01,NaN,1,0,2,1
46,99,1,38,NaN,NaN,1,NaN,5.726589e-01,NaN,0,0,1,1
46,100,1,76,NaN,NaN,1,NaN,9.276141e-01,NaN,1,1,2,1
46,101,1,108,NaN,NaN,1,NaN,2.035933e+00,NaN,0,0,3,1
46,102,1,5,NaN,NaN,1,NaN,5.880202e-01,NaN,0,1,1,1
46,103,1,122,NaN,NaN,2,NaN,3.580778e-01,NaN,0,0,3,1
46,104,1,84,NaN,NaN,1,NaN,4.499370e-01,NaN,1,0,2,1
46,105,1,64,NaN,NaN,1,NaN,3.448415e-01,NaN,0,0,2,1
46,106,1,29,NaN,NaN,1,NaN,5.161761e-01,NaN,1,1,1,1
46,107,1,55,NaN,NaN,1,NaN,8.328240e-01,NaN,2,0,2,1
46,108,1,143,NaN,NaN,2,NaN,4.411210e-01,NaN,0,1,3,1
46,109,1,13,NaN,NaN,1,NaN,6.808966e-01,NaN,2,0,1,1
46,110,1,39,NaN,NaN,2,NaN,4.630197e-01,NaN,2,0,1,1
46,111,1,89,NaN,NaN,1,NaN,4.618739e-01,NaN,0,0,2,1
46,112,1,94,NaN,NaN,1,NaN,5.486874e-01,NaN,1,1,2,1
46,113,1,91,NaN,NaN,1,NaN,7.838339e-01,NaN,2,1,2,1
46,114,1,43,NaN,NaN,1,NaN,4.499669e-01,NaN,1,0,1,1
46,115,1,105,NaN,NaN,1,NaN,6.012082e-01,NaN,2,0,3,1
46,116,1,111,NaN,NaN,1,NaN,1.946974e+00,NaN,0,0,3,1
46,117,1,59,NaN,NaN,1,NaN,4.298561e-01,NaN,1,0,2,1
