16,Trial,Cond,Block,ImageFiles,Labels,Cues
16,1,1,1,S_Image_116.bmp,Hollywood Sign,NaN
16,2,1,1,F_Image_11.bmp,Daniel Radcliffe,NaN
16,3,1,1,O_Image_91.bmp,Torch,NaN
16,4,1,1,S_Image_110.bmp,Forbidden City,NaN
16,5,1,1,F_Lure_33.bmp,Mother Teresa,NaN
16,6,1,1,O_Lure_60.bmp,Flask,NaN
16,7,1,1,S_Lure_125.bmp,Mount Rushmore,NaN
16,8,1,1,S_Image_118.bmp,Leaning Tower,NaN
16,9,1,1,S_Image_129.bmp,Petra,NaN
16,10,1,1,F_Image_48.bmp,Will Smith,NaN
16,11,1,1,S_Image_120.bmp,Machu Picchu,NaN
16,12,1,1,S_Lure_101.bmp,Atomium,NaN
16,13,1,1,O_Lure_75.bmp,Necklace,NaN
16,14,1,1,S_Lure_128.bmp,Notre Dame,NaN
16,15,1,1,O_Image_74.bmp,Mirror,NaN
16,16,1,1,F_Image_12.bmp,David Beckham,NaN
16,17,1,1,F_Lure_46.bmp,Wayne Rooney,NaN
16,18,1,1,S_Image_128.bmp,Notre Dame,NaN
16,19,1,1,O_Image_88.bmp,Suitcase,NaN
16,20,1,1,F_Lure_27.bmp,Mahadma Gandhi,NaN
16,21,1,1,F_Image_3.bmp,Angela Merkel,NaN
16,22,1,1,O_Lure_79.bmp,Remote Control,NaN
16,23,1,1,O_Lure_53.bmp,Belt,NaN
16,24,1,1,S_Image_97.bmp,Akropolis,NaN
16,25,1,1,F_Lure_41.bmp,Rod Steward,NaN
16,26,1,1,F_Image_4.bmp,Barack Obama,NaN
16,27,1,1,F_Lure_3.bmp,Angela Merkel,NaN
16,28,1,1,O_Lure_54.bmp,Bicycle,NaN
16,29,1,1,O_Lure_64.bmp,Goggles,NaN
16,30,1,1,S_Lure_120.bmp,Machu Picchu,NaN
16,31,1,1,O_Image_66.bmp,Guitar,NaN
16,32,1,1,F_Lure_11.bmp,Daniel Radcliffe,NaN
16,33,1,1,S_Image_138.bmp,Stonehenge,NaN
16,34,1,1,S_Image_111.bmp,Gizeh Pyramids,NaN
16,35,1,1,O_Image_56.bmp,Broom,NaN
