Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
49,1,1,69,NaN,NaN,0,NaN,9.995230e+00,NaN,0,0,2,1
49,2,1,74,NaN,NaN,0,NaN,9.995432e+00,NaN,0,1,2,1
49,3,1,79,NaN,NaN,0,NaN,9.995409e+00,NaN,2,0,2,1
49,4,1,12,NaN,NaN,0,NaN,9.995113e+00,NaN,0,1,1,1
49,5,1,5,NaN,NaN,0,NaN,9.995234e+00,NaN,0,1,1,1
49,6,1,57,NaN,NaN,0,NaN,9.995472e+00,NaN,2,1,2,1
49,7,1,55,NaN,NaN,0,NaN,9.995307e+00,NaN,2,0,2,1
49,8,1,45,NaN,NaN,0,NaN,9.995323e+00,NaN,0,0,1,1
49,9,1,71,NaN,NaN,0,NaN,9.995298e+00,NaN,2,0,2,1
49,10,1,98,NaN,NaN,0,NaN,9.995086e+00,NaN,0,1,3,1
49,11,1,76,NaN,NaN,0,NaN,9.995181e+00,NaN,1,1,2,1
49,12,1,18,NaN,NaN,0,NaN,9.995582e+00,NaN,0,0,1,1
49,13,1,36,NaN,NaN,0,NaN,9.995474e+00,NaN,1,0,1,1
49,14,1,72,NaN,NaN,0,NaN,9.995119e+00,NaN,0,0,2,1
49,15,1,5,NaN,NaN,0,NaN,9.995556e+00,NaN,2,1,1,1
49,16,1,59,NaN,NaN,0,NaN,9.995603e+00,NaN,0,0,2,1
49,17,1,83,NaN,NaN,0,NaN,9.995017e+00,NaN,0,0,2,1
49,18,1,143,NaN,NaN,0,NaN,9.995463e+00,NaN,1,1,3,1
49,19,1,21,NaN,NaN,0,NaN,9.995588e+00,NaN,0,0,1,1
49,20,1,119,NaN,NaN,0,NaN,9.995347e+00,NaN,1,0,3,1
49,21,1,38,NaN,NaN,0,NaN,9.995558e+00,NaN,0,0,1,1
49,22,1,15,NaN,NaN,0,NaN,9.995634e+00,NaN,0,0,1,1
49,23,1,50,NaN,NaN,0,NaN,9.995062e+00,NaN,2,0,2,1
49,24,1,46,NaN,NaN,0,NaN,9.995294e+00,NaN,0,1,1,1
49,25,1,72,NaN,NaN,0,NaN,9.995450e+00,NaN,1,0,2,1
49,26,1,53,NaN,NaN,0,NaN,9.995167e+00,NaN,1,1,2,1
49,27,1,126,NaN,NaN,0,NaN,9.995155e+00,NaN,2,0,3,1
49,28,1,61,NaN,NaN,0,NaN,9.995177e+00,NaN,0,1,2,1
49,29,1,90,NaN,NaN,0,NaN,9.995026e+00,NaN,2,0,2,1
49,30,1,57,NaN,NaN,0,NaN,9.995116e+00,NaN,0,1,2,1
49,31,1,107,NaN,NaN,0,NaN,9.995205e+00,NaN,2,0,3,1
49,32,1,3,NaN,NaN,0,NaN,9.995067e+00,NaN,1,0,1,1
49,33,1,86,NaN,NaN,0,NaN,9.995444e+00,NaN,2,0,2,1
49,34,1,113,NaN,NaN,0,NaN,9.995092e+00,NaN,2,0,3,1
49,35,1,65,NaN,NaN,0,NaN,9.995146e+00,NaN,1,0,2,1
49,36,1,17,NaN,NaN,0,NaN,9.995499e+00,NaN,2,0,1,1
49,37,1,39,NaN,NaN,0,NaN,9.995475e+00,NaN,0,0,1,1
49,38,1,87,NaN,NaN,0,NaN,9.995038e+00,NaN,2,0,2,1
49,39,1,81,NaN,NaN,0,NaN,9.995304e+00,NaN,1,1,2,1
49,40,1,27,NaN,NaN,0,NaN,9.995602e+00,NaN,2,1,1,1
49,41,1,32,NaN,NaN,0,NaN,9.995419e+00,NaN,0,0,1,1
49,42,1,51,NaN,NaN,0,NaN,9.995093e+00,NaN,0,0,2,1
49,43,1,3,NaN,NaN,0,NaN,9.995458e+00,NaN,0,0,1,1
49,44,1,97,NaN,NaN,0,NaN,9.995525e+00,NaN,0,0,3,1
49,45,1,88,NaN,NaN,0,NaN,9.995457e+00,NaN,0,1,2,1
