Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
11,1,1,55,NaN,NaN,1,NaN,3.379232e+00,NaN,0,0,2,1
11,2,1,2,NaN,NaN,2,NaN,8.204473e-02,NaN,0,0,1,1
11,3,1,134,NaN,NaN,2,NaN,9.678145e-01,NaN,2,0,3,1
11,4,1,88,NaN,NaN,1,NaN,1.546516e+00,NaN,1,0,2,1
11,5,1,3,NaN,NaN,1,NaN,5.417901e-01,NaN,2,0,1,1
11,6,1,87,NaN,NaN,1,NaN,1.426222e-03,NaN,2,0,2,1
11,7,1,39,NaN,NaN,2,NaN,1.242034e+00,NaN,1,1,1,1
11,8,1,58,NaN,NaN,1,NaN,5.459022e-01,NaN,1,1,2,1
11,9,1,140,NaN,NaN,1,NaN,5.487754e-01,NaN,0,0,3,1
11,10,1,124,NaN,NaN,1,NaN,4.158688e-01,NaN,1,0,3,1
11,11,1,65,NaN,NaN,1,NaN,4.245342e-01,NaN,1,1,2,1
11,12,1,57,NaN,NaN,1,NaN,4.974139e-01,NaN,2,0,2,1
11,13,1,93,NaN,NaN,1,NaN,8.630139e-01,NaN,0,0,2,1
11,14,1,1,NaN,NaN,1,NaN,5.488141e-01,NaN,0,1,1,1
11,15,1,1,NaN,NaN,1,NaN,6.885983e-01,NaN,1,1,1,1
11,16,1,71,NaN,NaN,1,NaN,3.762147e-02,NaN,1,0,2,1
11,17,1,36,NaN,NaN,2,NaN,4.535814e-01,NaN,0,1,1,1
11,18,1,44,NaN,NaN,1,NaN,3.403336e-01,NaN,0,1,1,1
11,19,1,72,NaN,NaN,1,NaN,7.836097e-01,NaN,1,0,2,1
11,20,1,120,NaN,NaN,1,NaN,6.980684e-01,NaN,2,1,3,1
11,21,1,115,NaN,NaN,2,NaN,4.547827e-01,NaN,0,0,3,1
11,22,1,135,NaN,NaN,1,NaN,4.938075e-01,NaN,0,0,3,1
11,23,1,96,NaN,NaN,1,NaN,6.191789e-01,NaN,1,0,2,1
11,24,1,35,NaN,NaN,2,NaN,5.721416e-01,NaN,1,0,1,1
