Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
2,1,1,100,NaN,NaN,2,NaN,5.462521e-02,NaN,2,0,3,1
2,2,1,123,NaN,NaN,1,NaN,2.889490e+00,NaN,2,0,3,1
2,3,1,123,NaN,NaN,1,NaN,2.416089e+00,NaN,0,0,3,1
2,4,1,89,NaN,NaN,1,NaN,4.730446e-01,NaN,0,1,2,1
2,5,1,77,NaN,NaN,1,NaN,4.884518e-01,NaN,0,0,2,1
2,6,1,30,NaN,NaN,1,NaN,1.567158e+00,NaN,0,1,1,1
2,7,1,41,NaN,NaN,1,NaN,9.947666e-01,NaN,2,0,1,1
2,8,1,112,NaN,NaN,1,NaN,2.540749e+00,NaN,2,0,3,1
2,9,1,10,NaN,NaN,1,NaN,7.214344e-01,NaN,0,1,1,1
2,10,1,20,NaN,NaN,1,NaN,3.021381e-01,NaN,1,0,1,1
2,11,1,133,NaN,NaN,2,NaN,1.868510e+00,NaN,2,0,3,1
2,12,1,81,NaN,NaN,1,NaN,4.281534e-01,NaN,0,0,2,1
2,13,1,66,NaN,NaN,1,NaN,2.931847e-01,NaN,2,0,2,1
2,14,1,88,NaN,NaN,1,NaN,6.598108e-01,NaN,0,0,2,1
2,15,1,118,NaN,NaN,1,NaN,9.478602e-01,NaN,0,0,3,1
2,16,1,115,NaN,NaN,2,NaN,1.391872e+00,NaN,0,0,3,1
2,17,1,116,NaN,NaN,1,NaN,8.581492e-01,NaN,0,0,3,1
2,18,1,71,NaN,NaN,1,NaN,2.500411e-01,NaN,2,1,2,1
2,19,1,73,NaN,NaN,1,NaN,7.706870e-01,NaN,0,1,2,1
2,20,1,17,NaN,NaN,1,NaN,1.258701e-04,NaN,1,0,1,1
2,21,1,37,NaN,NaN,2,NaN,1.282849e-04,NaN,0,0,1,1
2,22,1,29,NaN,NaN,1,NaN,2.182884e-01,NaN,0,0,1,1
2,23,1,2,NaN,NaN,1,NaN,3.241466e-01,NaN,2,0,1,1
2,24,1,23,NaN,NaN,1,NaN,1.137063e+00,NaN,0,0,1,1
2,25,1,137,NaN,NaN,1,NaN,5.498275e-01,NaN,0,0,3,1
2,26,1,58,NaN,NaN,1,NaN,4.902909e-01,NaN,0,0,2,1
2,27,1,38,NaN,NaN,1,NaN,3.924401e-01,NaN,1,0,1,1
2,28,1,106,NaN,NaN,1,NaN,6.274305e-01,NaN,0,0,3,1
2,29,1,107,NaN,NaN,1,NaN,3.961114e-01,NaN,0,0,3,1
2,30,1,91,NaN,NaN,2,NaN,1.038812e+00,NaN,1,1,2,1
2,31,1,141,NaN,NaN,1,NaN,6.231763e-01,NaN,2,0,3,1
2,32,1,39,NaN,NaN,2,NaN,1.520748e+00,NaN,2,0,1,1
2,33,1,108,NaN,NaN,2,NaN,5.418141e-01,NaN,2,0,3,1
2,34,1,122,NaN,NaN,2,NaN,1.450291e+00,NaN,1,1,3,1
