Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
10,1,1,109,NaN,NaN,1,NaN,1.116875e+00,NaN,0,1,3,1
10,2,1,82,NaN,NaN,1,NaN,1.302971e+00,NaN,1,0,2,1
10,3,1,108,NaN,NaN,2,NaN,3.212782e+00,NaN,0,0,3,1
10,4,1,130,NaN,NaN,1,NaN,2.462029e+00,NaN,2,1,3,1
10,5,1,14,NaN,NaN,1,NaN,4.377221e-01,NaN,2,0,1,1
10,6,1,65,NaN,NaN,1,NaN,5.425282e-01,NaN,0,0,2,1
10,7,1,112,NaN,NaN,1,NaN,4.990418e-01,NaN,0,1,3,1
10,8,1,67,NaN,NaN,1,NaN,4.576061e-01,NaN,0,0,2,1
10,9,1,1,NaN,NaN,1,NaN,4.495510e-01,NaN,1,0,1,1
10,10,1,18,NaN,NaN,1,NaN,6.497687e-01,NaN,0,0,1,1
10,11,1,86,NaN,NaN,1,NaN,5.300534e-01,NaN,0,1,2,1
10,12,1,51,NaN,NaN,1,NaN,5.593943e-01,NaN,0,0,2,1
10,13,1,40,NaN,NaN,1,NaN,6.674799e-01,NaN,0,0,1,1
10,14,1,15,NaN,NaN,1,NaN,4.681005e-01,NaN,1,0,1,1
10,15,1,82,NaN,NaN,1,NaN,3.544563e-01,NaN,0,0,2,1
10,16,1,50,NaN,NaN,1,NaN,4.307845e-01,NaN,1,0,2,1
10,17,1,123,NaN,NaN,1,NaN,4.634952e-01,NaN,0,1,3,1
10,18,1,4,NaN,NaN,1,NaN,4.793797e-01,NaN,0,0,1,1
10,19,1,130,NaN,NaN,1,NaN,9.261292e-01,NaN,0,1,3,1
10,20,1,89,NaN,NaN,1,NaN,7.317550e-01,NaN,1,0,2,1
10,21,1,1,NaN,NaN,1,NaN,9.286834e-01,NaN,0,0,1,1
10,22,1,138,NaN,NaN,1,NaN,5.092280e-01,NaN,0,0,3,1
10,23,1,112,NaN,NaN,1,NaN,6.193451e-01,NaN,2,1,3,1
10,24,1,33,NaN,NaN,1,NaN,4.927310e-01,NaN,0,0,1,1
10,25,1,80,NaN,NaN,1,NaN,5.230946e-01,NaN,0,0,2,1
10,26,1,132,NaN,NaN,2,NaN,1.280448e+00,NaN,2,0,3,1
10,27,1,129,NaN,NaN,1,NaN,2.191281e+00,NaN,2,0,3,1
10,28,1,76,NaN,NaN,1,NaN,5.942642e-01,NaN,0,0,2,1
10,29,1,106,NaN,NaN,1,NaN,7.725009e-01,NaN,0,0,3,1
10,30,1,16,NaN,NaN,1,NaN,5.922668e-01,NaN,0,1,1,1
10,31,1,122,NaN,NaN,2,NaN,6.026392e-01,NaN,1,1,3,1
10,32,1,10,NaN,NaN,1,NaN,4.847369e-01,NaN,0,0,1,1
10,33,1,13,NaN,NaN,1,NaN,6.282049e-01,NaN,2,0,1,1
10,34,1,132,NaN,NaN,1,NaN,3.044605e+00,NaN,0,0,3,1
10,35,1,111,NaN,NaN,1,NaN,8.372245e-01,NaN,1,1,3,1
10,36,1,19,NaN,NaN,1,NaN,7.094807e-01,NaN,1,0,1,1
10,37,1,56,NaN,NaN,1,NaN,5.957136e-01,NaN,1,0,2,1
10,38,1,6,NaN,NaN,1,NaN,5.982099e-01,NaN,2,1,1,1
10,39,1,47,NaN,NaN,1,NaN,7.924109e-01,NaN,0,0,1,1
10,40,1,125,NaN,NaN,1,NaN,1.195232e+00,NaN,1,0,3,1
10,41,1,48,NaN,NaN,1,NaN,5.890141e-01,NaN,0,0,1,1
10,42,1,65,NaN,NaN,1,NaN,8.081151e-01,NaN,1,0,2,1
10,43,1,28,NaN,NaN,1,NaN,1.770114e+00,NaN,2,1,1,1
10,44,1,122,NaN,NaN,2,NaN,8.292648e-01,NaN,0,1,3,1
