Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
17,1,1,12,NaN,NaN,2,NaN,2.636832e+00,NaN,0,0,1,1
17,2,1,60,NaN,NaN,1,NaN,1.129080e+00,NaN,0,0,2,1
17,3,1,103,NaN,NaN,1,NaN,7.742046e-01,NaN,1,0,3,1
17,4,1,119,NaN,NaN,2,NaN,4.328025e-01,NaN,1,0,3,1
17,5,1,89,NaN,NaN,1,NaN,6.738496e-01,NaN,0,1,2,1
17,6,1,71,NaN,NaN,1,NaN,2.433170e+00,NaN,2,1,2,1
17,7,1,102,NaN,NaN,2,NaN,5.299558e-01,NaN,0,0,3,1
17,8,1,7,NaN,NaN,1,NaN,1.438612e+00,NaN,0,0,1,1
17,9,1,25,NaN,NaN,1,NaN,5.913565e-01,NaN,2,0,1,1
17,10,1,11,NaN,NaN,1,NaN,2.450043e+00,NaN,0,1,1,1
17,11,1,1,NaN,NaN,1,NaN,1.049817e+00,NaN,0,0,1,1
17,12,1,27,NaN,NaN,1,NaN,6.420802e-01,NaN,1,0,1,1
17,13,1,29,NaN,NaN,1,NaN,2.946412e+00,NaN,0,0,1,1
17,14,1,44,NaN,NaN,1,NaN,8.546286e-01,NaN,2,0,1,1
17,15,1,32,NaN,NaN,1,NaN,2.466213e-01,NaN,0,0,1,1
17,16,1,131,NaN,NaN,2,NaN,1.118666e+00,NaN,0,1,3,1
17,17,1,81,NaN,NaN,1,NaN,6.605285e-01,NaN,1,0,2,1
17,18,1,19,NaN,NaN,1,NaN,8.999336e-01,NaN,0,0,1,1
17,19,1,118,NaN,NaN,1,NaN,5.863893e-01,NaN,2,0,3,1
17,20,1,47,NaN,NaN,1,NaN,4.450403e-01,NaN,0,1,1,1
17,21,1,112,NaN,NaN,1,NaN,2.211904e-01,NaN,2,1,3,1
17,22,1,94,NaN,NaN,1,NaN,1.110535e+00,NaN,0,0,2,1
