Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
12,1,1,3,NaN,NaN,1,NaN,2.433641e+00,NaN,0,0,1,1
12,2,1,81,NaN,NaN,1,NaN,7.586438e-01,NaN,1,0,2,1
12,3,1,94,NaN,NaN,1,NaN,5.303153e-01,NaN,1,0,2,1
12,4,1,32,NaN,NaN,2,NaN,8.217888e-01,NaN,2,0,1,1
12,5,1,121,NaN,NaN,1,NaN,6.867464e-01,NaN,2,0,3,1
12,6,1,76,NaN,NaN,1,NaN,6.606299e-01,NaN,1,0,2,1
12,7,1,119,NaN,NaN,1,NaN,6.359351e-01,NaN,0,0,3,1
12,8,1,44,NaN,NaN,1,NaN,3.401479e-01,NaN,1,0,1,1
12,9,1,58,NaN,NaN,1,NaN,4.482170e-01,NaN,0,0,2,1
12,10,1,97,NaN,NaN,1,NaN,3.437831e-01,NaN,0,0,3,1
12,11,1,126,NaN,NaN,2,NaN,7.397128e-01,NaN,1,0,3,1
12,12,1,111,NaN,NaN,1,NaN,9.520385e-01,NaN,2,0,3,1
12,13,1,41,NaN,NaN,2,NaN,2.283789e+00,NaN,1,1,1,1
12,14,1,33,NaN,NaN,1,NaN,3.863427e-01,NaN,0,0,1,1
12,15,1,26,NaN,NaN,2,NaN,2.740261e+00,NaN,2,1,1,1
12,16,1,60,NaN,NaN,1,NaN,4.646269e-01,NaN,1,0,2,1
12,17,1,28,NaN,NaN,1,NaN,4.234676e-01,NaN,1,0,1,1
12,18,1,4,NaN,NaN,1,NaN,4.723666e-01,NaN,0,0,1,1
12,19,1,52,NaN,NaN,1,NaN,4.153150e-01,NaN,2,0,2,1
12,20,1,62,NaN,NaN,1,NaN,4.801579e-01,NaN,0,0,2,1
12,21,1,35,NaN,NaN,2,NaN,1.870985e+00,NaN,2,0,1,1
12,22,1,38,NaN,NaN,1,NaN,4.138682e-01,NaN,0,1,1,1
12,23,1,91,NaN,NaN,1,NaN,4.793870e-01,NaN,0,0,2,1
12,24,1,123,NaN,NaN,1,NaN,7.335491e-01,NaN,2,0,3,1
12,25,1,72,NaN,NaN,1,NaN,5.622602e-01,NaN,0,0,2,1
12,26,1,136,NaN,NaN,2,NaN,1.397290e+00,NaN,0,0,3,1
12,27,1,10,NaN,NaN,1,NaN,4.392424e-01,NaN,0,1,1,1
12,28,1,2,NaN,NaN,2,NaN,6.789530e-01,NaN,2,0,1,1
12,29,1,140,NaN,NaN,1,NaN,7.892418e-01,NaN,0,0,3,1
12,30,1,137,NaN,NaN,1,NaN,5.356143e-01,NaN,0,1,3,1
12,31,1,93,NaN,NaN,1,NaN,5.239041e-01,NaN,2,0,2,1
12,32,1,125,NaN,NaN,1,NaN,4.086807e-01,NaN,1,0,3,1
12,33,1,124,NaN,NaN,2,NaN,5.786330e-01,NaN,0,1,3,1
12,34,1,36,NaN,NaN,2,NaN,8.376144e-01,NaN,1,0,1,1
12,35,1,50,NaN,NaN,1,NaN,2.783965e-01,NaN,0,0,2,1
12,36,1,15,NaN,NaN,1,NaN,3.255283e-01,NaN,0,0,1,1
12,37,1,61,NaN,NaN,1,NaN,3.066395e-01,NaN,1,1,2,1
12,38,1,49,NaN,NaN,1,NaN,4.247048e-01,NaN,1,0,2,1
12,39,1,120,NaN,NaN,1,NaN,2.904843e-01,NaN,1,0,3,1
12,40,1,56,NaN,NaN,1,NaN,2.966106e-01,NaN,0,0,2,1
12,41,1,24,NaN,NaN,1,NaN,2.949864e-01,NaN,0,1,1,1
12,42,1,135,NaN,NaN,2,NaN,6.053969e-01,NaN,0,0,3,1
12,43,1,78,NaN,NaN,1,NaN,4.395760e-01,NaN,0,1,2,1
12,44,1,43,NaN,NaN,1,NaN,1.200075e+00,NaN,1,0,1,1
12,45,1,46,NaN,NaN,2,NaN,4.822271e-01,NaN,0,0,1,1
12,46,1,46,NaN,NaN,2,NaN,5.851568e-01,NaN,2,0,1,1
12,47,1,10,NaN,NaN,1,NaN,1.249649e-04,NaN,2,1,1,1
12,48,1,9,NaN,NaN,1,NaN,3.186353e-01,NaN,2,0,1,1
12,49,1,67,NaN,NaN,1,NaN,2.686472e-01,NaN,1,1,2,1
12,50,1,97,NaN,NaN,1,NaN,3.000212e-01,NaN,1,0,3,1
12,51,1,121,NaN,NaN,1,NaN,2.427323e-01,NaN,0,0,3,1
12,52,1,42,NaN,NaN,1,NaN,2.670860e-01,NaN,0,0,1,1
12,53,1,55,NaN,NaN,1,NaN,4.032151e-01,NaN,0,1,2,1
12,54,1,42,NaN,NaN,1,NaN,3.492942e-01,NaN,2,0,1,1
12,55,1,54,NaN,NaN,1,NaN,4.414776e-01,NaN,2,0,2,1
12,56,1,68,NaN,NaN,1,NaN,2.022380e-03,NaN,1,1,2,1
12,57,1,14,NaN,NaN,1,NaN,2.124872e-01,NaN,1,0,1,1
12,58,1,66,NaN,NaN,1,NaN,1.978723e-01,NaN,0,0,2,1
12,59,1,92,NaN,NaN,1,NaN,2.166524e-01,NaN,2,0,2,1
12,60,1,59,NaN,NaN,1,NaN,3.381419e-01,NaN,2,0,2,1
