Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
27,1,1,143,NaN,NaN,2,NaN,1.364445e+00,NaN,0,1,3,1
27,2,1,106,NaN,NaN,1,NaN,5.702481e-01,NaN,0,0,3,1
27,3,1,60,NaN,NaN,1,NaN,5.009602e-01,NaN,2,0,2,1
27,4,1,144,NaN,NaN,1,NaN,4.582634e-01,NaN,1,1,3,1
27,5,1,25,NaN,NaN,1,NaN,6.656973e-01,NaN,0,1,1,1
27,6,1,77,NaN,NaN,1,NaN,3.683162e-01,NaN,0,0,2,1
27,7,1,7,NaN,NaN,1,NaN,5.799411e-01,NaN,0,1,1,1
27,8,1,30,NaN,NaN,1,NaN,2.430570e+00,NaN,0,0,1,1
27,9,1,59,NaN,NaN,1,NaN,4.149577e-01,NaN,0,1,2,1
27,10,1,64,NaN,NaN,1,NaN,5.039031e-01,NaN,2,0,2,1
27,11,1,12,NaN,NaN,2,NaN,6.374774e-01,NaN,0,0,1,1
27,12,1,53,NaN,NaN,1,NaN,6.532396e-01,NaN,0,1,2,1
27,13,1,103,NaN,NaN,1,NaN,6.126092e-01,NaN,2,0,3,1
27,14,1,2,NaN,NaN,2,NaN,1.292945e+00,NaN,1,0,1,1
27,15,1,93,NaN,NaN,1,NaN,3.553979e-01,NaN,2,0,2,1
27,16,1,124,NaN,NaN,1,NaN,1.039283e+00,NaN,0,0,3,1
27,17,1,92,NaN,NaN,1,NaN,6.395016e-01,NaN,1,1,2,1
27,18,1,56,NaN,NaN,1,NaN,4.400028e-01,NaN,0,0,2,1
27,19,1,53,NaN,NaN,1,NaN,3.597813e-01,NaN,1,1,2,1
27,20,1,141,NaN,NaN,2,NaN,6.831205e-01,NaN,0,0,3,1
27,21,1,8,NaN,NaN,2,NaN,5.135231e-01,NaN,1,1,1,1
27,22,1,88,NaN,NaN,1,NaN,4.627566e-01,NaN,1,0,2,1
27,23,1,16,NaN,NaN,1,NaN,5.009378e-01,NaN,0,0,1,1
27,24,1,68,NaN,NaN,1,NaN,3.548965e-01,NaN,0,0,2,1
27,25,1,36,NaN,NaN,1,NaN,1.590247e+00,NaN,0,0,1,1
27,26,1,102,NaN,NaN,1,NaN,1.255966e+00,NaN,0,0,3,1
27,27,1,21,NaN,NaN,1,NaN,3.752483e-01,NaN,2,0,1,1
27,28,1,137,NaN,NaN,1,NaN,4.746299e-01,NaN,0,0,3,1
27,29,1,22,NaN,NaN,2,NaN,6.177076e-01,NaN,1,1,1,1
27,30,1,91,NaN,NaN,1,NaN,1.211339e+00,NaN,0,0,2,1
27,31,1,133,NaN,NaN,2,NaN,1.140334e+00,NaN,0,0,3,1
27,32,1,104,NaN,NaN,2,NaN,7.920916e-01,NaN,1,1,3,1
27,33,1,138,NaN,NaN,1,NaN,4.021587e-01,NaN,0,0,3,1
27,34,1,100,NaN,NaN,2,NaN,5.399959e-01,NaN,2,0,3,1
27,35,1,81,NaN,NaN,1,NaN,4.243647e-01,NaN,0,0,2,1
27,36,1,107,NaN,NaN,1,NaN,4.970908e-01,NaN,2,1,3,1
27,37,1,128,NaN,NaN,1,NaN,9.427873e-01,NaN,2,1,3,1
27,38,1,105,NaN,NaN,1,NaN,5.388592e-01,NaN,0,1,3,1
27,39,1,98,NaN,NaN,2,NaN,2.494781e+00,NaN,0,0,3,1
27,40,1,12,NaN,NaN,1,NaN,4.123706e-01,NaN,1,0,1,1
27,41,1,20,NaN,NaN,2,NaN,4.618025e-01,NaN,0,0,1,1
27,42,1,29,NaN,NaN,1,NaN,4.370629e-01,NaN,1,0,1,1
27,43,1,98,NaN,NaN,1,NaN,7.327962e-01,NaN,2,0,3,1
