31,Trial,Cond,Block,ImageFiles,Labels,Cues
31,1,1,1,S_Image_120.bmp,Machu Picchu,NaN
31,2,1,1,F_Image_14.bmp,Elvis Presley,NaN
31,3,1,1,S_Image_110.bmp,Forbidden City,NaN
31,4,1,1,F_Lure_23.bmp,Julia Roberts,NaN
31,5,1,1,O_Image_87.bmp,Stapler,NaN
31,6,1,1,S_Lure_124.bmp,Mount Fuji,NaN
31,7,1,1,O_Lure_49.bmp,Anchor,NaN
31,8,1,1,S_Lure_101.bmp,Atomium,NaN
31,9,1,1,S_Image_99.bmp,Alhambra,NaN
31,10,1,1,S_Image_132.bmp,Red Square,NaN
31,11,1,1,S_Image_140.bmp,Taj Mahal,NaN
31,12,1,1,S_Image_102.bmp,Ayers Rock,NaN
31,13,1,1,S_Lure_119.bmp,Louvre,NaN
31,14,1,1,O_Lure_80.bmp,Rope,NaN
31,15,1,1,S_Lure_109.bmp,Eiffel Tower,NaN
31,16,1,1,F_Lure_14.bmp,Elvis Presley,NaN
31,17,1,1,F_Lure_38.bmp,Queen Elisabeth,NaN
31,18,1,1,F_Lure_39.bmp,Robbie Williams,NaN
31,19,1,1,S_Lure_118.bmp,Leaning Tower,NaN
31,20,1,1,F_Lure_8.bmp,Cameron Diaz,NaN
31,21,1,1,O_Image_84.bmp,Skirt,NaN
31,22,1,1,S_Image_144.bmp,White House,NaN
31,23,1,1,F_Image_43.bmp,Tom Cruise,NaN
31,24,1,1,O_Image_72.bmp,Lightbulb,NaN
31,25,1,1,S_Lure_123.bmp,Mount Everest,NaN
31,26,1,1,F_Image_19.bmp,James Dean,NaN
31,27,1,1,S_Image_136.bmp,Sistine Chapel,NaN
31,28,1,1,F_Image_36.bmp,Penelope Cruz,NaN
31,29,1,1,O_Lure_81.bmp,Scale,NaN
31,30,1,1,F_Image_21.bmp,John Lennon,NaN
31,31,1,1,O_Lure_71.bmp,Ladder,NaN
31,32,1,1,O_Lure_92.bmp,Trophy,NaN
31,33,1,1,O_Image_50.bmp,Barbecue,NaN
31,34,1,1,F_Lure_22.bmp,Judi Dench,NaN
31,35,1,1,F_Lure_19.bmp,James Dean,NaN
31,36,1,1,O_Image_57.bmp,Brush,NaN
31,37,1,1,S_Lure_133.bmp,Rialto Bridge,NaN
31,38,1,1,S_Image_116.bmp,Hollywood Sign,NaN
31,39,1,1,F_Image_10.bmp,Dalai Lama,NaN
31,40,1,1,O_Lure_55.bmp,Binoculars,NaN
31,41,1,1,O_Lure_76.bmp,Pillows,NaN
31,42,1,1,S_Image_101.bmp,Atomium,NaN
31,43,1,1,S_Lure_114.bmp,Great Wall,NaN
31,44,1,1,O_Image_83.bmp,Shoe,NaN
31,45,1,1,O_Image_76.bmp,Pillows,NaN
31,46,1,1,S_Lure_132.bmp,Red Square,NaN
31,47,1,1,F_Lure_6.bmp,Brad Pitt,NaN
31,48,1,1,S_Lure_111.bmp,Gizeh Pyramids,NaN
31,49,1,1,S_Image_142.bmp,Tower Bridge,NaN
31,50,1,1,S_Image_118.bmp,Leaning Tower,NaN
31,51,1,1,O_Lure_93.bmp,Umbrella,NaN
31,52,1,1,S_Image_137.bmp,Statue Of Liberty,NaN
31,53,1,1,S_Lure_131.bmp,Rapa Nui,NaN
31,54,1,1,F_Lure_37.bmp,Pierce Brosnan,NaN
31,55,1,1,O_Lure_68.bmp,Hat,NaN
31,56,1,1,S_Image_129.bmp,Petra,NaN
31,57,1,1,O_Lure_72.bmp,Lightbulb,NaN
31,58,1,1,O_Image_94.bmp,Watch,NaN
31,59,1,1,S_Image_127.bmp,Niagara Falls,NaN
31,60,1,1,S_Lure_136.bmp,Sistine Chapel,NaN
31,61,1,1,S_Image_135.bmp,Sahara Desert,NaN
31,62,1,1,O_Lure_79.bmp,Remote Control,NaN
31,63,1,1,S_Lure_139.bmp,Sydney Opera,NaN
31,64,1,1,F_Image_25.bmp,Leonardo DiCaprio,NaN
31,65,1,1,F_Image_41.bmp,Rod Steward,NaN
31,66,1,1,F_Image_15.bmp,Fidel Castro,NaN
31,67,1,1,F_Image_26.bmp,Madonna,NaN
31,68,1,1,O_Lure_75.bmp,Necklace,NaN
31,69,1,1,F_Image_20.bmp,Jennifer Lopez,NaN
31,70,1,1,O_Image_90.bmp,Telephone,NaN
31,71,1,1,S_Image_131.bmp,Rapa Nui,NaN
31,72,1,1,S_Lure_115.bmp,Hagia Sophia,NaN
31,73,1,1,F_Image_27.bmp,Mahadma Gandhi,NaN
31,74,1,1,S_Image_97.bmp,Akropolis,NaN
31,75,1,1,O_Lure_56.bmp,Broom,NaN
31,76,1,1,F_Lure_12.bmp,David Beckham,NaN
31,77,1,1,O_Image_68.bmp,Hat,NaN
31,78,1,1,S_Lure_135.bmp,Sahara Desert,NaN
31,79,1,1,O_Image_66.bmp,Guitar,NaN
31,80,1,1,S_Image_130.bmp,Potala Palace,NaN
