Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
63,1,1,79,NaN,NaN,1,NaN,3.009149e+00,NaN,1,0,2,1
63,2,1,6,NaN,NaN,1,NaN,9.637897e-01,NaN,2,1,1,1
63,3,1,109,NaN,NaN,1,NaN,2.153316e-01,NaN,0,0,3,1
63,4,1,90,NaN,NaN,1,NaN,6.061738e-01,NaN,1,0,2,1
63,5,1,33,NaN,NaN,1,NaN,2.766807e-01,NaN,2,0,1,1
63,6,1,13,NaN,NaN,1,NaN,8.065879e-01,NaN,1,1,1,1
63,7,1,31,NaN,NaN,1,NaN,1.151460e+00,NaN,1,1,1,1
63,8,1,89,NaN,NaN,1,NaN,4.780229e-01,NaN,0,0,2,1
63,9,1,131,NaN,NaN,1,NaN,3.632207e-01,NaN,1,1,3,1
63,10,1,16,NaN,NaN,1,NaN,6.033826e-01,NaN,1,0,1,1
63,11,1,46,NaN,NaN,1,NaN,8.641774e-01,NaN,1,0,1,1
63,12,1,22,NaN,NaN,1,NaN,8.413075e-01,NaN,2,1,1,1
63,13,1,23,NaN,NaN,1,NaN,8.232814e-01,NaN,1,0,1,1
63,14,1,45,NaN,NaN,1,NaN,8.497780e-01,NaN,0,0,1,1
63,15,1,31,NaN,NaN,1,NaN,2.642284e-01,NaN,0,1,1,1
63,16,1,12,NaN,NaN,1,NaN,4.416674e-01,NaN,0,0,1,1
63,17,1,102,NaN,NaN,1,NaN,8.058379e-01,NaN,0,0,3,1
63,18,1,95,NaN,NaN,1,NaN,1.314357e+00,NaN,1,1,2,1
63,19,1,131,NaN,NaN,1,NaN,2.092380e-01,NaN,0,1,3,1
63,20,1,19,NaN,NaN,1,NaN,2.474926e-01,NaN,2,1,1,1
63,21,1,61,NaN,NaN,1,NaN,2.796941e-01,NaN,1,0,2,1
63,22,1,55,NaN,NaN,1,NaN,1.720733e+00,NaN,1,0,2,1
63,23,1,140,NaN,NaN,1,NaN,4.707061e-01,NaN,2,0,3,1
63,24,1,49,NaN,NaN,1,NaN,3.414443e+00,NaN,0,0,2,1
63,25,1,111,NaN,NaN,1,NaN,2.188065e+00,NaN,0,0,3,1
63,26,1,65,NaN,NaN,1,NaN,8.273811e-01,NaN,0,0,2,1
63,27,1,91,NaN,NaN,1,NaN,7.285791e-01,NaN,0,1,2,1
63,28,1,130,NaN,NaN,1,NaN,6.575879e-01,NaN,0,0,3,1
63,29,1,128,NaN,NaN,1,NaN,6.320881e+00,NaN,0,0,3,1
63,30,1,86,NaN,NaN,1,NaN,1.059164e+00,NaN,2,1,2,1
63,31,1,113,NaN,NaN,1,NaN,1.063407e+00,NaN,1,1,3,1
63,32,1,144,NaN,NaN,1,NaN,3.435757e-01,NaN,0,1,3,1
63,33,1,10,NaN,NaN,1,NaN,9.885139e-01,NaN,2,0,1,1
63,34,1,50,NaN,NaN,1,NaN,1.149487e+00,NaN,0,0,2,1
63,35,1,138,NaN,NaN,1,NaN,5.600605e-01,NaN,2,0,3,1
63,36,1,133,NaN,NaN,1,NaN,2.379236e-01,NaN,2,0,3,1
63,37,1,97,NaN,NaN,2,NaN,1.599890e+00,NaN,0,1,3,1
63,38,1,75,NaN,NaN,1,NaN,8.518849e-01,NaN,0,0,2,1
63,39,1,76,NaN,NaN,1,NaN,1.067290e+00,NaN,2,0,2,1
63,40,1,126,NaN,NaN,1,NaN,2.139995e-01,NaN,0,1,3,1
63,41,1,63,NaN,NaN,1,NaN,1.888077e+00,NaN,0,0,2,1
63,42,1,58,NaN,NaN,1,NaN,4.206224e+00,NaN,0,0,2,1
63,43,1,107,NaN,NaN,1,NaN,1.654093e-01,NaN,2,1,3,1
63,44,1,98,NaN,NaN,1,NaN,3.251387e-01,NaN,1,0,3,1
63,45,1,118,NaN,NaN,1,NaN,4.411300e-01,NaN,0,1,3,1
63,46,1,128,NaN,NaN,1,NaN,2.956896e+00,NaN,2,0,3,1
63,47,1,85,NaN,NaN,1,NaN,4.648867e+00,NaN,1,0,2,1
63,48,1,137,NaN,NaN,1,NaN,6.073747e-01,NaN,0,0,3,1
63,49,1,118,NaN,NaN,2,NaN,2.398720e-01,NaN,1,1,3,1
63,50,1,114,NaN,NaN,1,NaN,2.460975e+00,NaN,0,1,3,1
63,51,1,90,NaN,NaN,1,NaN,3.548264e-01,NaN,0,0,2,1
63,52,1,11,NaN,NaN,1,NaN,1.027922e+00,NaN,0,0,1,1
63,53,1,73,NaN,NaN,1,NaN,1.452370e-01,NaN,0,0,2,1
63,54,1,93,NaN,NaN,1,NaN,1.326702e+00,NaN,1,0,2,1
63,55,1,85,NaN,NaN,1,NaN,1.843275e-01,NaN,0,0,2,1
63,56,1,122,NaN,NaN,1,NaN,5.122604e-01,NaN,2,0,3,1
63,57,1,129,NaN,NaN,1,NaN,6.478879e-01,NaN,2,0,3,1
63,58,1,35,NaN,NaN,1,NaN,1.103131e+00,NaN,0,1,1,1
63,59,1,25,NaN,NaN,1,NaN,5.207184e-01,NaN,1,1,1,1
63,60,1,7,NaN,NaN,1,NaN,3.496439e-01,NaN,1,0,1,1
63,61,1,108,NaN,NaN,1,NaN,1.954091e-01,NaN,2,1,3,1
63,62,1,126,NaN,NaN,1,NaN,7.730132e-01,NaN,1,1,3,1
63,63,1,119,NaN,NaN,1,NaN,1.421542e+00,NaN,0,0,3,1
63,64,1,32,NaN,NaN,1,NaN,9.903284e-01,NaN,0,0,1,1
63,65,1,32,NaN,NaN,1,NaN,8.007658e-01,NaN,2,0,1,1
63,66,1,103,NaN,NaN,1,NaN,3.229604e-01,NaN,2,0,3,1
63,67,1,120,NaN,NaN,1,NaN,7.343638e-01,NaN,1,0,3,1
63,68,1,18,NaN,NaN,1,NaN,2.381797e-01,NaN,2,0,1,1
63,69,1,56,NaN,NaN,1,NaN,4.406741e-01,NaN,1,0,2,1
63,70,1,15,NaN,NaN,1,NaN,3.806100e+00,NaN,0,0,1,1
63,71,1,9,NaN,NaN,1,NaN,1.181995e-01,NaN,2,1,1,1
63,72,1,134,NaN,NaN,1,NaN,2.427824e-01,NaN,1,0,3,1
63,73,1,5,NaN,NaN,1,NaN,6.089437e-01,NaN,1,0,1,1
63,74,1,106,NaN,NaN,1,NaN,3.208696e-01,NaN,0,0,3,1
63,75,1,109,NaN,NaN,1,NaN,8.420082e-01,NaN,1,0,3,1
63,76,1,48,NaN,NaN,1,NaN,6.879863e-01,NaN,1,1,1,1
63,77,1,135,NaN,NaN,1,NaN,8.389658e-01,NaN,2,0,3,1
63,78,1,27,NaN,NaN,1,NaN,5.253615e-01,NaN,0,0,1,1
63,79,1,38,NaN,NaN,1,NaN,2.733258e+00,NaN,0,0,1,1
63,80,1,96,NaN,NaN,1,NaN,1.041296e+00,NaN,0,0,2,1
63,81,1,68,NaN,NaN,1,NaN,8.773547e-01,NaN,0,0,2,1
63,82,1,2,NaN,NaN,1,NaN,4.077968e-01,NaN,0,0,1,1
63,83,1,64,NaN,NaN,1,NaN,5.900986e+00,NaN,0,0,2,1
63,84,1,20,NaN,NaN,1,NaN,3.704202e-01,NaN,0,1,1,1
63,85,1,62,NaN,NaN,1,NaN,3.095816e-01,NaN,1,0,2,1
63,86,1,46,NaN,NaN,1,NaN,7.093385e-01,NaN,0,0,1,1
63,87,1,4,NaN,NaN,1,NaN,2.115233e-01,NaN,0,0,1,1
63,88,1,34,NaN,NaN,1,NaN,7.746852e+00,NaN,2,1,1,1
63,89,1,52,NaN,NaN,1,NaN,2.396772e+00,NaN,2,0,2,1
63,90,1,141,NaN,NaN,1,NaN,2.555173e+00,NaN,0,0,3,1
63,91,1,87,NaN,NaN,1,NaN,4.504766e-01,NaN,0,0,2,1
63,92,1,53,NaN,NaN,1,NaN,3.041198e-01,NaN,0,0,2,1
63,93,1,80,NaN,NaN,1,NaN,1.260661e+00,NaN,2,1,2,1
63,94,1,124,NaN,NaN,1,NaN,1.362724e-01,NaN,1,0,3,1
63,95,1,138,NaN,NaN,1,NaN,1.425008e+00,NaN,0,0,3,1
63,96,1,3,NaN,NaN,1,NaN,2.101393e-01,NaN,0,0,1,1
63,97,1,42,NaN,NaN,1,NaN,4.533523e-01,NaN,0,0,1,1
63,98,1,61,NaN,NaN,1,NaN,3.993199e-01,NaN,0,0,2,1
63,99,1,139,NaN,NaN,1,NaN,5.695270e-01,NaN,2,0,3,1
63,100,1,82,NaN,NaN,1,NaN,3.155043e+00,NaN,0,0,2,1
63,101,1,20,NaN,NaN,1,NaN,3.213570e-01,NaN,2,1,1,1
63,102,1,68,NaN,NaN,1,NaN,7.833442e-01,NaN,2,0,2,1
63,103,1,82,NaN,NaN,1,NaN,5.051867e-01,NaN,1,0,2,1
63,104,1,57,NaN,NaN,1,NaN,5.326782e-01,NaN,2,0,2,1
63,105,1,49,NaN,NaN,1,NaN,3.817782e-01,NaN,2,0,2,1
63,106,1,119,NaN,NaN,1,NaN,7.342589e-01,NaN,2,0,3,1
63,107,1,23,NaN,NaN,1,NaN,2.747689e-01,NaN,0,0,1,1
63,108,1,26,NaN,NaN,1,NaN,5.030109e-01,NaN,2,0,1,1
63,109,1,94,NaN,NaN,1,NaN,1.435380e+00,NaN,0,0,2,1
63,110,1,71,NaN,NaN,1,NaN,4.826652e-01,NaN,0,0,2,1
63,111,1,42,NaN,NaN,1,NaN,4.844023e-01,NaN,2,0,1,1
63,112,1,64,NaN,NaN,1,NaN,5.585610e-01,NaN,1,0,2,1
63,113,1,111,NaN,NaN,1,NaN,5.322419e-01,NaN,1,0,3,1
63,114,1,99,NaN,NaN,1,NaN,3.805152e-01,NaN,1,1,3,1
63,115,1,74,NaN,NaN,1,NaN,1.250396e+00,NaN,0,0,2,1
63,116,1,51,NaN,NaN,1,NaN,9.044516e-01,NaN,2,0,2,1
63,117,1,76,NaN,NaN,1,NaN,3.804043e-01,NaN,0,0,2,1
63,118,1,28,NaN,NaN,1,NaN,1.649819e+00,NaN,1,0,1,1
63,119,1,105,NaN,NaN,1,NaN,4.414010e+00,NaN,0,1,3,1
63,120,1,4,NaN,NaN,1,NaN,4.118522e-01,NaN,1,0,1,1
63,121,1,19,NaN,NaN,1,NaN,4.701433e-01,NaN,0,1,1,1
63,122,1,13,NaN,NaN,1,NaN,7.733269e-01,NaN,0,1,1,1
63,123,1,77,NaN,NaN,1,NaN,8.238826e-01,NaN,0,1,2,1
63,124,1,14,NaN,NaN,1,NaN,1.354845e+00,NaN,2,0,1,1
63,125,1,67,NaN,NaN,1,NaN,3.976345e-01,NaN,2,0,2,1
63,126,1,72,NaN,NaN,1,NaN,4.190162e-01,NaN,2,1,2,1
63,127,1,81,NaN,NaN,1,NaN,6.230060e-01,NaN,0,0,2,1
63,128,1,18,NaN,NaN,1,NaN,7.056083e-01,NaN,0,0,1,1
63,129,1,56,NaN,NaN,1,NaN,3.064369e+00,NaN,0,0,2,1
63,130,1,36,NaN,NaN,1,NaN,5.324285e-01,NaN,1,0,1,1
63,131,1,88,NaN,NaN,1,NaN,2.933165e-01,NaN,1,1,2,1
63,132,1,80,NaN,NaN,1,NaN,2.739466e+00,NaN,0,1,2,1
63,133,1,143,NaN,NaN,1,NaN,3.901282e-01,NaN,2,1,3,1
63,134,1,101,NaN,NaN,1,NaN,3.633924e-01,NaN,2,0,3,1
63,135,1,83,NaN,NaN,1,NaN,9.894006e-01,NaN,0,0,2,1
