Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
3,1,1,31,NaN,NaN,1,NaN,1.076796e+00,NaN,1,0,1,1
3,2,1,78,NaN,NaN,1,NaN,6.715574e-01,NaN,0,0,2,1
3,3,1,111,NaN,NaN,1,NaN,4.462435e-01,NaN,2,0,3,1
3,4,1,59,NaN,NaN,1,NaN,3.895038e-01,NaN,0,0,2,1
3,5,1,140,NaN,NaN,1,NaN,6.158172e-01,NaN,2,0,3,1
3,6,1,36,NaN,NaN,1,NaN,7.203112e-01,NaN,0,0,1,1
3,7,1,26,NaN,NaN,1,NaN,4.769099e-01,NaN,1,1,1,1
3,8,1,91,NaN,NaN,1,NaN,6.517157e-01,NaN,2,0,2,1
3,9,1,54,NaN,NaN,1,NaN,4.029713e-01,NaN,0,0,2,1
3,10,1,6,NaN,NaN,1,NaN,4.926346e-01,NaN,0,0,1,1
3,11,1,139,NaN,NaN,1,NaN,4.823327e-01,NaN,0,0,3,1
3,12,1,77,NaN,NaN,1,NaN,5.363224e-01,NaN,0,0,2,1
3,13,1,64,NaN,NaN,1,NaN,3.089139e-01,NaN,0,1,2,1
3,14,1,21,NaN,NaN,1,NaN,3.139247e-01,NaN,0,0,1,1
3,15,1,118,NaN,NaN,1,NaN,4.869257e-01,NaN,0,1,3,1
3,16,1,107,NaN,NaN,1,NaN,3.566556e-01,NaN,2,1,3,1
3,17,1,35,NaN,NaN,1,NaN,1.064456e+00,NaN,0,0,1,1
3,18,1,137,NaN,NaN,1,NaN,5.827990e-01,NaN,2,0,3,1
3,19,1,52,NaN,NaN,1,NaN,6.326377e-01,NaN,0,0,2,1
3,20,1,38,NaN,NaN,1,NaN,3.529588e-01,NaN,0,0,1,1
3,21,1,95,NaN,NaN,1,NaN,4.679367e-01,NaN,2,0,2,1
3,22,1,71,NaN,NaN,1,NaN,5.549057e-01,NaN,1,0,2,1
3,23,1,121,NaN,NaN,1,NaN,4.224396e-01,NaN,0,1,3,1
3,24,1,20,NaN,NaN,1,NaN,3.348923e-01,NaN,0,1,1,1
3,25,1,138,NaN,NaN,1,NaN,3.632082e-01,NaN,0,0,3,1
3,26,1,49,NaN,NaN,1,NaN,4.389130e-01,NaN,1,0,2,1
3,27,1,85,NaN,NaN,1,NaN,3.498141e-01,NaN,2,1,2,1
3,28,1,78,NaN,NaN,1,NaN,5.610550e-01,NaN,2,0,2,1
3,29,1,39,NaN,NaN,2,NaN,2.046980e-01,NaN,0,0,1,1
3,30,1,73,NaN,NaN,1,NaN,3.816360e-01,NaN,2,0,2,1
