Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
6,1,1,34,NaN,NaN,1,NaN,1.468323e+00,NaN,0,0,1,1
6,2,1,62,NaN,NaN,1,NaN,4.167029e-01,NaN,0,1,2,1
6,3,1,32,NaN,NaN,1,NaN,4.104027e-01,NaN,0,0,1,1
6,4,1,46,NaN,NaN,2,NaN,3.645018e-01,NaN,0,0,1,1
6,5,1,63,NaN,NaN,1,NaN,3.358443e-01,NaN,0,1,2,1
6,6,1,120,NaN,NaN,2,NaN,3.249485e-01,NaN,2,0,3,1
6,7,1,117,NaN,NaN,2,NaN,3.862832e-01,NaN,1,0,3,1
6,8,1,66,NaN,NaN,1,NaN,2.604202e-01,NaN,0,0,2,1
6,9,1,7,NaN,NaN,1,NaN,4.364803e-01,NaN,1,0,1,1
6,10,1,42,NaN,NaN,1,NaN,4.453490e-01,NaN,0,0,1,1
6,11,1,54,NaN,NaN,1,NaN,3.416006e-01,NaN,0,0,2,1
6,12,1,75,NaN,NaN,1,NaN,3.867707e-01,NaN,0,0,2,1
6,13,1,89,NaN,NaN,1,NaN,4.373672e-01,NaN,0,0,2,1
6,14,1,2,NaN,NaN,1,NaN,3.899205e-01,NaN,2,1,1,1
6,15,1,23,NaN,NaN,1,NaN,3.286986e-01,NaN,1,0,1,1
6,16,1,68,NaN,NaN,1,NaN,3.176794e-01,NaN,1,0,2,1
6,17,1,36,NaN,NaN,1,NaN,2.990290e-01,NaN,2,0,1,1
6,18,1,54,NaN,NaN,1,NaN,3.215101e-01,NaN,2,0,2,1
6,19,1,127,NaN,NaN,1,NaN,2.867133e-01,NaN,0,0,3,1
6,20,1,117,NaN,NaN,1,NaN,3.652746e-01,NaN,0,0,3,1
6,21,1,93,NaN,NaN,1,NaN,3.851455e-01,NaN,0,1,2,1
6,22,1,115,NaN,NaN,2,NaN,3.327790e-01,NaN,0,0,3,1
6,23,1,86,NaN,NaN,1,NaN,3.054391e-01,NaN,0,0,2,1
6,24,1,6,NaN,NaN,1,NaN,2.791961e-01,NaN,1,1,1,1
6,25,1,89,NaN,NaN,1,NaN,4.224091e-01,NaN,2,0,2,1
6,26,1,62,NaN,NaN,1,NaN,3.677835e-01,NaN,1,1,2,1
6,27,1,15,NaN,NaN,1,NaN,2.911976e-01,NaN,0,0,1,1
6,28,1,21,NaN,NaN,1,NaN,3.302495e-01,NaN,2,0,1,1
6,29,1,22,NaN,NaN,1,NaN,2.791137e-01,NaN,1,0,1,1
6,30,1,67,NaN,NaN,1,NaN,2.861117e-01,NaN,2,0,2,1
6,31,1,39,NaN,NaN,2,NaN,4.372860e-01,NaN,0,0,1,1
6,32,1,44,NaN,NaN,1,NaN,3.179610e-01,NaN,0,0,1,1
6,33,1,110,NaN,NaN,2,NaN,3.316199e-01,NaN,0,0,3,1
6,34,1,111,NaN,NaN,1,NaN,3.203845e-01,NaN,1,0,3,1
6,35,1,73,NaN,NaN,1,NaN,7.897087e-01,NaN,0,1,2,1
6,36,1,51,NaN,NaN,1,NaN,2.966396e-01,NaN,0,0,2,1
6,37,1,123,NaN,NaN,1,NaN,8.148120e-01,NaN,1,0,3,1
6,38,1,94,NaN,NaN,1,NaN,3.124556e-01,NaN,0,0,2,1
6,39,1,50,NaN,NaN,1,NaN,3.264336e-01,NaN,1,0,2,1
6,40,1,139,NaN,NaN,1,NaN,3.156389e-01,NaN,0,0,3,1
6,41,1,92,NaN,NaN,1,NaN,3.292625e-01,NaN,0,0,2,1
6,42,1,16,NaN,NaN,1,NaN,4.383584e-01,NaN,2,0,1,1
6,43,1,20,NaN,NaN,1,NaN,4.068515e-01,NaN,2,1,1,1
6,44,1,75,NaN,NaN,1,NaN,2.886485e-01,NaN,1,0,2,1
6,45,1,35,NaN,NaN,2,NaN,3.354444e-01,NaN,0,0,1,1
6,46,1,105,NaN,NaN,1,NaN,6.201353e-01,NaN,1,1,3,1
6,47,1,105,NaN,NaN,1,NaN,3.096698e-01,NaN,0,1,3,1
6,48,1,109,NaN,NaN,1,NaN,4.114879e-01,NaN,2,1,3,1
6,49,1,95,NaN,NaN,1,NaN,3.170871e-01,NaN,0,0,2,1
6,50,1,104,NaN,NaN,1,NaN,3.547675e-01,NaN,0,0,3,1
6,51,1,84,NaN,NaN,1,NaN,3.590842e-01,NaN,0,0,2,1
6,52,1,102,NaN,NaN,2,NaN,3.231881e-01,NaN,1,0,3,1
6,53,1,72,NaN,NaN,1,NaN,3.765969e-01,NaN,0,0,2,1
6,54,1,109,NaN,NaN,1,NaN,4.035429e-01,NaN,0,1,3,1
6,55,1,135,NaN,NaN,1,NaN,3.015486e-01,NaN,1,0,3,1
6,56,1,7,NaN,NaN,1,NaN,4.041481e-01,NaN,0,0,1,1
6,57,1,58,NaN,NaN,1,NaN,5.017303e-01,NaN,0,1,2,1
6,58,1,12,NaN,NaN,2,NaN,4.522996e-01,NaN,0,0,1,1
6,59,1,60,NaN,NaN,1,NaN,4.765414e-01,NaN,0,0,2,1
6,60,1,87,NaN,NaN,1,NaN,6.675382e-01,NaN,2,0,2,1
6,61,1,137,NaN,NaN,1,NaN,4.914886e-01,NaN,0,0,3,1
6,62,1,103,NaN,NaN,1,NaN,5.618906e-01,NaN,0,1,3,1
6,63,1,81,NaN,NaN,1,NaN,2.857568e-01,NaN,0,0,2,1
6,64,1,142,NaN,NaN,1,NaN,4.209608e-01,NaN,0,0,3,1
6,65,1,64,NaN,NaN,1,NaN,5.417657e-01,NaN,2,0,2,1
6,66,1,65,NaN,NaN,1,NaN,3.513790e-02,NaN,1,1,2,1
6,67,1,33,NaN,NaN,1,NaN,7.077007e-01,NaN,2,0,1,1
6,68,1,127,NaN,NaN,1,NaN,3.700163e-01,NaN,1,0,3,1
6,69,1,95,NaN,NaN,1,NaN,3.893998e-01,NaN,1,0,2,1
6,70,1,120,NaN,NaN,1,NaN,9.438091e-01,NaN,0,0,3,1
6,71,1,116,NaN,NaN,1,NaN,4.364936e-01,NaN,0,1,3,1
6,72,1,14,NaN,NaN,1,NaN,3.251402e-01,NaN,2,1,1,1
6,73,1,78,NaN,NaN,1,NaN,3.546486e-01,NaN,0,0,2,1
6,74,1,138,NaN,NaN,1,NaN,3.824383e-01,NaN,0,1,3,1
6,75,1,144,NaN,NaN,1,NaN,3.777669e-01,NaN,1,1,3,1
6,76,1,59,NaN,NaN,1,NaN,3.965183e-01,NaN,0,0,2,1
6,77,1,141,NaN,NaN,1,NaN,3.991628e-01,NaN,2,0,3,1
6,78,1,96,NaN,NaN,1,NaN,3.292643e-01,NaN,1,1,2,1
6,79,1,26,NaN,NaN,1,NaN,3.501945e-01,NaN,0,1,1,1
6,80,1,83,NaN,NaN,1,NaN,2.586354e-01,NaN,0,1,2,1
6,81,1,98,NaN,NaN,1,NaN,2.347190e-01,NaN,2,1,3,1
6,82,1,141,NaN,NaN,1,NaN,2.518296e-01,NaN,0,0,3,1
6,83,1,112,NaN,NaN,1,NaN,2.280608e-01,NaN,0,0,3,1
6,84,1,4,NaN,NaN,1,NaN,2.293651e-01,NaN,0,0,1,1
6,85,1,10,NaN,NaN,1,NaN,3.100794e-01,NaN,0,1,1,1
6,86,1,30,NaN,NaN,1,NaN,2.524372e-01,NaN,1,1,1,1
6,87,1,44,NaN,NaN,1,NaN,4.203236e-01,NaN,2,0,1,1
6,88,1,106,NaN,NaN,1,NaN,6.215914e-01,NaN,0,0,3,1
6,89,1,81,NaN,NaN,1,NaN,2.392971e-01,NaN,1,0,2,1
6,90,1,136,NaN,NaN,2,NaN,1.647609e+00,NaN,0,0,3,1
6,91,1,48,NaN,NaN,1,NaN,2.644580e-01,NaN,1,1,1,1
6,92,1,134,NaN,NaN,2,NaN,4.559556e-01,NaN,0,0,3,1
6,93,1,69,NaN,NaN,1,NaN,3.119189e-01,NaN,0,0,2,1
6,94,1,58,NaN,NaN,1,NaN,4.695279e-01,NaN,1,1,2,1
6,95,1,55,NaN,NaN,1,NaN,4.210209e-01,NaN,2,1,2,1
6,96,1,20,NaN,NaN,1,NaN,4.062185e-01,NaN,0,1,1,1
6,97,1,61,NaN,NaN,1,NaN,1.032701e+00,NaN,0,1,2,1
6,98,1,107,NaN,NaN,1,NaN,3.615286e-01,NaN,1,1,3,1
6,99,1,80,NaN,NaN,1,NaN,3.249919e-01,NaN,0,0,2,1
6,100,1,12,NaN,NaN,1,NaN,1.705430e-01,NaN,2,0,1,1
6,101,1,83,NaN,NaN,1,NaN,2.700501e-01,NaN,2,1,2,1
6,102,1,107,NaN,NaN,1,NaN,2.533747e-01,NaN,0,1,3,1
6,103,1,24,NaN,NaN,1,NaN,2.774816e-01,NaN,0,0,1,1
6,104,1,57,NaN,NaN,1,NaN,1.887948e-01,NaN,0,0,2,1
6,105,1,48,NaN,NaN,1,NaN,1.676011e-01,NaN,0,1,1,1
6,106,1,122,NaN,NaN,1,NaN,3.311696e-01,NaN,0,0,3,1
6,107,1,134,NaN,NaN,1,NaN,2.561994e-01,NaN,1,0,3,1
6,108,1,143,NaN,NaN,1,NaN,4.255368e-01,NaN,1,0,3,1
6,109,1,29,NaN,NaN,1,NaN,3.298840e-01,NaN,0,0,1,1
6,110,1,25,NaN,NaN,1,NaN,3.663591e-01,NaN,2,0,1,1
6,111,1,21,NaN,NaN,1,NaN,2.581714e-01,NaN,0,0,1,1
6,112,1,98,NaN,NaN,1,NaN,2.506014e-01,NaN,0,1,3,1
6,113,1,41,NaN,NaN,1,NaN,2.908843e-01,NaN,0,1,1,1
6,114,1,31,NaN,NaN,1,NaN,2.970836e-01,NaN,0,0,1,1
6,115,1,5,NaN,NaN,1,NaN,8.875867e-01,NaN,1,0,1,1
6,116,1,132,NaN,NaN,1,NaN,5.981640e-01,NaN,0,0,3,1
6,117,1,121,NaN,NaN,2,NaN,3.207990e-01,NaN,0,0,3,1
6,118,1,79,NaN,NaN,1,NaN,5.661847e-01,NaN,1,0,2,1
6,119,1,124,NaN,NaN,2,NaN,6.340608e-01,NaN,1,0,3,1
6,120,1,84,NaN,NaN,1,NaN,2.908287e-01,NaN,2,0,2,1
6,121,1,72,NaN,NaN,1,NaN,5.537120e-01,NaN,2,0,2,1
6,122,1,124,NaN,NaN,1,NaN,3.737867e-01,NaN,0,0,3,1
6,123,1,74,NaN,NaN,1,NaN,5.209964e-01,NaN,0,0,2,1
6,124,1,28,NaN,NaN,1,NaN,4.460921e-01,NaN,0,0,1,1
6,125,1,56,NaN,NaN,1,NaN,3.185556e-01,NaN,0,1,2,1
6,126,1,1,NaN,NaN,1,NaN,4.605018e-01,NaN,1,0,1,1
6,127,1,50,NaN,NaN,1,NaN,3.722732e-01,NaN,0,0,2,1
6,128,1,93,NaN,NaN,1,NaN,4.876038e-01,NaN,2,1,2,1
6,129,1,52,NaN,NaN,1,NaN,4.624209e-01,NaN,2,0,2,1
6,130,1,137,NaN,NaN,1,NaN,3.500873e-01,NaN,2,0,3,1
6,131,1,126,NaN,NaN,2,NaN,3.700712e-01,NaN,0,0,3,1
6,132,1,56,NaN,NaN,1,NaN,4.217716e-01,NaN,1,1,2,1
6,133,1,18,NaN,NaN,1,NaN,3.751284e-01,NaN,1,1,1,1
6,134,1,100,NaN,NaN,2,NaN,4.030820e-01,NaN,2,0,3,1
6,135,1,26,NaN,NaN,1,NaN,7.010727e-01,NaN,2,1,1,1
6,136,1,40,NaN,NaN,1,NaN,3.708829e-01,NaN,0,0,1,1
6,137,1,2,NaN,NaN,1,NaN,3.664515e-01,NaN,0,1,1,1
6,138,1,92,NaN,NaN,1,NaN,2.823785e-01,NaN,1,0,2,1
6,139,1,43,NaN,NaN,1,NaN,5.546873e-01,NaN,0,0,1,1
6,140,1,138,NaN,NaN,1,NaN,3.497016e-01,NaN,2,1,3,1
6,141,1,121,NaN,NaN,1,NaN,4.017028e-01,NaN,2,0,3,1
6,142,1,140,NaN,NaN,1,NaN,4.360559e-01,NaN,0,0,3,1
6,143,1,119,NaN,NaN,1,NaN,4.445421e-01,NaN,2,0,3,1
