Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
18,1,1,137,NaN,NaN,1,NaN,2.550556e+00,NaN,0,0,3,1
18,2,1,52,NaN,NaN,1,NaN,8.557356e-04,NaN,1,0,2,1
18,3,1,11,NaN,NaN,1,NaN,1.252664e-04,NaN,0,0,1,1
18,4,1,55,NaN,NaN,1,NaN,9.281137e-01,NaN,0,0,2,1
18,5,1,83,NaN,NaN,1,NaN,9.408281e-01,NaN,0,0,2,1
18,6,1,33,NaN,NaN,1,NaN,1.384758e+00,NaN,2,0,1,1
18,7,1,128,NaN,NaN,1,NaN,8.243285e-02,NaN,0,0,3,1
18,8,1,98,NaN,NaN,1,NaN,1.267757e-04,NaN,1,0,3,1
18,9,1,2,NaN,NaN,1,NaN,6.433725e-01,NaN,0,0,1,1
18,10,1,50,NaN,NaN,1,NaN,7.787967e-01,NaN,0,0,2,1
18,11,1,39,NaN,NaN,1,NaN,1.240590e-04,NaN,2,1,1,1
18,12,1,64,NaN,NaN,1,NaN,5.024617e-01,NaN,1,1,2,1
18,13,1,43,NaN,NaN,1,NaN,4.517856e-01,NaN,0,0,1,1
18,14,1,71,NaN,NaN,1,NaN,1.392899e-01,NaN,1,0,2,1
18,15,1,84,NaN,NaN,1,NaN,3.914754e-01,NaN,2,0,2,1
18,16,1,61,NaN,NaN,1,NaN,3.865793e+00,NaN,2,1,2,1
18,17,1,120,NaN,NaN,1,NaN,3.119336e-01,NaN,1,1,3,1
18,18,1,111,NaN,NaN,1,NaN,4.529996e-01,NaN,1,0,3,1
18,19,1,119,NaN,NaN,1,NaN,5.232212e-02,NaN,2,0,3,1
18,20,1,113,NaN,NaN,1,NaN,1.225498e-04,NaN,0,0,3,1
18,21,1,79,NaN,NaN,1,NaN,2.375281e-01,NaN,0,1,2,1
18,22,1,143,NaN,NaN,1,NaN,1.976728e-01,NaN,0,0,3,1
18,23,1,106,NaN,NaN,1,NaN,6.394497e-01,NaN,0,0,3,1
18,24,1,1,NaN,NaN,1,NaN,1.415091e+00,NaN,1,1,1,1
18,25,1,13,NaN,NaN,1,NaN,4.773979e-02,NaN,0,0,1,1
18,26,1,95,NaN,NaN,1,NaN,6.394256e-01,NaN,1,0,2,1
18,27,1,61,NaN,NaN,1,NaN,4.556507e-01,NaN,0,1,2,1
18,28,1,96,NaN,NaN,1,NaN,1.267756e-04,NaN,2,0,2,1
18,29,1,128,NaN,NaN,1,NaN,1.213425e-04,NaN,2,0,3,1
18,30,1,41,NaN,NaN,1,NaN,2.425426e-01,NaN,0,1,1,1
18,31,1,63,NaN,NaN,1,NaN,2.907237e-01,NaN,0,1,2,1
18,32,1,144,NaN,NaN,1,NaN,3.446662e-01,NaN,2,1,3,1
18,33,1,35,NaN,NaN,1,NaN,8.447871e-01,NaN,2,0,1,1
18,34,1,68,NaN,NaN,1,NaN,3.003213e-01,NaN,1,0,2,1
18,35,1,120,NaN,NaN,1,NaN,5.059939e-01,NaN,0,1,3,1
18,36,1,114,NaN,NaN,1,NaN,3.113230e-01,NaN,0,1,3,1
18,37,1,114,NaN,NaN,1,NaN,1.267757e-04,NaN,2,1,3,1
18,38,1,100,NaN,NaN,1,NaN,1.182235e+00,NaN,0,0,3,1
18,39,1,29,NaN,NaN,1,NaN,2.000735e+00,NaN,0,1,1,1
18,40,1,84,NaN,NaN,1,NaN,2.417790e-01,NaN,0,0,2,1
18,41,1,140,NaN,NaN,1,NaN,4.502483e-01,NaN,0,0,3,1
18,42,1,47,NaN,NaN,1,NaN,1.261720e-04,NaN,2,1,1,1
18,43,1,37,NaN,NaN,1,NaN,4.673452e-01,NaN,1,1,1,1
18,44,1,64,NaN,NaN,1,NaN,8.423892e-01,NaN,0,1,2,1
18,45,1,112,NaN,NaN,1,NaN,6.672021e-02,NaN,0,0,3,1
18,46,1,85,NaN,NaN,1,NaN,4.175404e-01,NaN,1,0,2,1
18,47,1,15,NaN,NaN,1,NaN,1.945104e-01,NaN,1,0,1,1
18,48,1,56,NaN,NaN,1,NaN,5.320656e-01,NaN,2,0,2,1
18,49,1,51,NaN,NaN,1,NaN,5.921322e-01,NaN,1,0,2,1
