Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
29,1,1,128,NaN,NaN,2,NaN,2.503664e+00,NaN,2,0,3,1
29,2,1,105,NaN,NaN,1,NaN,2.533344e+00,NaN,0,0,3,1
29,3,1,122,NaN,NaN,2,NaN,1.424700e-04,NaN,0,0,3,1
29,4,1,92,NaN,NaN,1,NaN,1.740488e+00,NaN,0,0,2,1
29,5,1,59,NaN,NaN,1,NaN,1.313736e+00,NaN,0,1,2,1
29,6,1,68,NaN,NaN,1,NaN,1.430485e+00,NaN,0,0,2,1
29,7,1,26,NaN,NaN,1,NaN,4.872912e-01,NaN,0,1,1,1
29,8,1,126,NaN,NaN,2,NaN,1.249630e-04,NaN,2,0,3,1
29,9,1,82,NaN,NaN,1,NaN,6.082189e-01,NaN,0,0,2,1
29,10,1,91,NaN,NaN,1,NaN,7.781332e-01,NaN,2,0,2,1
29,11,1,37,NaN,NaN,1,NaN,5.736731e-01,NaN,0,0,1,1
29,12,1,6,NaN,NaN,1,NaN,9.047621e-01,NaN,0,1,1,1
29,13,1,23,NaN,NaN,1,NaN,1.670844e+00,NaN,2,1,1,1
29,14,1,44,NaN,NaN,1,NaN,5.019348e-01,NaN,0,0,1,1
29,15,1,50,NaN,NaN,1,NaN,6.439079e-01,NaN,2,0,2,1
29,16,1,14,NaN,NaN,1,NaN,7.009594e-01,NaN,2,0,1,1
29,17,1,119,NaN,NaN,1,NaN,6.029083e-01,NaN,0,0,3,1
29,18,1,138,NaN,NaN,1,NaN,7.330452e-01,NaN,0,1,3,1
29,19,1,142,NaN,NaN,1,NaN,9.298512e-01,NaN,1,0,3,1
29,20,1,128,NaN,NaN,1,NaN,1.999176e+00,NaN,0,0,3,1
29,21,1,108,NaN,NaN,1,NaN,1.057304e+00,NaN,0,0,3,1
29,22,1,116,NaN,NaN,1,NaN,6.650250e-01,NaN,0,1,3,1
29,23,1,34,NaN,NaN,1,NaN,5.370934e-01,NaN,0,0,1,1
29,24,1,38,NaN,NaN,1,NaN,6.694833e-01,NaN,2,0,1,1
29,25,1,137,NaN,NaN,1,NaN,7.248593e-01,NaN,1,0,3,1
29,26,1,28,NaN,NaN,2,NaN,6.343458e-01,NaN,0,1,1,1
29,27,1,134,NaN,NaN,2,NaN,1.298728e+00,NaN,1,0,3,1
29,28,1,126,NaN,NaN,1,NaN,1.913257e+00,NaN,0,0,3,1
29,29,1,109,NaN,NaN,1,NaN,5.747863e-01,NaN,0,0,3,1
29,30,1,114,NaN,NaN,1,NaN,1.009848e+00,NaN,1,1,3,1
29,31,1,68,NaN,NaN,1,NaN,8.436846e-01,NaN,2,0,2,1
29,32,1,108,NaN,NaN,1,NaN,7.485892e-01,NaN,1,0,3,1
29,33,1,96,NaN,NaN,1,NaN,2.840637e+00,NaN,2,0,2,1
29,34,1,66,NaN,NaN,1,NaN,3.193098e+00,NaN,0,0,2,1
29,35,1,112,NaN,NaN,1,NaN,1.387217e+00,NaN,1,0,3,1
29,36,1,12,NaN,NaN,2,NaN,4.458281e-01,NaN,0,0,1,1
29,37,1,69,NaN,NaN,1,NaN,1.862100e+00,NaN,0,0,2,1
29,38,1,143,NaN,NaN,1,NaN,1.133485e+00,NaN,2,0,3,1
29,39,1,141,NaN,NaN,1,NaN,9.780778e-01,NaN,1,0,3,1
29,40,1,80,NaN,NaN,1,NaN,6.131592e-01,NaN,0,0,2,1
29,41,1,56,NaN,NaN,1,NaN,2.470933e+00,NaN,0,0,2,1
29,42,1,29,NaN,NaN,1,NaN,2.173836e+00,NaN,0,1,1,1
29,43,1,92,NaN,NaN,1,NaN,5.287405e-01,NaN,2,0,2,1
29,44,1,117,NaN,NaN,2,NaN,2.381820e+00,NaN,0,0,3,1
29,45,1,39,NaN,NaN,2,NaN,3.544487e+00,NaN,1,1,1,1
29,46,1,25,NaN,NaN,1,NaN,2.172798e+00,NaN,0,0,1,1
29,47,1,90,NaN,NaN,1,NaN,4.247740e+00,NaN,1,0,2,1
29,48,1,1,NaN,NaN,1,NaN,4.798095e-01,NaN,2,1,1,1
29,49,1,88,NaN,NaN,1,NaN,3.346221e-01,NaN,2,0,2,1
29,50,1,33,NaN,NaN,1,NaN,4.755357e-01,NaN,2,0,1,1
29,51,1,8,NaN,NaN,1,NaN,2.322617e+00,NaN,0,1,1,1
29,52,1,123,NaN,NaN,1,NaN,1.279860e-01,NaN,0,0,3,1
29,53,1,117,NaN,NaN,1,NaN,1.061245e+00,NaN,1,0,3,1
29,54,1,71,NaN,NaN,1,NaN,1.228766e+00,NaN,0,1,2,1
29,55,1,88,NaN,NaN,1,NaN,1.045516e+00,NaN,0,0,2,1
29,56,1,122,NaN,NaN,1,NaN,1.341767e+00,NaN,2,0,3,1
29,57,1,62,NaN,NaN,1,NaN,8.745595e-01,NaN,0,0,2,1
29,58,1,133,NaN,NaN,2,NaN,5.753507e-02,NaN,1,0,3,1
29,59,1,50,NaN,NaN,1,NaN,8.897479e-01,NaN,0,0,2,1
29,60,1,73,NaN,NaN,1,NaN,5.924039e-01,NaN,0,0,2,1
29,61,1,93,NaN,NaN,1,NaN,1.148812e-01,NaN,0,0,2,1
29,62,1,18,NaN,NaN,1,NaN,4.565438e-01,NaN,0,0,1,1
29,63,1,95,NaN,NaN,1,NaN,3.968065e+00,NaN,2,0,2,1
29,64,1,39,NaN,NaN,2,NaN,2.597220e-01,NaN,0,1,1,1
29,65,1,115,NaN,NaN,2,NaN,1.219808e+00,NaN,0,0,3,1
29,66,1,60,NaN,NaN,1,NaN,5.888216e-01,NaN,0,0,2,1
29,67,1,53,NaN,NaN,1,NaN,4.716905e-01,NaN,0,0,2,1
29,68,1,66,NaN,NaN,1,NaN,3.108037e-01,NaN,2,0,2,1
29,69,1,83,NaN,NaN,1,NaN,9.297619e-02,NaN,0,0,2,1
29,70,1,40,NaN,NaN,1,NaN,5.157583e-01,NaN,1,0,1,1
29,71,1,120,NaN,NaN,1,NaN,9.852082e-01,NaN,1,0,3,1
29,72,1,127,NaN,NaN,1,NaN,1.346217e-04,NaN,0,0,3,1
