32,Trial,Cond,Block,ImageFiles,Labels,Cues
32,1,1,1,S_Lure_111.bmp,Gizeh Pyramids,NaN
32,2,1,1,F_Image_36.bmp,Penelope Cruz,NaN
32,3,1,1,F_Lure_26.bmp,Madonna,NaN
32,4,1,1,O_Image_80.bmp,Rope,NaN
32,5,1,1,S_Image_118.bmp,Leaning Tower,NaN
32,6,1,1,O_Image_77.bmp,Radio,NaN
32,7,1,1,F_Image_7.bmp,Britney Spears,NaN
32,8,1,1,S_Image_103.bmp,Big Ben,NaN
32,9,1,1,S_Lure_101.bmp,Atomium,NaN
32,10,1,1,S_Image_127.bmp,Niagara Falls,NaN
32,11,1,1,F_Image_30.bmp,Meryl Streep,NaN
32,12,1,1,S_Lure_105.bmp,Chichen Itza,NaN
32,13,1,1,S_Image_133.bmp,Rialto Bridge,NaN
32,14,1,1,O_Image_75.bmp,Necklace,NaN
32,15,1,1,O_Image_56.bmp,Broom,NaN
32,16,1,1,S_Lure_108.bmp,Dover Cliffs,NaN
32,17,1,1,O_Lure_63.bmp,Globe,NaN
32,18,1,1,O_Lure_58.bmp,Canoe,NaN
32,19,1,1,F_Image_8.bmp,Cameron Diaz,NaN
32,20,1,1,O_Lure_67.bmp,Hammock,NaN
32,21,1,1,S_Image_135.bmp,Sahara Desert,NaN
32,22,1,1,F_Image_4.bmp,Barack Obama,NaN
32,23,1,1,F_Lure_24.bmp,Keanu Reeves,NaN
32,24,1,1,S_Image_101.bmp,Atomium,NaN
32,25,1,1,S_Lure_140.bmp,Taj Mahal,NaN
32,26,1,1,F_Lure_2.bmp,Amy Winehouse,NaN
32,27,1,1,S_Image_142.bmp,Tower Bridge,NaN
32,28,1,1,F_Lure_1.bmp,Albert Einstein,NaN
32,29,1,1,S_Image_120.bmp,Machu Picchu,NaN
32,30,1,1,F_Lure_36.bmp,Penelope Cruz,NaN
32,31,1,1,S_Image_132.bmp,Red Square,NaN
32,32,1,1,S_Image_111.bmp,Gizeh Pyramids,NaN
32,33,1,1,F_Image_16.bmp,George Bush,NaN
32,34,1,1,F_Image_39.bmp,Robbie Williams,NaN
32,35,1,1,O_Image_51.bmp,Basket,NaN
32,36,1,1,F_Lure_4.bmp,Barack Obama,NaN
32,37,1,1,S_Lure_125.bmp,Mount Rushmore,NaN
32,38,1,1,F_Image_43.bmp,Tom Cruise,NaN
32,39,1,1,S_Lure_106.bmp,Christ The Redeemer,NaN
32,40,1,1,F_Image_20.bmp,Jennifer Lopez,NaN
32,41,1,1,O_Lure_62.bmp,FryingPan,NaN
32,42,1,1,F_Image_18.bmp,Jack Nicholson,NaN
32,43,1,1,O_Lure_95.bmp,Wheelchair,NaN
32,44,1,1,F_Image_48.bmp,Will Smith,NaN
32,45,1,1,F_Lure_10.bmp,Dalai Lama,NaN
32,46,1,1,S_Lure_139.bmp,Sydney Opera,NaN
32,47,1,1,F_Image_12.bmp,David Beckham,NaN
32,48,1,1,O_Image_81.bmp,Scale,NaN
32,49,1,1,F_Lure_48.bmp,Will Smith,NaN
32,50,1,1,F_Lure_22.bmp,Judi Dench,NaN
32,51,1,1,F_Lure_33.bmp,Mother Teresa,NaN
32,52,1,1,F_Lure_38.bmp,Queen Elisabeth,NaN
32,53,1,1,O_Lure_75.bmp,Necklace,NaN
32,54,1,1,S_Lure_131.bmp,Rapa Nui,NaN
32,55,1,1,S_Lure_114.bmp,Great Wall,NaN
32,56,1,1,S_Image_109.bmp,Eiffel Tower,NaN
32,57,1,1,F_Image_15.bmp,Fidel Castro,NaN
32,58,1,1,O_Image_96.bmp,Wineglass,NaN
32,59,1,1,F_Image_27.bmp,Mahadma Gandhi,NaN
32,60,1,1,O_Image_59.bmp,Fan,NaN
32,61,1,1,O_Lure_57.bmp,Brush,NaN
32,62,1,1,O_Lure_91.bmp,Torch,NaN
32,63,1,1,S_Image_130.bmp,Potala Palace,NaN
32,64,1,1,O_Image_74.bmp,Mirror,NaN
32,65,1,1,O_Image_63.bmp,Globe,NaN
32,66,1,1,S_Lure_136.bmp,Sistine Chapel,NaN
32,67,1,1,F_Image_32.bmp,Mick Jagger,NaN
32,68,1,1,O_Lure_96.bmp,Wineglass,NaN
32,69,1,1,O_Image_86.bmp,Soother,NaN
32,70,1,1,F_Lure_19.bmp,James Dean,NaN
32,71,1,1,S_Image_138.bmp,Stonehenge,NaN
32,72,1,1,F_Image_1.bmp,Albert Einstein,NaN
32,73,1,1,O_Lure_83.bmp,Shoe,NaN
32,74,1,1,O_Image_85.bmp,Sock,NaN
32,75,1,1,O_Lure_60.bmp,Flask,NaN
32,76,1,1,S_Lure_129.bmp,Petra,NaN
32,77,1,1,S_Image_141.bmp,Time Square,NaN
32,78,1,1,O_Lure_65.bmp,GrandPiano,NaN
32,79,1,1,O_Lure_52.bmp,Bed,NaN
32,80,1,1,F_Lure_45.bmp,Tony Blair,NaN
32,81,1,1,F_Image_22.bmp,Judi Dench,NaN
32,82,1,1,F_Image_9.bmp,Charlie Chaplin,NaN
32,83,1,1,F_Image_23.bmp,Julia Roberts,NaN
32,84,1,1,O_Lure_53.bmp,Belt,NaN
32,85,1,1,S_Lure_100.bmp,Angkor Wat,NaN
32,86,1,1,O_Image_64.bmp,Goggles,NaN
32,87,1,1,O_Lure_88.bmp,Suitcase,NaN
32,88,1,1,F_Lure_21.bmp,John Lennon,NaN
32,89,1,1,S_Lure_137.bmp,Statue Of Liberty,NaN
32,90,1,1,O_Image_65.bmp,GrandPiano,NaN
32,91,1,1,F_Lure_3.bmp,Angela Merkel,NaN
32,92,1,1,O_Lure_74.bmp,Mirror,NaN
32,93,1,1,S_Lure_135.bmp,Sahara Desert,NaN
32,94,1,1,F_Lure_31.bmp,Michael Jackson,NaN
32,95,1,1,F_Lure_17.bmp,George Clooney,NaN
32,96,1,1,O_Lure_51.bmp,Basket,NaN
32,97,1,1,O_Image_72.bmp,Lightbulb,NaN
32,98,1,1,F_Lure_15.bmp,Fidel Castro,NaN
32,99,1,1,F_Image_41.bmp,Rod Steward,NaN
32,100,1,1,S_Lure_115.bmp,Hagia Sophia,NaN
32,101,1,1,S_Lure_138.bmp,Stonehenge,NaN
32,102,1,1,O_Lure_72.bmp,Lightbulb,NaN
32,103,1,1,F_Image_25.bmp,Leonardo DiCaprio,NaN
32,104,1,1,O_Image_62.bmp,FryingPan,NaN
32,105,1,1,F_Lure_40.bmp,Robert De Niro,NaN
32,106,1,1,F_Lure_30.bmp,Meryl Streep,NaN
32,107,1,1,F_Image_38.bmp,Queen Elisabeth,NaN
