Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
62,1,1,27,NaN,NaN,1,NaN,2.872167e-01,NaN,0,0,1,1
62,2,1,108,NaN,NaN,1,NaN,1.429693e+00,NaN,2,0,3,1
62,3,1,114,NaN,NaN,2,NaN,5.908957e-01,NaN,0,1,3,1
62,4,1,21,NaN,NaN,1,NaN,7.305227e-01,NaN,0,1,1,1
62,5,1,136,NaN,NaN,2,NaN,9.157082e-01,NaN,0,0,3,1
62,6,1,46,NaN,NaN,1,NaN,8.105990e-01,NaN,0,0,1,1
62,7,1,120,NaN,NaN,1,NaN,4.793019e-01,NaN,0,1,3,1
62,8,1,64,NaN,NaN,2,NaN,3.262437e-01,NaN,0,0,2,1
62,9,1,122,NaN,NaN,1,NaN,4.699141e-01,NaN,1,1,3,1
62,10,1,6,NaN,NaN,1,NaN,3.093610e+00,NaN,2,0,1,1
62,11,1,52,NaN,NaN,1,NaN,1.950881e+00,NaN,1,0,2,1
62,12,1,108,NaN,NaN,1,NaN,9.619710e-01,NaN,0,0,3,1
62,13,1,62,NaN,NaN,1,NaN,5.296577e-01,NaN,1,0,2,1
62,14,1,65,NaN,NaN,1,NaN,1.658422e-01,NaN,2,0,2,1
62,15,1,42,NaN,NaN,1,NaN,2.280634e+00,NaN,0,1,1,1
62,16,1,16,NaN,NaN,1,NaN,7.049928e-01,NaN,2,0,1,1
62,17,1,33,NaN,NaN,1,NaN,1.392049e-01,NaN,0,0,1,1
62,18,1,70,NaN,NaN,1,NaN,2.073325e+00,NaN,1,0,2,1
62,19,1,7,NaN,NaN,1,NaN,8.547551e-01,NaN,1,0,1,1
62,20,1,36,NaN,NaN,1,NaN,3.694051e-01,NaN,2,0,1,1
62,21,1,97,NaN,NaN,1,NaN,1.222185e+00,NaN,2,0,3,1
62,22,1,1,NaN,NaN,1,NaN,2.416581e-01,NaN,1,0,1,1
62,23,1,127,NaN,NaN,1,NaN,2.333792e-01,NaN,0,0,3,1
62,24,1,8,NaN,NaN,1,NaN,1.771060e-01,NaN,1,0,1,1
62,25,1,111,NaN,NaN,1,NaN,1.500922e+00,NaN,0,1,3,1
62,26,1,45,NaN,NaN,1,NaN,2.031899e+00,NaN,0,0,1,1
62,27,1,88,NaN,NaN,1,NaN,6.747150e-01,NaN,1,0,2,1
62,28,1,69,NaN,NaN,1,NaN,2.662212e-01,NaN,0,1,2,1
62,29,1,104,NaN,NaN,1,NaN,2.739344e+00,NaN,1,1,3,1
62,30,1,11,NaN,NaN,1,NaN,1.346406e+00,NaN,1,0,1,1
62,31,1,92,NaN,NaN,1,NaN,1.201308e+00,NaN,0,0,2,1
62,32,1,138,NaN,NaN,1,NaN,7.881373e-01,NaN,0,1,3,1
62,33,1,75,NaN,NaN,1,NaN,4.616504e-01,NaN,0,0,2,1
62,34,1,91,NaN,NaN,1,NaN,7.363541e-01,NaN,2,0,2,1
62,35,1,29,NaN,NaN,1,NaN,4.757481e-01,NaN,0,0,1,1
62,36,1,17,NaN,NaN,1,NaN,1.222341e+00,NaN,0,0,1,1
62,37,1,40,NaN,NaN,1,NaN,3.666157e-01,NaN,0,0,1,1
62,38,1,24,NaN,NaN,1,NaN,2.507645e-01,NaN,1,1,1,1
62,39,1,124,NaN,NaN,1,NaN,1.095074e+00,NaN,0,0,3,1
62,40,1,81,NaN,NaN,1,NaN,7.194485e-01,NaN,0,0,2,1
62,41,1,10,NaN,NaN,1,NaN,5.260536e-01,NaN,1,0,1,1
62,42,1,128,NaN,NaN,1,NaN,1.297721e+00,NaN,1,0,3,1
62,43,1,83,NaN,NaN,1,NaN,3.575270e-01,NaN,2,0,2,1
62,44,1,78,NaN,NaN,1,NaN,1.228722e+00,NaN,1,0,2,1
62,45,1,117,NaN,NaN,1,NaN,3.622165e-01,NaN,2,1,3,1
62,46,1,141,NaN,NaN,1,NaN,7.760249e-01,NaN,0,0,3,1
62,47,1,104,NaN,NaN,1,NaN,3.089877e-01,NaN,0,1,3,1
62,48,1,78,NaN,NaN,1,NaN,8.168055e-01,NaN,0,0,2,1
62,49,1,39,NaN,NaN,1,NaN,1.246191e+00,NaN,0,1,1,1
62,50,1,68,NaN,NaN,1,NaN,6.572476e-01,NaN,0,0,2,1
62,51,1,79,NaN,NaN,1,NaN,8.879441e-01,NaN,2,1,2,1
62,52,1,48,NaN,NaN,1,NaN,1.943653e-01,NaN,1,0,1,1
62,53,1,101,NaN,NaN,1,NaN,6.115978e-01,NaN,0,0,3,1
62,54,1,142,NaN,NaN,1,NaN,5.343317e-01,NaN,1,1,3,1
62,55,1,93,NaN,NaN,1,NaN,5.147156e-01,NaN,1,1,2,1
62,56,1,144,NaN,NaN,1,NaN,8.047272e-01,NaN,2,0,3,1
62,57,1,20,NaN,NaN,1,NaN,1.061715e+00,NaN,1,0,1,1
62,58,1,60,NaN,NaN,1,NaN,7.292199e-01,NaN,2,0,2,1
62,59,1,67,NaN,NaN,1,NaN,4.203583e-01,NaN,1,0,2,1
62,60,1,135,NaN,NaN,1,NaN,3.977326e-01,NaN,2,0,3,1
62,61,1,86,NaN,NaN,1,NaN,1.045022e+00,NaN,0,0,2,1
62,62,1,112,NaN,NaN,1,NaN,5.846629e+00,NaN,0,0,3,1
62,63,1,54,NaN,NaN,1,NaN,4.186006e-01,NaN,0,0,2,1
62,64,1,115,NaN,NaN,1,NaN,7.297563e-01,NaN,1,0,3,1
62,65,1,106,NaN,NaN,1,NaN,4.219853e-01,NaN,2,0,3,1
62,66,1,85,NaN,NaN,1,NaN,4.839812e-01,NaN,2,0,2,1
62,67,1,125,NaN,NaN,1,NaN,4.923422e-02,NaN,0,0,3,1
62,68,1,44,NaN,NaN,1,NaN,4.054369e-01,NaN,2,0,1,1
62,69,1,136,NaN,NaN,1,NaN,4.033931e-01,NaN,1,0,3,1
62,70,1,125,NaN,NaN,1,NaN,4.590169e+00,NaN,1,0,3,1
62,71,1,66,NaN,NaN,1,NaN,1.830969e+00,NaN,1,0,2,1
62,72,1,32,NaN,NaN,1,NaN,1.470407e+00,NaN,1,0,1,1
62,73,1,23,NaN,NaN,1,NaN,2.255567e+00,NaN,0,1,1,1
62,74,1,85,NaN,NaN,1,NaN,8.678722e-01,NaN,0,0,2,1
62,75,1,71,NaN,NaN,1,NaN,1.285467e-01,NaN,1,1,2,1
62,76,1,53,NaN,NaN,1,NaN,1.010365e+00,NaN,0,0,2,1
62,77,1,69,NaN,NaN,1,NaN,3.728381e+00,NaN,2,1,2,1
62,78,1,140,NaN,NaN,1,NaN,3.143683e+00,NaN,1,0,3,1
62,79,1,118,NaN,NaN,1,NaN,8.498602e-01,NaN,0,0,3,1
62,80,1,74,NaN,NaN,1,NaN,2.399914e-01,NaN,0,0,2,1
62,81,1,87,NaN,NaN,1,NaN,1.173795e+00,NaN,0,1,2,1
62,82,1,131,NaN,NaN,1,NaN,1.875591e+00,NaN,1,1,3,1
62,83,1,41,NaN,NaN,1,NaN,1.897276e-01,NaN,0,0,1,1
62,84,1,113,NaN,NaN,1,NaN,1.077506e+00,NaN,0,0,3,1
62,85,1,86,NaN,NaN,1,NaN,5.818351e-01,NaN,2,0,2,1
62,86,1,102,NaN,NaN,1,NaN,2.965092e+00,NaN,1,0,3,1
62,87,1,89,NaN,NaN,1,NaN,4.579550e-01,NaN,0,0,2,1
62,88,1,2,NaN,NaN,1,NaN,8.893027e+00,NaN,2,0,1,1
62,89,1,20,NaN,NaN,2,NaN,3.772063e-01,NaN,0,0,1,1
62,90,1,1,NaN,NaN,1,NaN,2.554361e-01,NaN,0,0,1,1
62,91,1,128,NaN,NaN,1,NaN,1.849791e+00,NaN,0,0,3,1
62,92,1,31,NaN,NaN,1,NaN,1.528321e+00,NaN,0,0,1,1
62,93,1,92,NaN,NaN,1,NaN,1.141563e+00,NaN,2,0,2,1
62,94,1,106,NaN,NaN,1,NaN,1.512213e+00,NaN,0,0,3,1
62,95,1,129,NaN,NaN,1,NaN,1.551712e+00,NaN,0,0,3,1
62,96,1,77,NaN,NaN,1,NaN,1.037877e+00,NaN,2,0,2,1
62,97,1,53,NaN,NaN,1,NaN,1.611116e+00,NaN,1,0,2,1
62,98,1,74,NaN,NaN,1,NaN,2.291313e+00,NaN,1,0,2,1
62,99,1,129,NaN,NaN,1,NaN,1.391483e+00,NaN,1,0,3,1
62,100,1,67,NaN,NaN,1,NaN,1.446212e+00,NaN,0,0,2,1
62,101,1,71,NaN,NaN,1,NaN,3.285522e-01,NaN,0,1,2,1
62,102,1,137,NaN,NaN,1,NaN,1.412228e-01,NaN,1,0,3,1
62,103,1,57,NaN,NaN,2,NaN,4.214662e-01,NaN,1,0,2,1
