65,Trial,Cond,Block,ImageFiles,Labels,Cues
65,1,1,1,F_Image_14.bmp,Elvis Presley,NaN
65,2,1,1,S_Image_109.bmp,Eiffel Tower,NaN
65,3,1,1,F_Image_4.bmp,Barack Obama,NaN
65,4,1,1,O_Lure_61.bmp,Football,NaN
65,5,1,1,S_Lure_99.bmp,Alhambra,NaN
65,6,1,1,O_Image_82.bmp,Scissors,NaN
65,7,1,1,O_Lure_57.bmp,Brush,NaN
65,8,1,1,F_Image_44.bmp,Tom Hanks,NaN
65,9,1,1,F_Image_34.bmp,Nelson Mandela,NaN
65,10,1,1,F_Lure_24.bmp,Keanu Reeves,NaN
65,11,1,1,O_Lure_54.bmp,Bicycle,NaN
65,12,1,1,O_Lure_56.bmp,Broom,NaN
65,13,1,1,S_Lure_130.bmp,Potala Palace,NaN
65,14,1,1,O_Image_70.bmp,Key,NaN
65,15,1,1,O_Image_84.bmp,Skirt,NaN
65,16,1,1,S_Image_121.bmp,Mecca,NaN
65,17,1,1,F_Lure_4.bmp,Barack Obama,NaN
65,18,1,1,S_Image_103.bmp,Big Ben,NaN
65,19,1,1,O_Image_79.bmp,Remote Control,NaN
65,20,1,1,F_Image_32.bmp,Mick Jagger,NaN
65,21,1,1,O_Lure_94.bmp,Watch,NaN
65,22,1,1,F_Lure_26.bmp,Madonna,NaN
65,23,1,1,O_Lure_66.bmp,Guitar,NaN
65,24,1,1,O_Image_87.bmp,Stapler,NaN
65,25,1,1,O_Lure_77.bmp,Radio,NaN
65,26,1,1,S_Image_98.bmp,Alcatraz,NaN
65,27,1,1,O_Lure_64.bmp,Goggles,NaN
65,28,1,1,O_Lure_80.bmp,Rope,NaN
65,29,1,1,O_Lure_76.bmp,Pillows,NaN
65,30,1,1,O_Image_57.bmp,Brush,NaN
65,31,1,1,F_Image_22.bmp,Judi Dench,NaN
65,32,1,1,O_Lure_74.bmp,Mirror,NaN
65,33,1,1,O_Image_65.bmp,GrandPiano,NaN
65,34,1,1,S_Image_133.bmp,Rialto Bridge,NaN
65,35,1,1,O_Lure_82.bmp,Scissors,NaN
65,36,1,1,O_Image_53.bmp,Belt,NaN
65,37,1,1,S_Image_129.bmp,Petra,NaN
65,38,1,1,O_Lure_96.bmp,Wineglass,NaN
65,39,1,1,S_Lure_139.bmp,Sydney Opera,NaN
65,40,1,1,O_Lure_51.bmp,Basket,NaN
65,41,1,1,O_Image_63.bmp,Globe,NaN
65,42,1,1,S_Image_137.bmp,Statue Of Liberty,NaN
65,43,1,1,O_Image_66.bmp,Guitar,NaN
65,44,1,1,S_Image_107.bmp,Colosseum,NaN
65,45,1,1,S_Image_106.bmp,Christ The Redeemer,NaN
65,46,1,1,O_Image_72.bmp,Lightbulb,NaN
65,47,1,1,O_Image_51.bmp,Basket,NaN
65,48,1,1,F_Image_29.bmp,Marilyn Monroe,NaN
65,49,1,1,S_Lure_110.bmp,Forbidden City,NaN
65,50,1,1,F_Image_40.bmp,Robert De Niro,NaN
65,51,1,1,S_Lure_98.bmp,Alcatraz,NaN
65,52,1,1,S_Image_143.bmp,Versailles,NaN
65,53,1,1,O_Lure_58.bmp,Canoe,NaN
65,54,1,1,S_Image_125.bmp,Mount Rushmore,NaN
65,55,1,1,F_Lure_10.bmp,Dalai Lama,NaN
65,56,1,1,S_Image_122.bmp,Mont Saint Michel,NaN
65,57,1,1,O_Image_54.bmp,Bicycle,NaN
65,58,1,1,S_Lure_136.bmp,Sistine Chapel,NaN
65,59,1,1,F_Image_16.bmp,George Bush,NaN
65,60,1,1,O_Image_52.bmp,Bed,NaN
65,61,1,1,O_Image_76.bmp,Pillows,NaN
65,62,1,1,F_Lure_9.bmp,Charlie Chaplin,NaN
65,63,1,1,O_Lure_50.bmp,Barbecue,NaN
65,64,1,1,F_Image_10.bmp,Dalai Lama,NaN
65,65,1,1,O_Lure_59.bmp,Fan,NaN
65,66,1,1,F_Lure_43.bmp,Tom Cruise,NaN
65,67,1,1,O_Image_81.bmp,Scale,NaN
65,68,1,1,O_Lure_91.bmp,Torch,NaN
65,69,1,1,S_Image_101.bmp,Atomium,NaN
65,70,1,1,S_Lure_103.bmp,Big Ben,NaN
65,71,1,1,O_Image_56.bmp,Broom,NaN
65,72,1,1,O_Lure_52.bmp,Bed,NaN
65,73,1,1,F_Lure_22.bmp,Judi Dench,NaN
65,74,1,1,S_Lure_123.bmp,Mount Everest,NaN
65,75,1,1,F_Image_26.bmp,Madonna,NaN
65,76,1,1,O_Lure_60.bmp,Flask,NaN
65,77,1,1,F_Lure_33.bmp,Mother Teresa,NaN
65,78,1,1,S_Image_117.bmp,Kings College,NaN
65,79,1,1,S_Image_134.bmp,Sagrada Familia,NaN
65,80,1,1,S_Lure_137.bmp,Statue Of Liberty,NaN
65,81,1,1,S_Image_108.bmp,Dover Cliffs,NaN
65,82,1,1,O_Image_71.bmp,Ladder,NaN
65,83,1,1,F_Lure_2.bmp,Amy Winehouse,NaN
65,84,1,1,S_Lure_132.bmp,Red Square,NaN
65,85,1,1,F_Image_47.bmp,Whoopi Goldberg,NaN
65,86,1,1,S_Image_105.bmp,Chichen Itza,NaN
65,87,1,1,F_Lure_8.bmp,Cameron Diaz,NaN
65,88,1,1,O_Lure_81.bmp,Scale,NaN
65,89,1,1,F_Image_23.bmp,Julia Roberts,NaN
65,90,1,1,S_Image_113.bmp,Grand Canyon,NaN
65,91,1,1,F_Image_5.bmp,Bill Clinton,NaN
65,92,1,1,F_Lure_34.bmp,Nelson Mandela,NaN
65,93,1,1,F_Image_45.bmp,Tony Blair,NaN
65,94,1,1,F_Image_8.bmp,Cameron Diaz,NaN
65,95,1,1,O_Lure_92.bmp,Trophy,NaN
