Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
1,1,1,104,NaN,NaN,2,NaN,1.571798e+00,NaN,2,0,3,1
1,2,1,4,NaN,NaN,1,NaN,3.821254e-01,NaN,2,0,1,1
1,3,1,26,NaN,NaN,1,NaN,5.680209e-01,NaN,0,1,1,1
1,4,1,30,NaN,NaN,1,NaN,6.107850e-01,NaN,0,0,1,1
1,5,1,95,NaN,NaN,1,NaN,3.564570e-01,NaN,2,1,2,1
1,6,1,11,NaN,NaN,1,NaN,3.836349e-01,NaN,1,0,1,1
1,7,1,58,NaN,NaN,1,NaN,2.495047e-01,NaN,0,1,2,1
1,8,1,141,NaN,NaN,1,NaN,2.648235e-01,NaN,0,1,3,1
1,9,1,113,NaN,NaN,1,NaN,3.837732e-01,NaN,0,0,3,1
1,10,1,14,NaN,NaN,1,NaN,2.499494e-01,NaN,0,1,1,1
1,11,1,134,NaN,NaN,2,NaN,4.170691e-01,NaN,2,0,3,1
1,12,1,69,NaN,NaN,1,NaN,2.337036e-01,NaN,0,0,2,1
1,13,1,57,NaN,NaN,1,NaN,2.895507e-01,NaN,1,0,2,1
1,14,1,40,NaN,NaN,1,NaN,3.769277e-01,NaN,1,0,1,1
1,15,1,100,NaN,NaN,2,NaN,3.705547e-01,NaN,0,0,3,1
1,16,1,108,NaN,NaN,2,NaN,6.053758e-01,NaN,0,0,3,1
1,17,1,60,NaN,NaN,1,NaN,3.585014e-01,NaN,0,1,2,1
1,18,1,35,NaN,NaN,2,NaN,5.060964e-01,NaN,1,0,1,1
1,19,1,109,NaN,NaN,1,NaN,3.832947e-01,NaN,0,0,3,1
1,20,1,22,NaN,NaN,2,NaN,5.222805e-01,NaN,1,1,1,1
1,21,1,5,NaN,NaN,1,NaN,2.779598e-01,NaN,0,1,1,1
1,22,1,4,NaN,NaN,1,NaN,3.161210e-01,NaN,0,0,1,1
1,23,1,3,NaN,NaN,2,NaN,3.527777e-01,NaN,1,0,1,1
1,24,1,2,NaN,NaN,1,NaN,2.841354e-01,NaN,1,0,1,1
1,25,1,2,NaN,NaN,1,NaN,3.541113e-01,NaN,0,0,1,1
1,26,1,123,NaN,NaN,1,NaN,2.294650e-01,NaN,1,0,3,1
1,27,1,1,NaN,NaN,1,NaN,2.937772e-01,NaN,1,0,1,1
1,28,1,69,NaN,NaN,1,NaN,3.877634e-01,NaN,1,0,2,1
1,29,1,82,NaN,NaN,1,NaN,5.019079e-01,NaN,0,0,2,1
1,30,1,31,NaN,NaN,1,NaN,3.629432e-01,NaN,2,0,1,1
1,31,1,28,NaN,NaN,2,NaN,3.656735e-01,NaN,0,0,1,1
1,32,1,36,NaN,NaN,1,NaN,3.763941e-01,NaN,0,0,1,1
1,33,1,29,NaN,NaN,1,NaN,4.513357e-01,NaN,2,0,1,1
1,34,1,143,NaN,NaN,2,NaN,5.066491e-01,NaN,2,0,3,1
1,35,1,129,NaN,NaN,2,NaN,4.639462e-01,NaN,0,0,3,1
1,36,1,13,NaN,NaN,1,NaN,4.704264e-01,NaN,2,1,1,1
1,37,1,43,NaN,NaN,1,NaN,3.575542e-01,NaN,1,0,1,1
1,38,1,87,NaN,NaN,1,NaN,5.050136e-01,NaN,1,0,2,1
1,39,1,41,NaN,NaN,1,NaN,3.659967e-01,NaN,0,1,1,1
1,40,1,99,NaN,NaN,2,NaN,2.567537e-01,NaN,0,0,3,1
1,41,1,55,NaN,NaN,1,NaN,4.928233e-02,NaN,0,1,2,1
1,42,1,77,NaN,NaN,1,NaN,2.718959e-01,NaN,1,0,2,1
1,43,1,135,NaN,NaN,1,NaN,5.021907e-01,NaN,0,0,3,1
1,44,1,127,NaN,NaN,1,NaN,5.154140e-01,NaN,1,0,3,1
1,45,1,7,NaN,NaN,1,NaN,2.881111e-01,NaN,0,0,1,1
1,46,1,112,NaN,NaN,1,NaN,4.702755e-01,NaN,1,1,3,1
1,47,1,107,NaN,NaN,1,NaN,4.692724e-01,NaN,0,1,3,1
1,48,1,49,NaN,NaN,1,NaN,4.440623e-01,NaN,1,1,2,1
1,49,1,77,NaN,NaN,1,NaN,4.280656e-01,NaN,0,0,2,1
1,50,1,46,NaN,NaN,2,NaN,3.718180e-01,NaN,0,1,1,1
1,51,1,128,NaN,NaN,2,NaN,4.626036e-01,NaN,1,0,3,1
1,52,1,64,NaN,NaN,1,NaN,3.896050e-01,NaN,1,0,2,1
1,53,1,87,NaN,NaN,1,NaN,6.474481e-01,NaN,0,0,2,1
1,54,1,110,NaN,NaN,2,NaN,3.505730e-01,NaN,0,0,3,1
1,55,1,94,NaN,NaN,1,NaN,2.822727e-01,NaN,0,1,2,1
1,56,1,24,NaN,NaN,1,NaN,4.482426e-01,NaN,2,1,1,1
1,57,1,106,NaN,NaN,1,NaN,7.756629e-01,NaN,0,0,3,1
1,58,1,120,NaN,NaN,1,NaN,7.300646e-01,NaN,0,0,3,1
1,59,1,48,NaN,NaN,1,NaN,5.661105e-01,NaN,2,1,1,1
1,60,1,62,NaN,NaN,1,NaN,3.207580e-01,NaN,1,0,2,1
1,61,1,136,NaN,NaN,1,NaN,4.215534e-01,NaN,1,0,3,1
1,62,1,61,NaN,NaN,1,NaN,5.582252e-01,NaN,0,0,2,1
1,63,1,115,NaN,NaN,2,NaN,5.465513e-01,NaN,2,1,3,1
1,64,1,97,NaN,NaN,2,NaN,5.649224e-01,NaN,0,1,3,1
1,65,1,36,NaN,NaN,1,NaN,5.359173e-01,NaN,1,0,1,1
1,66,1,116,NaN,NaN,1,NaN,5.317080e-01,NaN,0,1,3,1
1,67,1,83,NaN,NaN,1,NaN,3.436131e-01,NaN,0,0,2,1
1,68,1,120,NaN,NaN,2,NaN,4.761335e-01,NaN,2,0,3,1
