11,Trial,Cond,Block,ImageFiles,Labels,Cues
11,1,1,1,O_Lure_55.bmp,Binoculars,NaN
11,2,1,1,F_Lure_2.bmp,Amy Winehouse,NaN
11,3,1,1,S_Image_134.bmp,Sagrada Familia,NaN
11,4,1,1,O_Image_88.bmp,Suitcase,NaN
11,5,1,1,F_Image_3.bmp,Angela Merkel,NaN
11,6,1,1,O_Image_87.bmp,Stapler,NaN
11,7,1,1,F_Image_39.bmp,Robbie Williams,NaN
11,8,1,1,O_Image_58.bmp,Canoe,NaN
11,9,1,1,S_Lure_140.bmp,Taj Mahal,NaN
11,10,1,1,S_Image_124.bmp,Mount Fuji,NaN
11,11,1,1,O_Image_65.bmp,GrandPiano,NaN
11,12,1,1,O_Image_57.bmp,Brush,NaN
11,13,1,1,O_Lure_93.bmp,Umbrella,NaN
11,14,1,1,F_Lure_1.bmp,Albert Einstein,NaN
11,15,1,1,F_Image_1.bmp,Albert Einstein,NaN
11,16,1,1,O_Image_71.bmp,Ladder,NaN
11,17,1,1,F_Lure_36.bmp,Penelope Cruz,NaN
11,18,1,1,F_Lure_44.bmp,Tom Hanks,NaN
11,19,1,1,O_Image_72.bmp,Lightbulb,NaN
11,20,1,1,S_Image_120.bmp,Machu Picchu,NaN
11,21,1,1,S_Lure_115.bmp,Hagia Sophia,NaN
11,22,1,1,S_Lure_135.bmp,Sahara Desert,NaN
11,23,1,1,O_Image_96.bmp,Wineglass,NaN
11,24,1,1,F_Image_35.bmp,Nikola Sarkozy,NaN
11,25,1,1,S_Image_101.bmp,Atomium,NaN
11,26,1,1,F_Lure_29.bmp,Marilyn Monroe,NaN
11,27,1,1,O_Lure_95.bmp,Wheelchair,NaN
11,28,1,1,F_Lure_38.bmp,Queen Elisabeth,NaN
11,29,1,1,F_Lure_25.bmp,Leonardo DiCaprio,NaN
11,30,1,1,S_Lure_99.bmp,Alhambra,NaN
11,31,1,1,S_Image_112.bmp,Golden Gate Bridge,NaN
11,32,1,1,S_Lure_97.bmp,Akropolis,NaN
11,33,1,1,O_Lure_66.bmp,Guitar,NaN
11,34,1,1,S_Lure_111.bmp,Gizeh Pyramids,NaN
11,35,1,1,O_Lure_53.bmp,Belt,NaN
11,36,1,1,S_Lure_106.bmp,Christ The Redeemer,NaN
11,37,1,1,O_Lure_94.bmp,Watch,NaN
11,38,1,1,S_Image_128.bmp,Notre Dame,NaN
11,39,1,1,O_Image_56.bmp,Broom,NaN
11,40,1,1,O_Lure_88.bmp,Suitcase,NaN
11,41,1,1,S_Image_111.bmp,Gizeh Pyramids,NaN
11,42,1,1,O_Image_62.bmp,FryingPan,NaN
11,43,1,1,F_Image_26.bmp,Madonna,NaN
11,44,1,1,S_Image_104.bmp,Brandenburg Gate,NaN
11,45,1,1,O_Image_68.bmp,Hat,NaN
11,46,1,1,F_Lure_22.bmp,Judi Dench,NaN
11,47,1,1,O_Lure_86.bmp,Soother,NaN
11,48,1,1,S_Image_97.bmp,Akropolis,NaN
11,49,1,1,F_Lure_33.bmp,Mother Teresa,NaN
11,50,1,1,S_Image_123.bmp,Mount Everest,NaN
11,51,1,1,O_Image_51.bmp,Basket,NaN
11,52,1,1,S_Image_102.bmp,Ayers Rock,NaN
11,53,1,1,O_Image_49.bmp,Anchor,NaN
11,54,1,1,F_Lure_8.bmp,Cameron Diaz,NaN
11,55,1,1,O_Image_77.bmp,Radio,NaN
11,56,1,1,S_Lure_120.bmp,Machu Picchu,NaN
11,57,1,1,S_Lure_141.bmp,Time Square,NaN
11,58,1,1,S_Image_142.bmp,Tower Bridge,NaN
11,59,1,1,O_Image_90.bmp,Telephone,NaN
11,60,1,1,S_Image_114.bmp,Great Wall,NaN
11,61,1,1,O_Lure_60.bmp,Flask,NaN
11,62,1,1,F_Lure_7.bmp,Britney Spears,NaN
11,63,1,1,S_Image_135.bmp,Sahara Desert,NaN
11,64,1,1,F_Lure_48.bmp,Will Smith,NaN
11,65,1,1,O_Image_91.bmp,Torch,NaN
11,66,1,1,F_Image_37.bmp,Pierce Brosnan,NaN
11,67,1,1,F_Image_22.bmp,Judi Dench,NaN
11,68,1,1,F_Image_47.bmp,Whoopi Goldberg,NaN
11,69,1,1,O_Image_81.bmp,Scale,NaN
11,70,1,1,O_Lure_50.bmp,Barbecue,NaN
11,71,1,1,S_Image_131.bmp,Rapa Nui,NaN
11,72,1,1,S_Image_125.bmp,Mount Rushmore,NaN
11,73,1,1,F_Lure_19.bmp,James Dean,NaN
11,74,1,1,O_Lure_56.bmp,Broom,NaN
11,75,1,1,S_Lure_105.bmp,Chichen Itza,NaN
11,76,1,1,S_Lure_138.bmp,Stonehenge,NaN
11,77,1,1,S_Lure_127.bmp,Niagara Falls,NaN
11,78,1,1,S_Image_117.bmp,Kings College,NaN
11,79,1,1,F_Image_36.bmp,Penelope Cruz,NaN
11,80,1,1,F_Image_19.bmp,James Dean,NaN
11,81,1,1,S_Lure_109.bmp,Eiffel Tower,NaN
11,82,1,1,F_Image_21.bmp,John Lennon,NaN
11,83,1,1,F_Image_10.bmp,Dalai Lama,NaN
11,84,1,1,O_Lure_83.bmp,Shoe,NaN
11,85,1,1,F_Image_30.bmp,Meryl Streep,NaN
11,86,1,1,F_Image_9.bmp,Charlie Chaplin,NaN
11,87,1,1,S_Lure_103.bmp,Big Ben,NaN
11,88,1,1,F_Lure_35.bmp,Nikola Sarkozy,NaN
11,89,1,1,O_Lure_63.bmp,Globe,NaN
11,90,1,1,O_Lure_52.bmp,Bed,NaN
11,91,1,1,O_Image_94.bmp,Watch,NaN
11,92,1,1,S_Lure_112.bmp,Golden Gate Bridge,NaN
11,93,1,1,S_Image_118.bmp,Leaning Tower,NaN
11,94,1,1,F_Image_7.bmp,Britney Spears,NaN
11,95,1,1,O_Image_93.bmp,Umbrella,NaN
11,96,1,1,F_Image_42.bmp,Scarlett Johansson,NaN
11,97,1,1,F_Image_29.bmp,Marilyn Monroe,NaN
11,98,1,1,O_Lure_49.bmp,Anchor,NaN
11,99,1,1,S_Image_126.bmp,Neu schwanstein Castle,NaN
11,100,1,1,O_Lure_80.bmp,Rope,NaN
11,101,1,1,F_Lure_5.bmp,Bill Clinton,NaN
11,102,1,1,F_Image_5.bmp,Bill Clinton,NaN
11,103,1,1,F_Image_8.bmp,Cameron Diaz,NaN
11,104,1,1,S_Image_127.bmp,Niagara Falls,NaN
11,105,1,1,O_Image_61.bmp,Football,NaN
11,106,1,1,O_Image_85.bmp,Sock,NaN
11,107,1,1,S_Image_140.bmp,Taj Mahal,NaN
11,108,1,1,O_Lure_64.bmp,Goggles,NaN
11,109,1,1,F_Image_15.bmp,Fidel Castro,NaN
11,110,1,1,S_Image_100.bmp,Angkor Wat,NaN
11,111,1,1,S_Lure_104.bmp,Brandenburg Gate,NaN
11,112,1,1,O_Lure_91.bmp,Torch,NaN
11,113,1,1,O_Lure_92.bmp,Trophy,NaN
11,114,1,1,O_Image_52.bmp,Bed,NaN
11,115,1,1,O_Image_95.bmp,Wheelchair,NaN
11,116,1,1,S_Lure_133.bmp,Rialto Bridge,NaN
11,117,1,1,S_Lure_125.bmp,Mount Rushmore,NaN
11,118,1,1,S_Lure_110.bmp,Forbidden City,NaN
11,119,1,1,O_Image_92.bmp,Trophy,NaN
11,120,1,1,F_Image_48.bmp,Will Smith,NaN
11,121,1,1,O_Lure_68.bmp,Hat,NaN
11,122,1,1,S_Lure_118.bmp,Leaning Tower,NaN
11,123,1,1,O_Image_86.bmp,Soother,NaN
11,124,1,1,O_Lure_79.bmp,Remote Control,NaN
11,125,1,1,O_Lure_51.bmp,Basket,NaN
11,126,1,1,F_Image_13.bmp,Elton John,NaN
11,127,1,1,O_Image_63.bmp,Globe,NaN
11,128,1,1,O_Lure_57.bmp,Brush,NaN
11,129,1,1,F_Image_4.bmp,Barack Obama,NaN
11,130,1,1,F_Lure_34.bmp,Nelson Mandela,NaN
11,131,1,1,F_Image_12.bmp,David Beckham,NaN
11,132,1,1,S_Lure_129.bmp,Petra,NaN
11,133,1,1,F_Lure_45.bmp,Tony Blair,NaN
11,134,1,1,F_Image_27.bmp,Mahadma Gandhi,NaN
11,135,1,1,S_Image_136.bmp,Sistine Chapel,NaN
11,136,1,1,O_Image_82.bmp,Scissors,NaN
11,137,1,1,O_Lure_90.bmp,Telephone,NaN
11,138,1,1,F_Lure_13.bmp,Elton John,NaN
11,139,1,1,F_Lure_42.bmp,Scarlett Johansson,NaN
