6,Trial,Cond,Block,ImageFiles,Labels,Cues
6,1,1,1,F_Lure_34.bmp,Nelson Mandela,NaN
6,2,1,1,O_Lure_62.bmp,FryingPan,NaN
6,3,1,1,F_Lure_32.bmp,Mick Jagger,NaN
6,4,1,1,F_Lure_46.bmp,Wayne Rooney,NaN
6,5,1,1,O_Lure_63.bmp,Globe,NaN
6,6,1,1,S_Image_120.bmp,Machu Picchu,NaN
6,7,1,1,S_Image_117.bmp,Kings College,NaN
6,8,1,1,O_Lure_66.bmp,Guitar,NaN
6,9,1,1,F_Image_7.bmp,Britney Spears,NaN
6,10,1,1,F_Lure_42.bmp,Scarlett Johansson,NaN
6,11,1,1,O_Lure_54.bmp,Bicycle,NaN
6,12,1,1,O_Lure_75.bmp,Necklace,NaN
6,13,1,1,O_Lure_89.bmp,Teddybear,NaN
6,14,1,1,F_Image_2.bmp,Amy Winehouse,NaN
6,15,1,1,F_Image_23.bmp,Julia Roberts,NaN
6,16,1,1,O_Image_68.bmp,Hat,NaN
6,17,1,1,F_Image_36.bmp,Penelope Cruz,NaN
6,18,1,1,O_Image_54.bmp,Bicycle,NaN
6,19,1,1,S_Lure_127.bmp,Niagara Falls,NaN
6,20,1,1,S_Lure_117.bmp,Kings College,NaN
6,21,1,1,O_Lure_93.bmp,Umbrella,NaN
6,22,1,1,S_Lure_115.bmp,Hagia Sophia,NaN
6,23,1,1,O_Lure_86.bmp,Soother,NaN
6,24,1,1,F_Image_6.bmp,Brad Pitt,NaN
6,25,1,1,O_Image_89.bmp,Teddybear,NaN
6,26,1,1,O_Image_62.bmp,FryingPan,NaN
6,27,1,1,F_Lure_15.bmp,Fidel Castro,NaN
6,28,1,1,F_Image_21.bmp,John Lennon,NaN
6,29,1,1,F_Image_22.bmp,Judi Dench,NaN
6,30,1,1,O_Image_67.bmp,Hammock,NaN
6,31,1,1,F_Lure_39.bmp,Robbie Williams,NaN
6,32,1,1,F_Lure_44.bmp,Tom Hanks,NaN
6,33,1,1,S_Lure_110.bmp,Forbidden City,NaN
6,34,1,1,S_Image_111.bmp,Gizeh Pyramids,NaN
6,35,1,1,O_Lure_73.bmp,Microscope,NaN
6,36,1,1,O_Lure_51.bmp,Basket,NaN
6,37,1,1,S_Image_123.bmp,Mount Everest,NaN
6,38,1,1,O_Lure_94.bmp,Watch,NaN
6,39,1,1,O_Image_50.bmp,Barbecue,NaN
6,40,1,1,S_Lure_139.bmp,Sydney Opera,NaN
6,41,1,1,O_Lure_92.bmp,Trophy,NaN
6,42,1,1,F_Image_16.bmp,George Bush,NaN
6,43,1,1,F_Image_20.bmp,Jennifer Lopez,NaN
6,44,1,1,O_Image_75.bmp,Necklace,NaN
6,45,1,1,F_Lure_35.bmp,Nikola Sarkozy,NaN
6,46,1,1,S_Image_105.bmp,Chichen Itza,NaN
6,47,1,1,S_Lure_105.bmp,Chichen Itza,NaN
6,48,1,1,S_Image_109.bmp,Eiffel Tower,NaN
6,49,1,1,O_Lure_95.bmp,Wheelchair,NaN
6,50,1,1,S_Lure_104.bmp,Brandenburg Gate,NaN
6,51,1,1,O_Lure_84.bmp,Skirt,NaN
6,52,1,1,S_Image_102.bmp,Ayers Rock,NaN
6,53,1,1,O_Lure_72.bmp,Lightbulb,NaN
6,54,1,1,S_Lure_109.bmp,Eiffel Tower,NaN
6,55,1,1,S_Image_135.bmp,Sahara Desert,NaN
6,56,1,1,F_Lure_7.bmp,Britney Spears,NaN
6,57,1,1,O_Lure_58.bmp,Canoe,NaN
6,58,1,1,F_Lure_12.bmp,David Beckham,NaN
6,59,1,1,O_Lure_60.bmp,Flask,NaN
6,60,1,1,O_Image_87.bmp,Stapler,NaN
6,61,1,1,S_Lure_137.bmp,Statue Of Liberty,NaN
6,62,1,1,S_Lure_103.bmp,Big Ben,NaN
6,63,1,1,O_Lure_81.bmp,Scale,NaN
6,64,1,1,S_Lure_142.bmp,Tower Bridge,NaN
6,65,1,1,O_Image_64.bmp,Goggles,NaN
6,66,1,1,O_Image_65.bmp,GrandPiano,NaN
6,67,1,1,F_Image_33.bmp,Mother Teresa,NaN
6,68,1,1,S_Image_127.bmp,Niagara Falls,NaN
6,69,1,1,O_Image_95.bmp,Wheelchair,NaN
6,70,1,1,S_Lure_120.bmp,Machu Picchu,NaN
6,71,1,1,S_Lure_116.bmp,Hollywood Sign,NaN
6,72,1,1,F_Image_14.bmp,Elvis Presley,NaN
6,73,1,1,O_Lure_78.bmp,Razor,NaN
6,74,1,1,S_Lure_138.bmp,Stonehenge,NaN
6,75,1,1,S_Image_144.bmp,White House,NaN
6,76,1,1,O_Lure_59.bmp,Fan,NaN
6,77,1,1,S_Image_141.bmp,Time Square,NaN
6,78,1,1,O_Image_96.bmp,Wineglass,NaN
6,79,1,1,F_Lure_26.bmp,Madonna,NaN
6,80,1,1,O_Lure_83.bmp,Shoe,NaN
6,81,1,1,S_Image_98.bmp,Alcatraz,NaN
6,82,1,1,S_Lure_141.bmp,Time Square,NaN
6,83,1,1,S_Lure_112.bmp,Golden Gate Bridge,NaN
6,84,1,1,F_Lure_4.bmp,Barack Obama,NaN
6,85,1,1,F_Lure_10.bmp,Dalai Lama,NaN
6,86,1,1,F_Image_30.bmp,Meryl Streep,NaN
6,87,1,1,F_Image_44.bmp,Tom Hanks,NaN
6,88,1,1,S_Lure_106.bmp,Christ The Redeemer,NaN
6,89,1,1,O_Image_81.bmp,Scale,NaN
6,90,1,1,S_Lure_136.bmp,Sistine Chapel,NaN
6,91,1,1,F_Image_48.bmp,Will Smith,NaN
6,92,1,1,S_Lure_134.bmp,Sagrada Familia,NaN
6,93,1,1,O_Lure_69.bmp,Headphones,NaN
6,94,1,1,O_Image_58.bmp,Canoe,NaN
6,95,1,1,O_Image_55.bmp,Binoculars,NaN
6,96,1,1,F_Lure_20.bmp,Jennifer Lopez,NaN
6,97,1,1,O_Lure_61.bmp,Football,NaN
6,98,1,1,S_Image_107.bmp,Colosseum,NaN
6,99,1,1,O_Lure_80.bmp,Rope,NaN
6,100,1,1,F_Image_12.bmp,David Beckham,NaN
6,101,1,1,O_Image_83.bmp,Shoe,NaN
6,102,1,1,S_Lure_107.bmp,Colosseum,NaN
6,103,1,1,F_Lure_24.bmp,Keanu Reeves,NaN
6,104,1,1,O_Lure_57.bmp,Brush,NaN
6,105,1,1,F_Lure_48.bmp,Will Smith,NaN
6,106,1,1,S_Lure_122.bmp,Mont Saint Michel,NaN
6,107,1,1,S_Image_134.bmp,Sagrada Familia,NaN
6,108,1,1,S_Image_143.bmp,Versailles,NaN
6,109,1,1,F_Lure_29.bmp,Marilyn Monroe,NaN
6,110,1,1,F_Image_25.bmp,Leonardo DiCaprio,NaN
6,111,1,1,F_Lure_21.bmp,John Lennon,NaN
6,112,1,1,S_Lure_98.bmp,Alcatraz,NaN
6,113,1,1,F_Lure_41.bmp,Rod Steward,NaN
