18,Trial,Cond,Block,ImageFiles,Labels,Cues
18,1,1,1,S_Lure_137.bmp,Statue Of Liberty,NaN
18,2,1,1,O_Image_52.bmp,Bed,NaN
18,3,1,1,F_Lure_11.bmp,Daniel Radcliffe,NaN
18,4,1,1,O_Lure_55.bmp,Binoculars,NaN
18,5,1,1,O_Lure_83.bmp,Shoe,NaN
18,6,1,1,F_Image_33.bmp,Mother Teresa,NaN
18,7,1,1,S_Lure_128.bmp,Notre Dame,NaN
18,8,1,1,S_Image_98.bmp,Alcatraz,NaN
18,9,1,1,F_Lure_2.bmp,Amy Winehouse,NaN
18,10,1,1,O_Lure_50.bmp,Barbecue,NaN
18,11,1,1,F_Image_39.bmp,Robbie Williams,NaN
18,12,1,1,O_Image_64.bmp,Goggles,NaN
18,13,1,1,F_Lure_43.bmp,Tom Cruise,NaN
18,14,1,1,O_Image_71.bmp,Ladder,NaN
18,15,1,1,O_Image_84.bmp,Skirt,NaN
18,16,1,1,O_Image_61.bmp,Football,NaN
18,17,1,1,S_Image_120.bmp,Machu Picchu,NaN
18,18,1,1,S_Image_111.bmp,Gizeh Pyramids,NaN
18,19,1,1,S_Image_119.bmp,Louvre,NaN
18,20,1,1,S_Lure_113.bmp,Grand Canyon,NaN
18,21,1,1,O_Lure_79.bmp,Remote Control,NaN
18,22,1,1,S_Lure_143.bmp,Versailles,NaN
18,23,1,1,S_Lure_106.bmp,Christ The Redeemer,NaN
18,24,1,1,F_Image_1.bmp,Albert Einstein,NaN
18,25,1,1,F_Lure_13.bmp,Elton John,NaN
18,26,1,1,O_Image_95.bmp,Wheelchair,NaN
18,27,1,1,O_Lure_61.bmp,Football,NaN
18,28,1,1,O_Image_96.bmp,Wineglass,NaN
18,29,1,1,S_Image_128.bmp,Notre Dame,NaN
18,30,1,1,F_Lure_41.bmp,Rod Steward,NaN
18,31,1,1,O_Lure_63.bmp,Globe,NaN
18,32,1,1,S_Image_144.bmp,White House,NaN
18,33,1,1,F_Image_35.bmp,Nikola Sarkozy,NaN
18,34,1,1,O_Image_68.bmp,Hat,NaN
18,35,1,1,S_Lure_120.bmp,Machu Picchu,NaN
18,36,1,1,S_Lure_114.bmp,Great Wall,NaN
18,37,1,1,S_Image_114.bmp,Great Wall,NaN
