Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
21,1,1,1,NaN,NaN,0,NaN,9.995737e+00,NaN,2,0,1,1
21,2,1,90,NaN,NaN,0,NaN,9.995428e+00,NaN,1,0,2,1
21,3,1,98,NaN,NaN,0,NaN,9.995554e+00,NaN,0,1,3,1
21,4,1,53,NaN,NaN,0,NaN,9.995453e+00,NaN,0,0,2,1
21,5,1,38,NaN,NaN,0,NaN,9.995544e+00,NaN,2,0,1,1
21,6,1,71,NaN,NaN,0,NaN,9.995099e+00,NaN,0,0,2,1
21,7,1,108,NaN,NaN,0,NaN,9.995020e+00,NaN,1,0,3,1
21,8,1,53,NaN,NaN,0,NaN,9.995296e+00,NaN,2,0,2,1
21,9,1,6,NaN,NaN,0,NaN,9.995363e+00,NaN,2,0,1,1
21,10,1,116,NaN,NaN,0,NaN,9.995386e+00,NaN,0,0,3,1
21,11,1,129,NaN,NaN,0,NaN,9.995106e+00,NaN,0,0,3,1
21,12,1,124,NaN,NaN,0,NaN,9.995375e+00,NaN,0,0,3,1
21,13,1,111,NaN,NaN,0,NaN,9.995104e+00,NaN,2,0,3,1
21,14,1,39,NaN,NaN,0,NaN,9.995584e+00,NaN,2,1,1,1
21,15,1,121,NaN,NaN,0,NaN,9.995168e+00,NaN,2,0,3,1
21,16,1,123,NaN,NaN,0,NaN,9.995253e+00,NaN,0,0,3,1
21,17,1,77,NaN,NaN,0,NaN,9.995455e+00,NaN,2,1,2,1
21,18,1,5,NaN,NaN,0,NaN,9.995179e+00,NaN,2,0,1,1
21,19,1,111,NaN,NaN,0,NaN,9.995200e+00,NaN,0,0,3,1
21,20,1,34,NaN,NaN,0,NaN,9.995385e+00,NaN,2,0,1,1
21,21,1,19,NaN,NaN,0,NaN,9.995431e+00,NaN,0,0,1,1
21,22,1,44,NaN,NaN,0,NaN,9.995379e+00,NaN,0,0,1,1
21,23,1,109,NaN,NaN,0,NaN,9.995033e+00,NaN,1,0,3,1
21,24,1,15,NaN,NaN,0,NaN,9.995050e+00,NaN,0,1,1,1
21,25,1,84,NaN,NaN,0,NaN,9.995434e+00,NaN,2,1,2,1
21,26,1,121,NaN,NaN,0,NaN,9.995617e+00,NaN,0,0,3,1
21,27,1,118,NaN,NaN,0,NaN,9.995450e+00,NaN,2,1,3,1
21,28,1,74,NaN,NaN,0,NaN,9.995220e+00,NaN,0,0,2,1
21,29,1,12,NaN,NaN,0,NaN,9.995553e+00,NaN,0,0,1,1
21,30,1,20,NaN,NaN,0,NaN,9.995443e+00,NaN,0,0,1,1
21,31,1,136,NaN,NaN,0,NaN,9.995370e+00,NaN,1,0,3,1
21,32,1,82,NaN,NaN,0,NaN,9.995289e+00,NaN,1,0,2,1
21,33,1,16,NaN,NaN,0,NaN,9.995559e+00,NaN,0,0,1,1
21,34,1,78,NaN,NaN,0,NaN,9.995116e+00,NaN,0,0,2,1
21,35,1,117,NaN,NaN,0,NaN,9.995415e+00,NaN,0,1,3,1
21,36,1,41,NaN,NaN,0,NaN,9.995267e+00,NaN,1,0,1,1
21,37,1,73,NaN,NaN,0,NaN,9.995504e+00,NaN,0,1,2,1
21,38,1,96,NaN,NaN,0,NaN,9.995344e+00,NaN,0,0,2,1
21,39,1,38,NaN,NaN,0,NaN,9.995511e+00,NaN,0,0,1,1
21,40,1,51,NaN,NaN,0,NaN,9.995025e+00,NaN,2,1,2,1
21,41,1,87,NaN,NaN,0,NaN,9.995590e+00,NaN,0,1,2,1
21,42,1,113,NaN,NaN,0,NaN,9.995437e+00,NaN,1,0,3,1
21,43,1,141,NaN,NaN,0,NaN,9.995461e+00,NaN,2,1,3,1
21,44,1,76,NaN,NaN,0,NaN,9.995169e+00,NaN,1,0,2,1
21,45,1,92,NaN,NaN,0,NaN,9.995035e+00,NaN,0,0,2,1
21,46,1,23,NaN,NaN,0,NaN,9.995216e+00,NaN,2,0,1,1
21,47,1,120,NaN,NaN,0,NaN,9.995054e+00,NaN,1,1,3,1
