58,Trial,Cond,Block,ImageFiles,Labels,Cues
58,1,1,1,F_Lure_13.bmp,Elton John,NaN
58,2,1,1,S_Image_116.bmp,Hollywood Sign,NaN
58,3,1,1,F_Lure_24.bmp,Keanu Reeves,NaN
58,4,1,1,F_Image_7.bmp,Britney Spears,NaN
58,5,1,1,O_Image_82.bmp,Scissors,NaN
58,6,1,1,S_Lure_140.bmp,Taj Mahal,NaN
58,7,1,1,S_Image_105.bmp,Chichen Itza,NaN
58,8,1,1,S_Image_142.bmp,Tower Bridge,NaN
58,9,1,1,O_Image_50.bmp,Barbecue,NaN
58,10,1,1,O_Image_64.bmp,Goggles,NaN
58,11,1,1,O_Lure_94.bmp,Watch,NaN
58,12,1,1,O_Lure_69.bmp,Headphones,NaN
58,13,1,1,F_Image_9.bmp,Charlie Chaplin,NaN
58,14,1,1,F_Image_15.bmp,Fidel Castro,NaN
58,15,1,1,F_Lure_12.bmp,David Beckham,NaN
58,16,1,1,F_Lure_32.bmp,Mick Jagger,NaN
58,17,1,1,S_Lure_114.bmp,Great Wall,NaN
58,18,1,1,S_Lure_119.bmp,Louvre,NaN
58,19,1,1,S_Lure_132.bmp,Red Square,NaN
58,20,1,1,F_Lure_42.bmp,Scarlett Johansson,NaN
58,21,1,1,F_Image_14.bmp,Elvis Presley,NaN
58,22,1,1,O_Lure_75.bmp,Necklace,NaN
58,23,1,1,O_Lure_65.bmp,GrandPiano,NaN
58,24,1,1,F_Image_23.bmp,Julia Roberts,NaN
58,25,1,1,S_Image_115.bmp,Hagia Sophia,NaN
58,26,1,1,F_Lure_48.bmp,Will Smith,NaN
58,27,1,1,O_Lure_52.bmp,Bed,NaN
58,28,1,1,S_Image_143.bmp,Versailles,NaN
58,29,1,1,S_Image_106.bmp,Christ The Redeemer,NaN
58,30,1,1,O_Lure_59.bmp,Fan,NaN
58,31,1,1,S_Lure_101.bmp,Atomium,NaN
58,32,1,1,S_Image_134.bmp,Sagrada Familia,NaN
58,33,1,1,S_Lure_100.bmp,Angkor Wat,NaN
58,34,1,1,S_Lure_136.bmp,Sistine Chapel,NaN
58,35,1,1,S_Image_102.bmp,Ayers Rock,NaN
58,36,1,1,F_Image_48.bmp,Will Smith,NaN
58,37,1,1,S_Image_122.bmp,Mont Saint Michel,NaN
58,38,1,1,S_Lure_109.bmp,Eiffel Tower,NaN
58,39,1,1,O_Image_56.bmp,Broom,NaN
58,40,1,1,F_Lure_47.bmp,Whoopi Goldberg,NaN
58,41,1,1,S_Image_136.bmp,Sistine Chapel,NaN
58,42,1,1,F_Lure_3.bmp,Angela Merkel,NaN
58,43,1,1,F_Lure_15.bmp,Fidel Castro,NaN
58,44,1,1,O_Lure_80.bmp,Rope,NaN
