Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
71,1,1,106,NaN,NaN,1,NaN,2.350827e+00,NaN,0,0,3,1
71,2,1,79,NaN,NaN,1,NaN,1.014160e+00,NaN,2,1,2,1
71,3,1,62,NaN,NaN,1,NaN,5.956694e-01,NaN,1,0,2,1
71,4,1,122,NaN,NaN,1,NaN,4.274666e+00,NaN,0,0,3,1
71,5,1,59,NaN,NaN,1,NaN,1.666908e-01,NaN,2,0,2,1
71,6,1,95,NaN,NaN,1,NaN,7.191639e-01,NaN,1,0,2,1
71,7,1,70,NaN,NaN,1,NaN,4.838156e-01,NaN,0,0,2,1
71,8,1,104,NaN,NaN,1,NaN,6.510642e-01,NaN,0,0,3,1
71,9,1,23,NaN,NaN,1,NaN,2.089780e+00,NaN,0,0,1,1
71,10,1,33,NaN,NaN,1,NaN,1.309098e+00,NaN,0,1,1,1
71,11,1,114,NaN,NaN,1,NaN,1.409184e+00,NaN,1,0,3,1
71,12,1,34,NaN,NaN,1,NaN,9.494107e-01,NaN,0,0,1,1
71,13,1,4,NaN,NaN,2,NaN,1.664387e-01,NaN,1,0,1,1
71,14,1,25,NaN,NaN,1,NaN,5.685934e-01,NaN,0,0,1,1
71,15,1,141,NaN,NaN,1,NaN,6.270773e-01,NaN,0,0,3,1
71,16,1,38,NaN,NaN,1,NaN,2.583709e+00,NaN,0,1,1,1
71,17,1,95,NaN,NaN,1,NaN,4.104335e-01,NaN,0,0,2,1
71,18,1,94,NaN,NaN,1,NaN,1.263319e+00,NaN,0,1,2,1
71,19,1,59,NaN,NaN,1,NaN,2.882663e+00,NaN,0,0,2,1
71,20,1,70,NaN,NaN,1,NaN,5.077768e+00,NaN,2,0,2,1
71,21,1,7,NaN,NaN,1,NaN,5.998183e-01,NaN,0,0,1,1
71,22,1,28,NaN,NaN,1,NaN,2.225867e+00,NaN,0,0,1,1
71,23,1,140,NaN,NaN,1,NaN,4.782577e-01,NaN,0,0,3,1
71,24,1,73,NaN,NaN,1,NaN,3.218635e+00,NaN,0,0,2,1
71,25,1,64,NaN,NaN,1,NaN,6.984168e-01,NaN,1,0,2,1
71,26,1,60,NaN,NaN,1,NaN,3.677432e-01,NaN,1,0,2,1
