Output,RNG-number,Start-time,End-time,Initials,Notes,Visualization
Subject_4.csv-Subject_4.mat,5822,2016\5\20\12:03 AM,2016\5\20\1:34 PM,LH,201F
,3Subject_6.csv-Subject_6.mat,8679,2016\5\23\9:52 AM,2016\5\23\11:47 AM, LH,201F
,3Subject_8.csv-Subject_8.mat,7009,2016\5\24\3:33 PM,2016\5\24\5:10 PM,LH,201F
,4Subject_10.csv-Subject_10.mat,9069,2016\6\2\12:25 AM,2016\6\2\1:57 PM,LH,201F
,3Subject_12.csv-Subject_12.mat,1580,2016\6\6\1:31 PM,2016\6\6\3:00 PM,RZ,
,3Subject_13.csv-Subject_13.mat,9252,2016\6\10\10:29 AM,2016\6\10\12:00 AM,LH,F
,2Subject_14.csv-Subject_14.mat,9287,2016\6\14\9:03 AM,2016\6\14\10:38 AM,lh,f
,3Subject_15.csv-Subject_15.mat,4852,2016\7\1\12:51 AM,2016\7\1\2:38 PM,lh,f
,2Subject_45.csv-Subject_45.mat,3126,2017\1\24\9:49 AM,2017\1\24\12:48 AM,lh,f
,3
