Subject,Trial,Cond,ImageNum,CueNum,Correct,Resp,Accuracy,RT,CueRep,ImageType,Baseline,Category,Block
28,1,1,50,NaN,NaN,1,NaN,1.765219e+00,NaN,0,0,2,1
28,2,1,41,NaN,NaN,1,NaN,1.037510e+00,NaN,2,0,1,1
28,3,1,90,NaN,NaN,1,NaN,2.220406e-01,NaN,1,1,2,1
28,4,1,142,NaN,NaN,1,NaN,8.071369e-01,NaN,0,0,3,1
28,5,1,30,NaN,NaN,1,NaN,1.052159e-01,NaN,1,0,1,1
28,6,1,27,NaN,NaN,1,NaN,2.632219e-01,NaN,2,0,1,1
28,7,1,142,NaN,NaN,1,NaN,9.907793e-01,NaN,2,0,3,1
28,8,1,38,NaN,NaN,1,NaN,7.454075e-01,NaN,0,1,1,1
28,9,1,94,NaN,NaN,1,NaN,1.821132e+00,NaN,2,0,2,1
28,10,1,35,NaN,NaN,1,NaN,3.824294e-01,NaN,2,1,1,1
28,11,1,126,NaN,NaN,1,NaN,8.016887e-01,NaN,0,0,3,1
28,12,1,23,NaN,NaN,1,NaN,3.477212e-01,NaN,0,0,1,1
28,13,1,86,NaN,NaN,1,NaN,1.520757e-01,NaN,1,0,2,1
28,14,1,72,NaN,NaN,1,NaN,2.283286e-01,NaN,0,0,2,1
28,15,1,19,NaN,NaN,1,NaN,3.413532e-01,NaN,0,0,1,1
28,16,1,66,NaN,NaN,1,NaN,4.659609e-01,NaN,2,0,2,1
28,17,1,71,NaN,NaN,1,NaN,2.414561e-01,NaN,1,0,2,1
28,18,1,113,NaN,NaN,1,NaN,3.783913e-01,NaN,1,0,3,1
28,19,1,10,NaN,NaN,1,NaN,5.197121e-03,NaN,0,0,1,1
28,20,1,111,NaN,NaN,1,NaN,3.508630e-01,NaN,1,0,3,1
28,21,1,125,NaN,NaN,1,NaN,4.992327e-01,NaN,0,1,3,1
28,22,1,72,NaN,NaN,1,NaN,3.231545e-01,NaN,2,0,2,1
28,23,1,87,NaN,NaN,1,NaN,3.829561e-01,NaN,0,0,2,1
28,24,1,43,NaN,NaN,1,NaN,6.418058e-01,NaN,1,0,1,1
28,25,1,127,NaN,NaN,1,NaN,3.221521e-01,NaN,1,0,3,1
28,26,1,90,NaN,NaN,1,NaN,3.358699e-01,NaN,0,1,2,1
28,27,1,41,NaN,NaN,1,NaN,3.886881e-01,NaN,0,0,1,1
28,28,1,77,NaN,NaN,2,NaN,4.634997e-01,NaN,2,0,2,1
28,29,1,69,NaN,NaN,2,NaN,4.788330e-01,NaN,1,0,2,1
28,30,1,83,NaN,NaN,2,NaN,4.136000e-01,NaN,0,0,2,1
28,31,1,131,NaN,NaN,2,NaN,4.314395e-01,NaN,1,0,3,1
28,32,1,74,NaN,NaN,2,NaN,3.443097e-01,NaN,2,0,2,1
28,33,1,67,NaN,NaN,2,NaN,3.091834e-01,NaN,1,0,2,1
28,34,1,82,NaN,NaN,2,NaN,4.830896e-01,NaN,1,0,2,1
28,35,1,134,NaN,NaN,2,NaN,3.219948e-01,NaN,0,0,3,1
28,36,1,17,NaN,NaN,2,NaN,3.111237e-01,NaN,1,1,1,1
28,37,1,18,NaN,NaN,2,NaN,1.732355e-01,NaN,1,0,1,1
28,38,1,108,NaN,NaN,2,NaN,3.122471e-01,NaN,0,0,3,1
28,39,1,5,NaN,NaN,2,NaN,3.741689e-01,NaN,1,0,1,1
28,40,1,64,NaN,NaN,2,NaN,4.010688e-01,NaN,0,0,2,1
28,41,1,16,NaN,NaN,1,NaN,2.915199e-01,NaN,2,1,1,1
28,42,1,84,NaN,NaN,2,NaN,2.024185e-01,NaN,1,0,2,1
28,43,1,58,NaN,NaN,2,NaN,1.243980e-01,NaN,0,0,2,1
28,44,1,59,NaN,NaN,2,NaN,1.234533e-04,NaN,0,0,2,1
28,45,1,99,NaN,NaN,2,NaN,3.242626e-01,NaN,2,0,3,1
28,46,1,135,NaN,NaN,2,NaN,2.570888e-01,NaN,2,0,3,1
28,47,1,80,NaN,NaN,2,NaN,1.293917e-01,NaN,1,0,2,1
28,48,1,68,NaN,NaN,2,NaN,1.503247e-01,NaN,1,1,2,1
28,49,1,126,NaN,NaN,1,NaN,2.686396e-03,NaN,2,0,3,1
28,50,1,75,NaN,NaN,2,NaN,1.008283e-01,NaN,2,0,2,1
28,51,1,82,NaN,NaN,1,NaN,7.530181e-02,NaN,0,0,2,1
28,52,1,118,NaN,NaN,2,NaN,2.630858e-03,NaN,2,0,3,1
28,53,1,87,NaN,NaN,1,NaN,4.131461e-01,NaN,1,0,2,1
28,54,1,57,NaN,NaN,1,NaN,2.252921e-02,NaN,2,1,2,1
28,55,1,14,NaN,NaN,2,NaN,1.576402e-02,NaN,0,0,1,1
28,56,1,78,NaN,NaN,2,NaN,1.270752e-04,NaN,1,0,2,1
28,57,1,100,NaN,NaN,2,NaN,6.784268e-02,NaN,0,0,3,1
28,58,1,88,NaN,NaN,2,NaN,9.957416e-02,NaN,0,1,2,1
28,59,1,7,NaN,NaN,2,NaN,1.442805e-04,NaN,1,1,1,1
28,60,1,31,NaN,NaN,2,NaN,1.234533e-04,NaN,0,0,1,1
28,61,1,118,NaN,NaN,1,NaN,4.631891e-02,NaN,0,0,3,1
28,62,1,15,NaN,NaN,2,NaN,3.869015e-02,NaN,1,1,1,1
28,63,1,17,NaN,NaN,1,NaN,1.234533e-04,NaN,0,1,1,1
28,64,1,61,NaN,NaN,2,NaN,9.559346e-03,NaN,2,0,2,1
28,65,1,116,NaN,NaN,2,NaN,9.959016e-02,NaN,1,0,3,1
28,66,1,98,NaN,NaN,2,NaN,7.421277e-02,NaN,0,0,3,1
28,67,1,1,NaN,NaN,2,NaN,1.213874e-01,NaN,0,1,1,1
28,68,1,33,NaN,NaN,2,NaN,2.386263e-01,NaN,1,0,1,1
28,69,1,128,NaN,NaN,2,NaN,4.075523e-01,NaN,1,0,3,1
28,70,1,60,NaN,NaN,1,NaN,2.014749e-01,NaN,0,1,2,1
28,71,1,78,NaN,NaN,1,NaN,3.074771e-01,NaN,0,0,2,1
28,72,1,144,NaN,NaN,2,NaN,2.576224e-01,NaN,0,1,3,1
28,73,1,133,NaN,NaN,2,NaN,4.815553e-01,NaN,2,1,3,1
28,74,1,94,NaN,NaN,1,NaN,1.976423e+00,NaN,0,0,2,1
28,75,1,21,NaN,NaN,2,NaN,3.553019e-01,NaN,1,0,1,1
28,76,1,32,NaN,NaN,2,NaN,8.848115e-02,NaN,1,0,1,1
28,77,1,129,NaN,NaN,2,NaN,1.054120e+00,NaN,0,0,3,1
28,78,1,123,NaN,NaN,2,NaN,5.416666e-01,NaN,2,0,3,1
28,79,1,96,NaN,NaN,2,NaN,1.531536e+00,NaN,2,0,2,1
28,80,1,2,NaN,NaN,2,NaN,1.243586e-04,NaN,2,0,1,1
28,81,1,92,NaN,NaN,2,NaN,3.693946e-01,NaN,2,0,2,1
28,82,1,119,NaN,NaN,2,NaN,4.771125e-01,NaN,2,1,3,1
28,83,1,134,NaN,NaN,1,NaN,1.000870e-01,NaN,1,0,3,1
28,84,1,12,NaN,NaN,1,NaN,7.865936e-01,NaN,2,0,1,1
28,85,1,139,NaN,NaN,2,NaN,2.051004e-01,NaN,0,0,3,1
28,86,1,6,NaN,NaN,2,NaN,2.952498e-01,NaN,0,0,1,1
