46,Trial,Cond,Block,ImageFiles,Labels,Cues
46,1,1,1,S_Image_125.bmp,Mount Rushmore,NaN
46,2,1,1,F_Lure_20.bmp,Jennifer Lopez,NaN
46,3,1,1,F_Image_4.bmp,Barack Obama,NaN
46,4,1,1,F_Image_1.bmp,Albert Einstein,NaN
46,5,1,1,O_Image_85.bmp,Sock,NaN
46,6,1,1,S_Image_106.bmp,Christ The Redeemer,NaN
46,7,1,1,O_Lure_62.bmp,FryingPan,NaN
46,8,1,1,O_Image_64.bmp,Goggles,NaN
46,9,1,1,O_Image_87.bmp,Stapler,NaN
46,10,1,1,F_Lure_13.bmp,Elton John,NaN
46,11,1,1,S_Lure_113.bmp,Grand Canyon,NaN
46,12,1,1,S_Lure_116.bmp,Hollywood Sign,NaN
46,13,1,1,F_Lure_21.bmp,John Lennon,NaN
46,14,1,1,O_Image_66.bmp,Guitar,NaN
46,15,1,1,S_Image_121.bmp,Mecca,NaN
46,16,1,1,S_Lure_123.bmp,Mount Everest,NaN
46,17,1,1,S_Image_140.bmp,Taj Mahal,NaN
46,18,1,1,F_Image_47.bmp,Whoopi Goldberg,NaN
46,19,1,1,F_Lure_6.bmp,Brad Pitt,NaN
46,20,1,1,S_Image_118.bmp,Leaning Tower,NaN
46,21,1,1,S_Lure_110.bmp,Forbidden City,NaN
46,22,1,1,F_Lure_27.bmp,Mahadma Gandhi,NaN
46,23,1,1,S_Image_139.bmp,Sydney Opera,NaN
46,24,1,1,O_Lure_71.bmp,Ladder,NaN
46,25,1,1,S_Image_129.bmp,Petra,NaN
46,26,1,1,O_Lure_56.bmp,Broom,NaN
46,27,1,1,O_Image_79.bmp,Remote Control,NaN
46,28,1,1,S_Lure_99.bmp,Alhambra,NaN
46,29,1,1,F_Lure_4.bmp,Barack Obama,NaN
46,30,1,1,S_Lure_133.bmp,Rialto Bridge,NaN
46,31,1,1,O_Image_88.bmp,Suitcase,NaN
46,32,1,1,S_Lure_106.bmp,Christ The Redeemer,NaN
46,33,1,1,O_Lure_61.bmp,Football,NaN
46,34,1,1,F_Image_46.bmp,Wayne Rooney,NaN
46,35,1,1,O_Lure_82.bmp,Scissors,NaN
46,36,1,1,O_Lure_94.bmp,Watch,NaN
46,37,1,1,O_Image_72.bmp,Lightbulb,NaN
46,38,1,1,O_Lure_80.bmp,Rope,NaN
46,39,1,1,F_Image_25.bmp,Leonardo DiCaprio,NaN
46,40,1,1,F_Lure_25.bmp,Leonardo DiCaprio,NaN
46,41,1,1,S_Lure_103.bmp,Big Ben,NaN
46,42,1,1,S_Lure_98.bmp,Alcatraz,NaN
46,43,1,1,O_Image_81.bmp,Scale,NaN
46,44,1,1,O_Lure_90.bmp,Telephone,NaN
46,45,1,1,O_Image_68.bmp,Hat,NaN
46,46,1,1,S_Lure_131.bmp,Rapa Nui,NaN
46,47,1,1,O_Image_62.bmp,FryingPan,NaN
46,48,1,1,O_Lure_78.bmp,Razor,NaN
46,49,1,1,O_Lure_81.bmp,Scale,NaN
46,50,1,1,S_Image_112.bmp,Golden Gate Bridge,NaN
46,51,1,1,O_Lure_85.bmp,Sock,NaN
46,52,1,1,O_Lure_92.bmp,Trophy,NaN
46,53,1,1,S_Lure_117.bmp,Kings College,NaN
46,54,1,1,S_Lure_118.bmp,Leaning Tower,NaN
46,55,1,1,F_Image_8.bmp,Cameron Diaz,NaN
46,56,1,1,O_Lure_60.bmp,Flask,NaN
46,57,1,1,S_Image_113.bmp,Grand Canyon,NaN
46,58,1,1,O_Lure_54.bmp,Bicycle,NaN
46,59,1,1,F_Image_45.bmp,Tony Blair,NaN
46,60,1,1,F_Image_44.bmp,Tom Hanks,NaN
46,61,1,1,O_Lure_88.bmp,Suitcase,NaN
46,62,1,1,S_Image_124.bmp,Mount Fuji,NaN
46,63,1,1,F_Image_12.bmp,David Beckham,NaN
46,64,1,1,S_Image_135.bmp,Sahara Desert,NaN
46,65,1,1,F_Image_32.bmp,Mick Jagger,NaN
46,66,1,1,O_Image_78.bmp,Razor,NaN
46,67,1,1,S_Lure_100.bmp,Angkor Wat,NaN
46,68,1,1,O_Image_57.bmp,Brush,NaN
46,69,1,1,F_Lure_15.bmp,Fidel Castro,NaN
46,70,1,1,S_Image_101.bmp,Atomium,NaN
46,71,1,1,O_Image_49.bmp,Anchor,NaN
46,72,1,1,F_Image_21.bmp,John Lennon,NaN
46,73,1,1,O_Image_63.bmp,Globe,NaN
46,74,1,1,O_Image_83.bmp,Shoe,NaN
46,75,1,1,F_Lure_9.bmp,Charlie Chaplin,NaN
46,76,1,1,F_Image_34.bmp,Nelson Mandela,NaN
46,77,1,1,O_Image_86.bmp,Soother,NaN
46,78,1,1,S_Lure_119.bmp,Louvre,NaN
46,79,1,1,F_Lure_17.bmp,George Clooney,NaN
46,80,1,1,S_Image_108.bmp,Dover Cliffs,NaN
46,81,1,1,F_Lure_31.bmp,Michael Jackson,NaN
46,82,1,1,O_Lure_59.bmp,Fan,NaN
46,83,1,1,O_Lure_58.bmp,Canoe,NaN
46,84,1,1,S_Image_131.bmp,Rapa Nui,NaN
46,85,1,1,O_Lure_67.bmp,Hammock,NaN
46,86,1,1,F_Lure_12.bmp,David Beckham,NaN
46,87,1,1,F_Image_19.bmp,James Dean,NaN
46,88,1,1,S_Lure_135.bmp,Sahara Desert,NaN
46,89,1,1,O_Lure_69.bmp,Headphones,NaN
46,90,1,1,O_Lure_93.bmp,Umbrella,NaN
46,91,1,1,S_Lure_142.bmp,Tower Bridge,NaN
46,92,1,1,O_Image_56.bmp,Broom,NaN
46,93,1,1,F_Lure_11.bmp,Daniel Radcliffe,NaN
46,94,1,1,O_Lure_76.bmp,Pillows,NaN
46,95,1,1,F_Lure_2.bmp,Amy Winehouse,NaN
46,96,1,1,S_Image_104.bmp,Brandenburg Gate,NaN
46,97,1,1,O_Lure_68.bmp,Hat,NaN
46,98,1,1,O_Image_82.bmp,Scissors,NaN
46,99,1,1,F_Lure_38.bmp,Queen Elisabeth,NaN
46,100,1,1,O_Image_76.bmp,Pillows,NaN
46,101,1,1,S_Lure_108.bmp,Dover Cliffs,NaN
46,102,1,1,F_Lure_5.bmp,Bill Clinton,NaN
46,103,1,1,S_Lure_122.bmp,Mont Saint Michel,NaN
46,104,1,1,O_Image_84.bmp,Skirt,NaN
